Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,12.19,14.95,8.31,6.42,0.38,101.81,5.51,7.18,345.1,12.26,73.87,346.1
1/2/1981,10.41,14.82,5.84,5.43,0.13,101.78,4.86,6.29,311.7,10.71,71.48,311.7
1/3/1981,10.03,14.17,7.04,5.55,0.06,102.11,3.21,4.39,313.5,10.32,74.8,313.8
1/4/1981,9.06,15.9,4.62,4.96,0,101.7,5.03,6.57,256.3,9.5,72.83,256.6
1/5/1981,9.57,17.42,3.53,5,0,101.36,4.17,5.45,270.1,10.07,70.85,269.9
1/6/1981,9.37,13.63,6.08,4.84,0.01,101.88,3.7,4.96,314.4,9.68,67.92,315.1
1/7/1981,8.38,15.44,2.62,4.15,0.01,101.37,5.91,7.59,268.7,9,63.59,268.6
1/8/1981,7.09,11.02,4.96,3.83,0.38,101.24,7.94,10.2,321.7,7.63,61.74,321.9
1/9/1981,5.67,8.3,3.34,3.28,0.26,101.77,7.35,9.46,321.8,6.44,59.4,322.1
1/10/1981,5.58,11.67,1.23,3.33,0,101.71,3.85,5.17,281.5,6.21,61.44,282
1/11/1981,6.39,13.26,0.69,3.15,0,101.59,3.37,4.58,207.1,6.92,55.72,208.6
1/12/1981,6.17,12.72,0.78,3.46,0,101.31,2.79,3.86,163.2,6.6,60.55,163.5
1/13/1981,7.33,14.35,2.34,3.69,0,100.47,4.28,5.63,235.1,7.74,60.24,234.5
1/14/1981,6.95,13.68,1.86,3.66,0,100.86,4.47,5.86,262.4,7.68,62.01,262.4
1/15/1981,7.08,13.05,2.54,4.02,0,101.26,6.03,7.8,260,7.66,67.65,260
1/16/1981,9.77,17.07,4.69,5.13,0,100.89,6.07,7.92,270.6,9.92,68.8,270.2
1/17/1981,10.18,15.98,5.59,5.54,0,101.64,2.87,4.04,307.8,9.72,73.81,308.8
1/18/1981,10.81,17.67,6.57,5.58,0.01,101.54,3.56,4.79,281.3,10.54,71.85,280
1/19/1981,10.68,15.6,7.76,4.87,0.01,101.85,3.22,4.4,315.6,10.4,63.58,314.3
1/20/1981,10.85,17.95,5.28,4.43,0,101.22,6.49,8.44,256.4,10.85,57.59,256.3
1/21/1981,12.17,15.07,9.96,4.01,1.56,100.3,10.23,13.21,312.2,11.94,46.15,312.3
1/22/1981,10.46,12.5,8.66,4.15,0.6,100.71,8.25,10.67,331.3,10.34,52.95,331.4
1/23/1981,9.55,12.17,7.38,5.17,0.8,101.11,5.04,6.56,334.7,9.6,70.61,334.8
1/24/1981,9.49,13.17,6.37,5.88,0.45,101.62,3.86,5.12,329.7,9.84,81.64,329.6
1/25/1981,9.7,15.39,5.51,4.83,0,102.1,3.37,4.59,293.9,9.91,67.62,293.7
1/26/1981,9.3,16.9,3.71,4.28,0,102.23,4.48,5.9,261.7,9.61,62.29,261.9
1/27/1981,9.26,14.69,3.3,5.32,0.11,102.25,4.38,5.72,333.3,9.82,73.98,333.9
1/28/1981,9.66,12.75,6.98,4.17,0.09,102.33,3.79,5.13,353.6,9.65,58.32,353.7
1/29/1981,8.28,11.36,4.9,4.31,2.13,102.19,4.36,5.83,340.6,8.35,65.31,341.3
1/30/1981,7.07,12.47,2.42,3.65,0.03,102.35,3.26,4.59,309.6,7.25,62.06,308.3
1/31/1981,8.41,12.63,4.42,4.93,1.37,102.49,2.48,3.51,353,8.35,75.2,354.4
2/1/1981,9.76,12.16,8.07,5.39,4.34,102.54,1.38,1.9,48.7,9.55,73.59,52.1
2/2/1981,8.42,12.03,6.62,4.95,0.85,102.7,1.27,1.77,172,8.05,74.71,197.9
2/3/1981,8.84,14.25,5.02,4.83,0.21,102.43,1.72,2.41,263.3,8.62,71.56,254.6
2/4/1981,8.36,15.5,2.71,4.24,0,101.62,5.16,6.75,247.6,8.85,66.96,247.4
2/5/1981,8.34,13.59,4.39,4.31,0.13,100.71,6.35,8.24,249.5,8.44,63.5,249.4
2/6/1981,9.7,15.06,5.67,4.37,0.17,101.45,6.33,8.27,301.1,9.77,60.94,301.2
2/7/1981,10.1,14.67,6.9,5.59,0.44,102.1,4.1,5.52,340.6,9.94,75.83,340
2/8/1981,10.38,15.84,5.91,6.25,0.08,102.43,2.39,3.3,351.3,10.28,81.71,352.6
2/9/1981,10.83,18.91,4.39,5.28,0,102.21,2.6,3.81,236.1,10.9,70.62,234.8
2/10/1981,13.06,20.53,5.8,4.6,0,101.78,2.28,3.15,229.7,11.56,53.26,228.3
2/11/1981,13.47,20.95,6.68,4.48,0,101.4,1.32,1.84,257,11.61,48.64,255.9
2/12/1981,13.75,22.41,7.49,4.65,0,100.92,2.38,3.28,172.8,12.49,51.17,174.2
2/13/1981,15.09,23.24,9.06,6.54,0.12,100.52,3.25,4.55,226.9,14.34,61.91,227.3
2/14/1981,13.79,19.85,10.51,7.18,0,100.86,2.71,3.79,293.3,13.25,76.01,292.3
2/15/1981,11.65,15.99,8.91,6.7,0.38,101.43,3.05,4.11,61.7,12.18,78.7,61.7
2/16/1981,11.59,15.34,8.26,7.66,7.18,100.81,2.66,3.53,131.2,11.48,89.79,131.6
2/17/1981,12.76,18.45,9.39,7.58,2.74,100.15,4.78,6.31,307.3,12.84,83.33,307.6
2/18/1981,10.87,13.87,8.03,6.51,0.62,100.84,2.21,3.01,342.7,11.25,81.34,343.3
2/19/1981,11.21,17.03,6.81,5.29,0.16,101,2.72,3.86,247.5,11.5,67.27,248.3
2/20/1981,11.7,19.21,5.43,4.57,0.01,100.93,3.43,4.77,206.4,11.6,56.33,208.5
2/21/1981,11.81,20.94,5.85,4.9,0.14,100.47,3.75,5.04,282.8,12.21,59.2,287.8
2/22/1981,10.61,13.9,7.56,5.35,3.06,100.95,4.97,6.49,316.6,11.01,68.83,316.9
2/23/1981,10,17.29,3.25,4.17,0,101.37,3.16,4.34,288,10.14,58.06,287.7
2/24/1981,11.53,17.57,6.52,5.7,0,101.7,2.02,2.93,67.4,11.91,70.53,74
2/25/1981,11.86,19.75,6.14,5.07,0,101.61,1.72,2.52,95.2,12.49,63.78,90.4
2/26/1981,11.95,16.82,7.86,6.6,0,101.57,2.63,3.62,70.6,12.63,77.61,70.1
2/27/1981,12.52,18.77,7.55,6.32,0,101.41,1.79,2.55,117.1,13.04,73.69,118.4
2/28/1981,16.19,24.99,9.08,5.82,0,101.09,1.93,2.93,221.4,15.71,54.51,219.4
3/1/1981,17.32,22.51,13.02,6.01,0,100.95,1.57,2.4,254.4,16.01,50.03,255
3/2/1981,16.26,21.82,13,6.97,0.02,100.8,1.77,2.54,19.4,16.34,62.19,19.6
3/3/1981,15.18,19.94,12.37,8.36,0.13,100.72,1.75,2.52,15.7,15.87,79.72,13.2
3/4/1981,16.2,25.12,11.66,7.05,0.01,100.5,3.48,4.73,269.8,16.28,65.45,296.4
3/5/1981,14.16,18.98,10.7,7.39,0.05,101.25,3.72,4.87,55.9,15.04,76.5,56
3/6/1981,13.99,19.06,10.35,7.64,0.01,101.3,4.77,6.14,75.6,14.32,79.18,75.8
3/7/1981,14.68,19.11,11.66,8.5,0.02,101.51,5.2,6.72,47.5,15.32,84.13,47.5
3/8/1981,13.07,17.6,10.01,7.38,0.08,102.08,3.31,4.42,35.3,13.86,80.51,34.8
3/9/1981,13.07,19.13,7.89,6.44,0.01,102.12,1.27,1.82,127.6,14.12,72.96,129
3/10/1981,14.83,22.17,10.08,6.44,0,101.97,1.96,2.7,15.2,15.64,64.92,13.6
3/11/1981,15.26,22.78,9.1,6.42,0,101.83,1.27,1.92,116.5,16.41,65.21,57.8
3/12/1981,19.8,29.36,12.27,6.86,0,101.21,2.91,4.25,254.6,19.07,51.19,256.1
3/13/1981,18.72,24.17,14.14,7.41,0,100.79,2.28,3.15,240,18.49,56.39,245.8
3/14/1981,16.83,21.11,13.85,8.28,0.02,100.85,5.27,6.8,64.7,17.32,71.81,64.8
3/15/1981,16.58,24.11,11.26,8.48,0,100.5,2.28,3.08,58.8,17.81,75.57,58.3
3/16/1981,15.22,19.64,12.21,8.78,0,100.87,3.27,4.28,20.9,16.14,82.38,21.7
