Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,13.16,14.48,12.1,6.96,1,102.29,9.13,10.86,304.5,15.02,75.32,304.7
1/2/1981,13.07,13.46,12.64,6.92,2.64,102.06,9.29,11.05,308.9,14.92,75.15,308.8
1/3/1981,13.06,13.88,12.3,6.99,0.83,102.26,8.79,10.41,295.8,14.77,76,295.9
1/4/1981,14.18,14.88,13.66,7.38,0.19,101.64,10,12.01,283.5,14.74,74.11,283.5
1/5/1981,14.2,15.36,12.37,7.17,0.45,101.5,10.33,12.48,302.9,14.64,71.46,303.1
1/6/1981,12.9,14.45,11.6,6.19,2.01,102.02,10.4,12.49,303.1,14.51,67.8,303.3
1/7/1981,12.59,14.38,10.79,6.06,8.35,101.4,11.8,14.28,313.6,14.45,67.47,313.7
1/8/1981,8.12,10.4,6.81,4.55,6.57,101.94,12.64,15.25,356.9,14.22,68.82,356.9
1/9/1981,8.34,9.46,7.23,4.8,1.07,102.33,10.13,11.94,344.5,14.08,71.6,344.4
1/10/1981,10.01,11.34,8.94,4.96,0.15,101.83,5.26,5.91,310.5,14.08,65.86,310.1
1/11/1981,11.87,14.13,10.22,5.97,0.05,101.51,6.27,7.23,166.1,14.09,70.13,166.5
1/12/1981,11.86,12.79,10.9,5.7,0.03,101.57,5.91,6.77,178.2,14.04,66.78,178.2
1/13/1981,10.81,12.25,9.36,6.18,9.92,100.64,6.16,7.05,267.8,13.91,77.22,267.9
1/14/1981,11.39,11.72,10.68,6.44,10.77,100.83,9.71,11.56,289.7,13.92,77.28,289.4
1/15/1981,12.99,14.03,11.3,6.96,2.84,100.89,12.35,15.11,280.6,13.98,74.88,280.8
1/16/1981,12.89,14.22,12.14,6.3,2.55,100.96,12.66,15.49,311.6,13.91,68.26,311.7
1/17/1981,13.4,14.34,12.39,7.27,0.32,101.76,8.08,9.6,294.9,13.87,76.82,294.9
1/18/1981,13.01,14.09,11.86,6.83,3.48,101.67,10.65,12.88,299.4,13.8,73.92,299.4
1/19/1981,12.91,13.77,11.83,6.69,2.86,102.02,10.14,12.18,304.9,13.74,73.19,304.9
1/20/1981,14.1,14.55,12.53,7.98,3.65,100.93,12.81,15.72,282.2,13.83,79.98,282.1
1/21/1981,12.19,12.76,11.73,5.1,2.39,100.79,14.6,18.02,347.6,13.7,58.03,347.6
1/22/1981,11.57,12.15,11.17,5.45,1.34,101.36,11.23,13.53,348.9,13.7,64.87,348.9
1/23/1981,11.84,12.88,10.91,6.17,1.64,101.72,7.53,8.78,3.8,13.67,72.51,3.9
1/24/1981,12.3,12.5,11.99,6.56,0.84,102.1,5.73,6.58,339.6,13.67,74.9,339.5
1/25/1981,12.96,13.72,11.92,6.93,0.3,102.35,7.14,8.41,302.8,13.6,75.95,302.8
1/26/1981,13.12,13.81,12.72,6.99,0.18,102.38,8.37,9.94,293.9,13.63,75.85,293.9
1/27/1981,12.78,13.88,11.69,5.99,0.53,102.92,5.96,6.92,30.2,13.6,66.49,30.4
1/28/1981,11.31,11.66,10.3,4.97,1.01,102.9,6.74,7.81,357.4,13.46,61.12,357.3
1/29/1981,10.45,12.03,8.75,4.89,0.44,102.78,7.89,9.18,0.2,13.42,63.73,0.2
1/30/1981,10.91,11.67,9.8,5.25,1.16,102.75,5.12,5.81,3.8,13.34,66.36,4.4
1/31/1981,11.72,12.4,11.38,5.63,0.31,103.07,4.63,5.21,359.9,13.4,67.52,359.9
2/1/1981,12.26,12.76,11.83,6.15,0.05,103.22,2.74,3,24.5,13.48,71.23,24.6
2/2/1981,12.39,12.65,12.12,5.91,0.23,103.26,2.34,2.55,4.8,13.52,67.92,5.1
2/3/1981,11.92,12.42,11.43,6.43,2.74,102.68,5.87,6.76,280,13.51,75.69,280.1
