Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,7.42,13.98,3.46,5.42,1.31,98.81,3.05,4.37,350.4,7.23,83.95,352.5
1/2/1981,5.51,12.17,1.73,4.44,0,98.8,2.47,3.66,294.6,5.64,78.81,289.2
1/3/1981,6.72,14.06,1.41,4.41,0,98.99,1.26,2.02,35.9,6.1,74.06,38.5
1/4/1981,6.9,14.41,0.98,3.97,0,98.75,1.98,3.06,227.4,5.95,66.35,226.9
1/5/1981,6.23,14.35,0.63,3.65,0,98.37,2.28,3.56,253.3,5.44,63.41,250.6
1/6/1981,6.49,13.71,1.24,4.36,0,98.69,1.61,2.45,31.9,5.48,73,37.7
1/7/1981,4.97,11.04,1.31,3.09,0,98.55,2.39,3.43,282.2,4.32,58.3,279.9
1/8/1981,3.91,9.22,-0.3,3.26,0,98.27,3.7,5.07,324.8,4.03,64.72,325.3
1/9/1981,1.37,7.64,-4.12,1.88,0,98.82,3.08,4.48,346,0.9,47.65,344.6
1/10/1981,3.28,9.63,-1.53,2.16,0,98.62,1.28,1.8,234.8,1.46,45.99,236.1
1/11/1981,4.01,12.48,-2.19,2.03,0,98.32,2.58,3.9,168,2.94,42.57,169.7
1/12/1981,5.79,15.1,-1.34,1.95,0,97.99,3.06,4.42,164.9,4.69,34.79,162
1/13/1981,7.36,13.74,3.19,2.53,0.15,97.5,3.4,4.94,225,6.66,38.84,224.5
1/14/1981,5.75,13.04,0.18,2.98,0.01,97.9,2.73,4.1,272.9,5.52,54.49,269.9
1/15/1981,3.71,10.77,-2.04,2.93,0.01,98.5,3.32,4.74,271.1,3.3,60.72,270.6
1/16/1981,5.5,13.22,0.13,3.68,0,98.14,4.27,5.95,262.8,5.3,62.37,261.2
1/17/1981,8.13,15.65,3.2,5.19,0,98.52,1.5,2.19,105.9,7.44,76.29,111.1
1/18/1981,9.5,16.68,4.8,4.27,0,98.51,1.51,2.28,285.6,8.59,57.07,285.5
1/19/1981,7.98,15.06,2.97,4.56,0,98.66,1.25,2.02,344.9,7.36,70.49,338.3
1/20/1981,7.79,15.38,3.17,3.74,0,98.56,2.69,3.83,262.9,6.98,58.28,261.1
1/21/1981,8.98,15.78,4.33,3.24,0.15,97.6,5.65,7.54,304.2,8.76,45.71,304.7
1/22/1981,6.55,12.32,2.43,3.02,0.03,97.84,4.02,5.63,336.6,5.98,51.53,337
1/23/1981,5.29,12.08,0.26,3.03,0,98.04,2.35,3.61,355.3,5.19,55.95,357.9
1/24/1981,5.66,13.02,0.58,3.72,0,98.51,1.87,2.99,24.2,5.24,67,24.5
1/25/1981,6.5,12.97,0.64,3.99,0,99.02,1.3,1.97,66.8,5.38,68.39,59.3
1/26/1981,7.41,14.4,-0.08,3.18,0,99.21,1.38,1.99,196.4,5.13,51.82,208.5
1/27/1981,7.41,14.35,2.88,3.03,0,99.09,1.06,1.67,26.7,5.29,49.12,21.2
1/28/1981,6.88,12.79,3.2,3.73,0.11,99.13,2.31,3.26,47.4,6.46,61.82,47.7
1/29/1981,6.65,12.84,1.8,3.1,0.01,99.01,2.41,3.27,13.2,5.73,50.08,11.7
1/30/1981,4.21,11.32,-1.38,2.71,0,99.15,1.53,2.62,72.9,4.41,57.44,72.6
1/31/1981,4.19,13.19,-3.02,2.53,0,99.13,3.17,4.57,82.9,4.11,53.13,83.2
2/1/1981,4.6,12.16,-1.27,3.48,1.83,99.27,2.3,3.38,66.8,5.03,70.31,69.9
2/2/1981,5.77,13.39,0.23,3.52,0.81,99.37,1.97,3.02,63.7,5.66,65.43,66
2/3/1981,5.34,13.53,-0.13,3.87,0,99.14,2.32,3.4,51.8,5.97,72.33,56.8
2/4/1981,5.27,12.91,0.09,3.35,0,98.7,1.75,2.82,251.9,5.17,64.21,245.1
2/5/1981,7.61,14.61,1.27,3.75,0.07,98.02,5.43,7.45,261.8,7.22,55.89,262.5
2/6/1981,7.67,15.69,1.21,3.65,0,98.59,3.4,4.82,323.3,7.3,58.98,322.7
2/7/1981,7.01,14.36,0.99,3.92,0.01,98.99,2.08,3.31,358.1,7.02,63,0.9
2/8/1981,7.62,15.41,0.82,3.92,0,99.22,1.73,2.66,82.8,7.22,63.39,79.2
2/9/1981,8.2,15.8,0.93,4.18,0,99.06,1.74,2.78,119,8.41,65.09,119.9
2/10/1981,10.68,21.47,2.08,3.44,0,98.53,2.47,3.9,143.2,10.09,47.42,144.5
2/11/1981,12.08,21.02,3.66,2.71,0,98.23,2.17,3.16,200.9,10.49,33.65,206.2
2/12/1981,13.85,24,6.04,2.55,0.02,97.74,2.37,3.82,164.5,12.79,27.75,170.7
2/13/1981,17.1,25.91,11.92,2.93,0,97.53,2.79,4.19,218.7,16.4,24.52,216.3
2/14/1981,13.06,17.62,10.16,5.12,0,97.89,1.38,2.28,249.2,11.86,53.84,247.1
2/15/1981,13.52,18.66,8.38,5.04,0.11,98.09,1.04,1.52,284.5,13.51,54.14,285.7
2/16/1981,15.32,20.14,12.88,7.73,0.23,97.58,2.75,3.9,224.6,15.12,68.98,227.8
2/17/1981,14.03,19.77,10.24,6.39,0.01,97.16,4.32,5.85,257.5,14.32,65.65,257.1
2/18/1981,11.99,16.1,8.83,5.81,1.1,97.6,1.94,2.7,20.5,13.05,66.05,27.1
2/19/1981,10.1,15.7,4.54,4.34,0.02,97.98,1.62,2.37,279.6,10.39,58.67,278.9
2/20/1981,11.19,19.02,3.38,3.01,0,97.85,1.99,3.01,204,10.22,38.32,201.8
2/21/1981,11.06,18.8,5.46,3.3,0,97.4,3.82,5.36,266.8,11,40.88,272.4
2/22/1981,7.04,13.65,1.56,3.37,0.32,98.06,4.27,5.87,300.3,7.39,54.1,299.8
2/23/1981,8.37,16.62,1.98,2.48,0,98.38,2.3,3.53,258.6,7.97,39.53,256.9
2/24/1981,10.66,18.75,5.05,2.37,0,98.48,1.15,1.87,48,9.88,30.41,57.9
2/25/1981,12.1,21.55,4.48,2.7,0,98.36,1.72,2.79,43.5,12.1,33.57,41.7
2/26/1981,12.52,20.83,6.44,3.26,0,98.31,2.1,3.16,348.3,11.87,38.15,341
2/27/1981,14.46,23.16,6.45,3.33,0,98.19,1.63,2.47,223.5,13.4,33.84,232.4
2/28/1981,17.07,26.13,8.73,3.31,0,98.06,2.42,3.57,242.4,16.02,28.59,243.8
3/1/1981,17.88,25.5,11.51,3.32,0,97.9,1.56,2.66,175,16.63,26.71,186.8
3/2/1981,18.33,27.42,11.44,3.99,0.02,97.58,1.7,2.74,282.3,17.45,31.28,265.1
3/3/1981,19.35,27.72,12.35,4.63,0.02,97.5,2.03,3,72.5,18.66,34.41,72.6
3/4/1981,19.05,28.14,11.19,4.27,0,97.46,2.27,3.47,237.8,18.29,32.43,240.7
3/5/1981,19.36,27.5,11.35,4.8,0.03,97.61,3.48,4.83,77.6,19.48,35.67,75.9
