Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,13.39,14.67,11.99,7.06,1.83,102.15,7.62,9.17,342.3,14.6,75.28,342.4
1/2/1981,12.96,14.56,11.48,6.71,0.95,101.96,8.56,10.38,323,14.16,73.6,323
1/3/1981,12.24,14.41,10.53,6.63,0.18,102.3,5.63,6.65,319,13.77,76.57,319.1
1/4/1981,12.36,15.05,10.06,6.38,0,101.78,4.6,5.43,268.8,13.49,72.83,268.8
1/5/1981,12.8,16.94,9.87,6.92,0.11,101.5,7.14,8.61,301.1,13.92,76.44,300.6
1/6/1981,11.66,13.61,10.15,5.92,0.21,102.08,6.81,8.1,309.8,13.44,70.99,309.8
1/7/1981,11.62,14.34,9.48,6.28,0.74,101.44,7.92,9.52,293.1,13.44,74.49,293
1/8/1981,8.24,10.49,5.87,4.86,2.94,101.41,11.63,14.3,328.1,12.57,72.39,328
1/9/1981,7.72,8.64,6.95,4.77,1.58,101.97,10.56,12.85,329.1,12.22,74.14,329
1/10/1981,9.07,11.13,6.76,4.76,0.04,101.83,5.62,6.56,290.4,12.38,68.06,290.5
1/11/1981,10.52,12.23,8.17,5.15,0,101.75,6.35,7.52,224,12.54,66.52,224.2
1/12/1981,12.25,13.07,11.5,5.27,0.04,101.64,5.51,6.61,161.9,12.67,60.17,161.7
1/13/1981,12.28,13.47,9.45,5.89,0.25,100.58,4.61,5.43,239,12.7,66.4,238.3
1/14/1981,9.84,12.53,7.51,5,0.24,101,5.89,6.95,282.4,12.31,66.78,282
1/15/1981,10.91,14.88,7.96,5.69,0.02,101.22,8.11,9.78,264.9,12.79,71.24,265.2
1/16/1981,12.55,15.68,10.09,6.31,0.93,100.96,8.63,10.52,297.8,13.19,70.7,297.6
1/17/1981,12.31,15.05,9.61,6.7,0,101.8,4.84,5.82,302.5,12.9,76.54,303.1
1/18/1981,12.59,15.45,10.41,6.43,0.06,101.74,5.41,6.54,308.3,12.97,72.04,308
1/19/1981,11.86,14.43,9.69,6.18,0.23,102.06,7.03,8.46,308.4,12.75,73.27,308.4
1/20/1981,12.85,15.93,9.93,6.57,0.07,101.2,6.27,7.64,270,13.1,72.51,269.8
1/21/1981,12.56,13.98,11.92,5.14,2.64,100.3,14.67,18.5,325.4,13.15,56.64,325.4
1/22/1981,11.44,12.07,10.5,5.35,1.67,100.9,11.6,14.39,335.9,12.77,64,335.9
1/23/1981,11.17,12.51,10.28,6.21,1.08,101.37,8.37,10.12,338.4,12.63,76.1,338.5
1/24/1981,11.68,12.73,10.53,6.63,0.75,101.89,6.23,7.42,337.9,12.68,78.88,338
1/25/1981,11.84,14.42,9.8,6.28,0.02,102.31,5.08,6.09,315.9,12.5,74.66,316
1/26/1981,11.72,14.64,8.86,6.16,0,102.4,2.87,3.41,299.1,12.35,74.25,298.5
