Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,8.54,14.06,4.05,5.65,0.88,99.28,3.57,4.94,350,8.43,81.89,352.2
1/2/1981,5.73,12.53,1.95,4.42,0,99.24,2.47,3.58,303.9,5.95,78.93,299.5
1/3/1981,7.23,13.64,2.25,4.59,0,99.46,1.23,1.91,21.6,6.21,74.26,23.4
1/4/1981,6.85,13.49,1.23,4.2,0,99.17,2.55,3.69,235.2,5.65,69.37,235.5
1/5/1981,5.69,12.62,0.57,4.06,0,98.79,2.45,3.56,239.4,4.84,72.58,236.4
1/6/1981,5.76,12.65,0.95,4.31,0,99.2,1.76,2.78,13.8,5.07,74.59,13.9
1/7/1981,4.37,11.31,-1.61,3.28,0,98.95,2.98,4.34,273.5,3.63,65.16,271.8
1/8/1981,3.85,9.34,0.4,3.42,0,98.73,4.12,5.63,337,3.82,68.87,337
1/9/1981,1.13,7.06,-4.02,2.08,0,99.27,3.31,4.76,342.5,0.69,54.19,341.6
1/10/1981,2.89,9.36,-1.53,2.23,0,99.05,1.6,2.32,221.6,1.1,48.62,223
1/11/1981,3.42,11.09,-2,2.18,0,98.79,2.81,4.21,170.2,2.71,47,171.4
1/12/1981,5.26,12.39,0.22,1.99,0,98.45,3.52,5.05,160,4.59,36.41,158.4
1/13/1981,6.15,11.1,2.58,2.5,0.11,97.9,3.42,4.96,216.1,5.31,41.73,215.2
1/14/1981,4.19,10.88,-1.03,3.07,0,98.32,3.11,4.57,262.9,3.88,61.26,260.2
1/15/1981,3.29,10.23,-2.39,3.09,0,98.86,3.76,5.34,262.3,2.92,65.56,260.5
1/16/1981,5.55,13.09,0.22,4.07,0,98.5,3.98,5.52,264.2,5.13,68.86,262.6
1/17/1981,8.91,15.86,3.66,4.95,0,98.97,1.6,2.22,144.9,7.55,71.68,140
1/18/1981,9.26,16.17,4.55,4.8,0,98.95,1.91,2.88,258.1,7.98,66.7,259.8
1/19/1981,7.56,15.07,2.32,4.67,0,99.15,1.59,2.55,31.3,7.13,73.27,39.7
1/20/1981,7.56,15.03,1.58,3.56,0,98.92,3.8,5.32,253.2,6.64,56.6,252
1/21/1981,9.16,15.51,4.65,3.46,0.4,98,6.11,8.14,317.4,8.78,48.83,318
1/22/1981,6.81,12,3.15,3.17,0.01,98.27,4.52,6.28,338.4,6.35,52.92,338.3
1/23/1981,5.12,11.58,-0.17,3.27,0,98.52,2.5,3.77,4.4,4.83,60.85,4.5
1/24/1981,6.08,13.37,0.44,4.2,0,98.99,2.08,3.24,21.8,5.46,72.6,19.9
1/25/1981,6.86,12.78,3,3.82,0,99.5,1.28,1.81,280.1,4.74,63.92,281.8
1/26/1981,6.56,13.88,0.35,3.2,0,99.66,1.94,2.94,250.6,4.65,54.61,250.1
1/27/1981,6.41,14.11,0.61,3.57,0,99.57,1.65,2.61,351.8,5.67,61.89,352.4
1/28/1981,7.1,12.5,3.15,3.57,0.05,99.64,2.76,3.74,39.4,6.94,60.04,42.4
1/29/1981,5.67,10.68,1.41,3.27,0.08,99.5,2.28,3.48,15.7,5.54,56.29,18.4
1/30/1981,4.25,10.87,-1.48,2.55,0,99.65,1.39,2.18,84.2,3.29,53.05,84.5
1/31/1981,4.83,12.38,-1.39,2.92,0.14,99.69,2.62,3.91,71,4.24,55.93,70.3
2/1/1981,4.55,10.63,-0.53,4.3,2.93,99.8,1.75,2.74,58,4.67,82.85,58.7
2/2/1981,5.96,12.53,2.12,3.99,2.89,99.9,1.89,2.75,52.9,6.19,72.21,55.6
2/3/1981,5.31,13.33,-0.35,3.95,0,99.68,2.02,3.18,48.5,5.46,73.89,51.8
2/4/1981,5.49,12.09,1.31,3.65,0,99.12,2.51,3.58,238.5,4.69,67.62,237.5
2/5/1981,6.83,12.78,1.55,3.79,0.01,98.34,5.83,7.84,255.8,6.43,59.49,255.8
2/6/1981,6.97,14.66,1.88,3.71,0.01,99.02,3.74,5.37,316.5,6.54,62.05,316.7
2/7/1981,6.96,14.16,0.97,4.31,0.05,99.46,2.28,3.56,5.5,6.73,70.39,6.7
2/8/1981,8.54,15.79,2.01,4.27,0.02,99.69,1.56,2.28,78.3,7.42,63.49,76.6
2/9/1981,8.95,16.07,1.55,4.44,0,99.53,1.76,2.63,166.3,8.32,65.49,170.9
2/10/1981,10.31,19.32,2.76,3.6,0,99.03,2.24,3.42,139.9,9,49.69,145.5
2/11/1981,10.47,20.09,2.63,3.15,0,98.7,2.1,3.16,149.4,9.26,44,156.8
2/12/1981,12.51,21.73,5.98,2.79,0.09,98.18,2.89,4.45,156.6,11.5,32.11,161.8
2/13/1981,15.53,23.03,11.4,4.31,0.06,97.93,3.32,4.79,213.8,15.19,37.6,212.4
2/14/1981,12.27,18.11,8.94,5.98,0,98.31,1.83,2.95,254.5,11.45,68.11,253.2
2/15/1981,12.41,17.94,6.14,4.92,0.2,98.56,1.18,1.74,91.2,12.16,55.1,90.7
2/16/1981,13.35,16.99,11.89,7,5.21,98.03,1.67,2.48,180.6,13.38,71.51,182.8
2/17/1981,12.87,18.87,9.18,6.62,0.07,97.55,3.69,5.02,262.7,13.25,72.64,261.8
2/18/1981,10.77,15.2,7.48,5.81,0.69,98.12,2.37,3.19,60.2,11.62,72.78,63.1
2/19/1981,9.72,15.5,4.87,4.52,0,98.41,1.8,2.68,252.6,9.99,62.31,253.3
2/20/1981,10.25,18.69,3.48,3.25,0,98.26,2.84,4.31,198.6,9.84,43.64,199.4
