Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,11.27,15.78,7.86,5.93,0.27,101.77,4.64,6.1,346,11.37,73.67,347.4
1/2/1981,9.82,14.94,5.97,5.33,0.03,101.66,3.86,5.17,320.2,9.94,73.25,320.4
1/3/1981,9.61,14.83,5.48,5.21,0.01,101.93,3.16,4.24,287.3,9.84,72.85,288.6
1/4/1981,8.67,14.57,4.39,4.91,0,101.42,6.24,8.03,251.2,9.3,72.88,251.2
1/5/1981,9.25,16.35,3.7,5.28,0,101.18,4.34,5.64,272.6,9.89,74.99,271.1
1/6/1981,8.44,13.65,4.34,4.37,0,101.73,3.45,4.67,314.8,8.67,66.54,316.7
1/7/1981,8.24,14.69,2.63,4.37,0.01,101.18,5.8,7.46,270.1,8.9,66.84,269.6
1/8/1981,6.54,9.04,4.02,3.59,0.36,101.23,7.3,9.37,332.2,7.53,59.72,332.4
1/9/1981,4.1,7.91,1.3,2.94,0.02,101.75,5.64,7.34,332.4,5.36,60.12,332.6
1/10/1981,5.41,11.14,0.82,3.49,0,101.47,4.5,5.9,262.2,6.31,64.57,262.4
1/11/1981,6.24,11.97,1.57,3.41,0,101.27,4.07,5.38,224.5,6.85,59.62,224.9
1/12/1981,7.53,12,4.5,3.47,0,101.04,2.18,3.02,152.7,7.66,54.65,151.8
1/13/1981,7.89,12.91,4.29,3.58,0.01,100.19,4.03,5.32,251.5,8.04,55.42,251.5
1/14/1981,6.12,12.02,0.35,3.6,0,100.63,4.21,5.47,266.6,7.08,63.55,266.4
1/15/1981,6.97,13.05,2.85,4.04,0,101,6.41,8.27,252.9,7.88,66.47,252.8
1/16/1981,9.17,16.93,4.35,5.34,0.03,100.71,6.09,8.02,267.2,9.44,75.27,265.5
1/17/1981,10.21,16.88,4.86,5.26,0,101.42,3.4,4.61,273.1,10.16,71.56,273.1
1/18/1981,10.95,17.02,6.08,5.41,0.08,101.34,3.24,4.29,287.1,10.93,69.8,286.1
1/19/1981,9.64,15.87,4.35,4.81,0.02,101.69,2.71,3.76,303.3,9.54,68.1,303.7
1/20/1981,10.28,16.35,5.5,4.73,0,100.93,6.87,8.95,252,10.33,63.41,251.9
1/21/1981,11.61,14.28,9.58,4.23,0.83,100.26,8.94,11.6,324,11.37,50.66,324
1/22/1981,9.58,13.5,6.88,3.75,0.02,100.7,6.9,8.97,342.3,9.64,51.52,342.2
1/23/1981,8.77,12.84,5.17,4.74,0.04,101.04,4.76,6.17,345,9.19,68.94,345.1
1/24/1981,9.25,14.05,4.87,5.13,0.06,101.5,3.3,4.33,345.2,9.33,72.83,344.9
1/25/1981,9.75,15.35,5.06,4.77,0,101.9,3.09,4.12,277,9.96,66.49,277.2
1/26/1981,9.29,16.06,4.06,4.29,0,101.97,5.25,6.84,253.4,9.58,62.27,253.4
1/27/1981,9.28,15.09,4.18,5.01,0.01,102.14,3.99,5.25,4.1,9.63,70.27,4.6
1/28/1981,8.8,13.56,4.36,4.24,0,102.21,3.23,4.38,1.1,8.97,64.28,1.1
1/29/1981,7.31,10.83,3.87,4.01,1.05,102.09,3.77,5.04,354.6,7.64,65.27,355
1/30/1981,6.72,12.52,1.24,3.66,0.02,102.18,2.83,3.81,324.3,7.04,63.58,323.6
1/31/1981,8.2,12.88,4.17,4.53,0.5,102.37,3.23,4.26,11.8,8.76,70.93,12.1
2/1/1981,8.04,11.16,4.53,5.42,4.38,102.44,3.57,4.7,23.3,8.51,82.72,23.4
2/2/1981,7.98,9.61,6.73,5.41,8.17,102.53,1.54,2,357.6,8.51,83.26,357.5
2/3/1981,8.11,12.06,4.71,4.92,0.64,102.25,2.79,3.75,268.5,8.36,76,267.4
2/4/1981,8.34,14.4,3.44,4.15,0,101.29,6.52,8.46,244.3,8.75,63.88,244.3
2/5/1981,8.27,14.96,4.23,4.17,0.15,100.46,6.14,7.95,260.2,8.67,62.18,259.8
2/6/1981,9.73,15.75,5.35,4.56,0.1,101.34,5.26,6.9,299.5,9.86,63.62,299.3
2/7/1981,10.25,15.63,5.71,5.48,0.14,101.98,3.76,5.1,350.6,10.27,74.34,350.1
2/8/1981,9.73,15.98,4.99,5.39,0.09,102.26,1.96,2.82,331.2,10.29,75.27,340.3
2/9/1981,11.05,17.37,5.43,5.01,0,101.91,4.13,5.59,240.5,10.93,63.53,240.3
2/10/1981,11.37,17.98,6.28,4.69,0,101.51,3.54,4.91,242.8,11.16,58.67,242.2
2/11/1981,12.07,18.84,6.95,4.11,0,101.18,2.69,3.88,250.9,11.4,48.63,250.3
2/12/1981,13.19,19.89,9.19,4.49,0.02,100.67,1.52,2.25,195.1,11.99,50.1,198.1
2/13/1981,13.22,19.41,9.02,6.47,0.27,100.29,2.79,4.06,227.3,12.23,69.06,225.7
2/14/1981,13.22,18.94,8.61,6.35,0,100.66,1.83,2.63,261.5,12.93,70.58,264.6
2/15/1981,11.24,14.88,8.12,6.15,0.16,101.28,3.79,4.9,72,11.91,75.72,71.1
2/16/1981,12.1,17.6,7.56,7.42,4.79,100.57,2.68,3.63,114.7,12.34,85.54,115.5
2/17/1981,11.76,14.61,9.5,7.3,6.57,100.04,3.73,4.96,0.3,11.59,84.94,359
2/18/1981,10.65,13.06,7.76,6,0.3,100.68,2.39,3.18,317.6,11.27,76.51,318.6
2/19/1981,10.98,15.85,7.17,5.21,0.04,100.73,3.17,4.26,247.7,11.05,66.1,247
2/20/1981,11.42,16.8,7.07,4.79,0,100.6,3.69,4.99,223.4,11.35,58.15,223.6
2/21/1981,9.86,14.97,7.46,5.24,3.37,100.38,3.3,4.33,351.1,9.93,69.57,351.9
2/22/1981,9.28,13.26,5.87,4.79,1.94,100.82,3.66,4.8,317.8,9.24,67.27,317.5
2/23/1981,9.91,16.56,3.36,4.12,0,101.13,2.34,3.27,270.4,10.03,56.46,272.8
2/24/1981,11.13,16.51,6.37,5.51,0,101.51,1.95,2.66,81.6,11.5,70.39,84.2
2/25/1981,12.15,18.67,6.25,5.08,0,101.39,1.61,2.3,195.5,12.29,61.23,204.7
2/26/1981,11.91,15.86,8.78,6.65,0,101.4,2.44,3.38,100.3,12.37,78.57,99.9
2/27/1981,12.76,18.7,7.61,6.15,0,101.18,1.44,2.06,138.7,12.96,70.74,142.2
2/28/1981,16.29,23.8,10.24,5.56,0,100.84,2.33,3.37,223.4,15.59,51.18,223.3
3/1/1981,16.31,21.94,11.67,6.25,0,100.74,1.47,2.27,356.9,15.97,55.09,10
3/2/1981,16.01,21.97,11.58,7.21,0,100.67,2.08,2.93,45.7,16.1,66.42,43.8
3/3/1981,14.95,19.59,11.83,7.98,0,100.57,2.62,3.64,57.9,15.44,76.96,55.3
3/4/1981,15.05,21.12,11.64,7.26,0,100.34,2.85,3.88,101.8,15.45,69.64,95.8
3/5/1981,13.4,17.9,9.95,7.14,0,101.11,3.77,4.96,72.1,14,76.8,72.1
3/6/1981,12.61,15.76,10.59,7.48,0,101.27,4.68,6.02,62.4,12.82,83.54,62.6
3/7/1981,13.99,18.59,10.57,7.71,0,101.48,4.57,5.96,51.3,14.44,80.6,51.1
3/8/1981,12.75,17.62,8.85,6.94,0.01,101.96,3.01,4.01,49.8,13.63,78.02,48
3/9/1981,14.05,20.63,8.51,6.45,0,101.87,1.85,2.55,208,14.32,68.9,210.9
3/10/1981,14.83,20.77,9.47,6.89,0,101.78,2.1,2.92,54.7,15.25,69.1,51.7
3/11/1981,16,22.84,10.24,6.4,0,101.6,1.34,2.02,163.8,16.66,60.6,159.2
3/12/1981,20.03,28.12,12.82,6.71,0,100.93,3.81,5.36,245.2,19.19,48.79,245.2
3/13/1981,19.96,25.39,15.24,7.06,0,100.59,1.91,2.72,119.1,19.29,49.7,116.5
3/14/1981,14.91,16.55,11.91,8.03,2.45,100.78,4.72,6.08,65.1,15.17,76.58,65.2
3/15/1981,15.23,20.69,11.18,8.41,0,100.4,3.72,4.87,49.7,15.91,79.89,49.6
3/16/1981,14.85,19.3,12.05,8,0,100.75,4.25,5.51,54.4,15.34,78.28,54.4
3/17/1981,14.43,17.96,11.8,8.5,0.05,100.2,4.68,6.03,64.9,15.19,83.81,65.1
3/18/1981,12.77,16.15,10.1,5.71,5.87,100.11,5.54,7.16,340.1,13,62.88,340.5
3/19/1981,12.76,19.14,6.52,4.71,0,100.69,3.5,4.7,287.7,12.86,54.29,288.4
3/20/1981,16.06,22.73,10.44,4.62,0,100.84,1.07,1.43,171.9,15.42,42.79,161.3
3/21/1981,16.73,22.6,10.31,5.68,0,100.87,1.68,2.32,37.6,16.61,49.57,34.4
3/22/1981,16.75,22.18,11.22,7.02,0.14,100.91,2.36,3.26,262.8,17.57,63.07,262.7
3/23/1981,16.76,22.21,11.84,6.76,0.44,101.04,3.04,4.07,18.7,17.35,60.9,17.9
3/24/1981,16.75,23.06,11.51,6.81,0,101.44,1.16,1.7,169.4,17.86,61.62,184.8
3/25/1981,19.29,26.5,13.2,6.83,0,101.31,2.78,3.85,224.5,19.28,51.7,227.3
3/26/1981,20.68,27.82,13.22,7.46,0,101.03,2.97,4.08,209.8,20.34,53.5,209.9
3/27/1981,18.8,23.9,15.22,8.56,0.06,100.76,2.26,3.11,27.7,18.94,65.43,26.6
3/28/1981,21,30.57,13.39,7.85,0.15,100.37,1.58,2.19,162.7,20.91,55.95,165
