Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,11.67,14.03,9.71,6.61,1.8,101.49,6.58,8.54,317.1,12.58,78.62,317.4
1/2/1981,11.86,14.02,10.74,6.37,2.53,101.24,7.98,10.43,315.7,12.68,74.61,315.9
1/3/1981,10.75,12.45,8.16,6.41,0.46,101.53,5.48,7.07,303.7,11.65,81.05,303.9
1/4/1981,11.71,14.19,10.13,6.74,0.03,100.96,5.27,6.83,280.7,12.23,79.85,280.6
1/5/1981,12.21,16.84,10.16,6.74,0.33,100.73,7.44,9.76,305.8,12.69,76.87,305.8
1/6/1981,10.57,12.79,8.1,5.55,0.55,101.27,6.61,8.61,304.8,11.54,70.81,304.9
1/7/1981,10.47,11.87,9.19,6.11,4.38,100.62,7.79,10.16,307.1,11.44,77.57,307.2
1/8/1981,6.16,8.71,4.07,3.96,5.78,100.9,9.77,12.81,343.4,8.71,67.73,343.5
1/9/1981,6.02,6.99,4.66,4.06,1.19,101.37,8.26,10.74,332.5,8.48,70.42,332.6
1/10/1981,7.46,10.87,4.37,4.04,0.03,101.05,3.92,5.03,304.7,9.05,64.28,305.1
1/11/1981,8.79,13.35,4.9,4.71,0.01,100.84,4.47,5.86,187.7,9.59,68.9,187.5
1/12/1981,9.51,12.03,7.6,4.78,0.02,100.89,4.64,6.08,179.5,9.92,65.23,179.7
1/13/1981,8.27,9.98,5.52,5.24,1.41,99.89,2.99,3.99,280.3,9.15,76.61,280.6
1/14/1981,7.14,10.16,3.92,5.09,4.18,100.17,5.88,7.69,282.9,8.76,80.14,283
1/15/1981,10.19,14.25,6.06,5.98,0.87,100.29,7.33,9.57,279.3,11.12,78.1,279.3
1/16/1981,12.02,14.06,8.87,6.03,1.3,100.15,9.74,12.89,313,12.28,69,313.1
1/17/1981,10.99,15.68,7.68,6.53,0.02,101.02,4.7,6.19,302.3,11.38,81.58,302.7
1/18/1981,11.17,14.64,9.13,6.33,1.62,100.95,6.52,8.57,297.1,11.57,77.91,297.1
1/19/1981,10.88,13.67,9.18,6.14,1.76,101.26,6.85,8.95,304.6,11.43,77.31,304.7
1/20/1981,11.87,15.28,8.52,6.8,1.31,100.28,7.33,9.64,278.1,12.12,79.3,277.9
1/21/1981,11.2,12.4,10.25,4.6,2.6,99.73,12.99,17.37,334.9,11.77,55.36,334.9
1/22/1981,10.1,11.45,9.25,4.92,1.08,100.38,9.12,12.02,337.1,10.91,64.18,337.2
1/23/1981,9.96,12.29,8.9,5.68,0.73,100.79,6.09,7.88,345.4,10.91,75.41,345.8
1/24/1981,10.46,12.93,8.16,6.17,0.62,101.24,4.4,5.7,334.5,11.06,79.53,335.1
1/25/1981,10.73,15.3,7.84,6.18,0.14,101.57,5.14,6.67,306,11.36,79.63,306.3
1/26/1981,10.77,15.25,7.22,5.99,0.02,101.63,4.44,5.8,301.2,11.31,77.15,301.3
1/27/1981,10.88,14.08,8.19,5.68,0.63,102.02,5.13,6.7,7,11.35,71.73,7.3
1/28/1981,8.86,11.36,6.37,4.31,1.01,102,5.21,6.87,346.7,9.53,62.41,346.9
