Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
01/01/1981,13.4,15.06,12.03,6.95,0.52,102.31,6.85,8.29,349.5,14.3,74.28,349.5
01/02/1981,12.73,14.68,10.98,6.41,0.06,102.2,6.36,7.64,323.7,13.78,71.62,323.7
01/03/1981,12.1,14.17,10.42,6.31,0.01,102.5,4.71,5.59,306.2,13.52,73.65,306.4
01/04/1981,11.23,14.76,8.74,6.18,0,102,7.25,8.7,256.1,13.29,76.54,256.1
01/05/1981,11.82,15.59,8.3,6.53,0,101.74,6.09,7.29,284.3,13.48,77.35,283.9
01/06/1981,11.53,13.46,9.8,5.55,0.01,102.29,5.44,6.48,316.7,13.12,67.28,317
01/07/1981,10.99,14.44,7.41,5.76,0.02,101.72,7.49,8.99,276.9,13.15,72.47,276.6
01/08/1981,8.9,11.03,6.85,4.67,0.46,101.72,10.21,12.43,328.9,12.61,66.28,329
01/09/1981,7.72,8.8,6.54,4.16,0.12,102.25,9.68,11.73,334.9,12.16,65.08,334.8
01/10/1981,9.12,11.64,6.85,4.59,0,102.05,6.15,7.28,276.6,12.2,65.18,276.6
01/11/1981,10.26,12.85,7.73,4.44,0,101.91,5.47,6.5,225.9,12.36,58.64,226
01/12/1981,10.79,12.16,8.68,4.67,0,101.69,4.35,5.14,150.9,12.31,58.57,151
1/13/1981,10.83,12.91,8.79,4.9,0,100.78,5.24,6.24,250.1,12.37,61.47,250
1/14/1981,9.4,12.46,5.99,4.95,0,101.21,5.81,6.87,272.6,12.13,68.94,272.5
1/15/1981,9.98,13.09,7.94,5.18,0,101.57,8.24,9.94,260.9,12.52,69.09,261
1/16/1981,11.67,15.79,8.56,6.43,0.02,101.25,7.93,9.71,275.9,12.97,76.27,275.6
1/17/1981,12.22,15.25,9.84,6.48,0,102.01,4.62,5.59,282.6,12.87,75.07,283.1
1/18/1981,12.33,15.3,9.42,6.59,0.05,101.93,4.47,5.44,290.4,12.94,75.69,289.4
1/19/1981,11.92,14.77,9.27,6.01,0.01,102.27,4.44,5.36,310.9,12.53,71.14,310.7
1/20/1981,12.14,15.61,8.87,5.96,0,101.49,7.9,9.66,255.6,12.82,69.53,255.6
1/21/1981,12.91,13.95,11.74,5.04,0.84,100.71,11.85,14.77,322.2,13.16,54.8,322.2
1/22/1981,11.53,12.86,10.28,4.86,0.24,101.18,10.06,12.38,338.6,12.66,58.13,338.6
