Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,8.61,11.49,5.95,6,2.15,98.32,4.79,6.99,305.3,8.49,85.09,305.2
1/2/1981,8.2,9.76,7.26,5.7,7.05,98.09,6.05,8.76,306,8.18,82.69,306
1/3/1981,7.48,9.96,4.79,5.89,1.65,98.27,3.42,5.18,299.3,7.25,89.78,299.8
1/4/1981,8.38,12.57,4.96,6.03,0.14,97.7,3.53,5.3,275.8,8.32,86.45,275.8
1/5/1981,9.83,14.18,6.23,6.28,0.75,97.6,5.42,7.9,302.6,9.75,80.12,302.6
1/6/1981,6.97,10.77,4.96,4.91,1.31,98.09,4.4,6.48,303,6.92,78.15,303.2
1/7/1981,6.57,9.1,4.05,5.36,6.19,97.48,5.7,8.33,296.7,6.3,85.82,296.9
1/8/1981,2.81,5.31,0.41,3.18,4.9,97.83,6.13,8.9,349.3,2.84,66.26,349.4
1/9/1981,1.71,4.38,-0.05,2.83,0.59,98.22,4.55,6.7,342.6,1.78,64.75,342.9
1/10/1981,3.97,8.93,0.74,4.36,0.75,97.66,1.93,3.22,299.1,3.82,85.12,301.5
1/11/1981,4.67,13.07,-0.73,4.03,0,97.25,2.74,4.22,203.6,4.55,76.02,203.7
1/12/1981,5.94,10.82,3.33,4.29,0.01,97.33,1.65,2.75,204.6,5.45,72.63,204.2
1/13/1981,4.23,8.56,1.49,4.46,5.07,96.53,2.02,3.28,278.9,4.19,83.85,277.9
1/14/1981,3.53,7.05,0.07,4.34,3.08,96.94,4.24,6.34,287,3.34,85.22,288.1
1/15/1981,7.68,12.57,2.54,5.46,0.51,97.08,5.69,8.28,277.4,7.67,82.06,277.3
1/16/1981,9.63,12.4,4.61,6.22,4.76,97.05,6.56,9.6,310.3,9.43,80.8,310.3
1/17/1981,8.11,14.99,3.98,6.03,0.43,97.74,3.03,4.66,280,7.95,87.36,279.5
1/18/1981,8.55,12.18,5.73,5.7,3.2,97.73,4.87,7.23,302.1,8.29,80.54,302.6
1/19/1981,7.22,10.81,4.67,5.59,3.93,98.07,3.95,5.92,302.8,6.93,86.97,303.2
1/20/1981,9.31,14.36,4.91,6.05,3.55,97.16,6.37,9.3,279,9.19,81.3,279.2
1/21/1981,8.17,10.19,5.9,4.09,3.84,96.94,8.29,12.06,333.5,7.94,58.92,333.5
1/22/1981,6.9,9.76,5.42,3.66,0.43,97.38,6.08,8.88,339.9,6.81,58.07,339.9
1/23/1981,5.12,7.9,3.22,4.68,2,97.69,3.19,4.83,339.2,5.03,83.55,339.6
1/24/1981,5.91,10.05,3.51,5.2,1.59,98.03,2.23,3.55,309.1,5.78,88.04,309.6
1/25/1981,6.52,13.3,2.74,5.28,0.49,98.31,2.55,4.12,296.1,6.3,85.8,297.6
1/26/1981,6.71,14.46,1.13,5.03,0,98.32,2.46,3.89,284.5,6.64,81.29,283.8
1/27/1981,7.37,13,3.41,5.38,1.54,98.68,2.13,3.32,16.2,7.37,83.38,12.8
1/28/1981,5.16,9.62,1.05,4.6,4.2,98.69,2.36,3.52,328.1,4.23,83.44,327.9
1/29/1981,3.98,8.95,-0.36,3.72,1.18,98.6,2.57,4.08,356.3,4.05,74.77,358.8
1/30/1981,3.27,8.08,-0.76,4.33,1.3,98.59,2.43,3.87,315.3,3,88.91,316.7
1/31/1981,5.05,10.45,1.13,4.32,0.62,98.89,1.84,2.98,330.6,4.85,80.11,332.3
2/1/1981,6.32,11.44,2.36,4.88,1.87,98.99,1.46,2.43,353.8,5.51,82.98,355
2/2/1981,5.76,9.18,2.68,5.03,1.31,99.03,1.28,2.23,353.9,5.19,87.4,355.8
2/3/1981,5.39,9.54,2.2,4.97,3.09,98.59,2.14,3.51,279.2,5.1,88.19,278.5
2/4/1981,7.11,16.13,0.28,4.13,0.02,97.36,2.94,4.63,251.2,6.89,69.59,251.4
2/5/1981,6.57,9.23,4.93,4.87,5.53,96.79,5.88,8.6,295.8,6.53,77.41,296.2
2/6/1981,7.92,11.5,5.2,5.32,7.03,97.8,6.15,8.96,319.7,7.92,78.51,319.7
2/7/1981,8.7,12.03,6.23,6.17,2.47,98.53,3.36,4.97,320.6,8.77,87.11,320.6
2/8/1981,8.26,13.99,4.87,5.83,0.5,98.65,1.49,2.41,289.3,8.07,85.74,292.7
2/9/1981,11.08,21.29,3.17,5.69,0,98.07,1.71,2.91,236,9.86,71.64,234.7
2/10/1981,10.96,19.71,4.05,5.34,0,97.79,1.52,2.59,224.2,10.41,66.93,230.7
2/11/1981,9.85,15.9,5.08,6.14,0,97.59,1.9,3.08,289.7,9.4,78.92,298.1
2/12/1981,10.75,17.23,6.74,6.23,0.1,97.04,1.18,1.84,163.6,10.51,77.61,180.6
2/13/1981,10.84,19.4,6.2,6.05,1.12,96.56,2.97,4.75,209.4,10.08,73.44,210
2/14/1981,8.2,13.34,4.77,6.17,2.69,97.23,2.51,3.94,302.3,8.14,88.01,305
2/15/1981,9.02,15.72,4.66,5.49,0.11,97.65,1.49,2.31,130.8,9.63,76.77,134.4
2/16/1981,10.4,18.29,3.82,6.16,1.07,97,2.3,3.47,175.2,10.69,77.93,175.8
2/17/1981,9.01,12.56,5.21,6.53,7.36,96.8,2.37,3.59,62.2,9.17,88.75,63.6
2/18/1981,6.47,10.66,2.74,5.53,3.18,97.15,2.07,3.17,306.3,6.6,89.77,307
2/19/1981,6.38,13.16,1.14,4.63,0.32,96.99,1.97,3.21,241.1,6.58,77.43,246.5
2/20/1981,7.65,13.21,2.88,4.76,0.42,96.94,2.08,3.16,266.8,8.09,72.7,268.7
2/21/1981,5.56,8.13,3.43,5.17,9.31,97.01,2.64,3.94,300.3,5.86,88.93,301.2
2/22/1981,5.37,9.25,1.87,4.78,5.1,97.3,3.48,5.32,312.4,5.28,84.24,314
2/23/1981,6.07,11.42,1.99,5.09,1.24,97.55,2.55,4.06,288.2,6.05,85.93,290.1
2/24/1981,7.54,14.18,0.68,4.26,0.06,97.81,1.54,2.48,259.6,6.78,68.29,258.2
2/25/1981,7.48,13.87,2.83,5.17,0.03,97.84,2.32,3.68,293.5,7.12,79.39,294.9
2/26/1981,6.73,12.73,2.84,4.94,0.01,97.88,2.21,3.5,303.5,6.36,78.41,304.2
2/27/1981,9.3,16.87,1.46,5.12,0.01,97.5,1.33,2.1,194.2,8.62,70.79,198.5
2/28/1981,13.64,23.53,5.91,6.72,0,97.17,2.04,3.27,251.3,12.65,69.87,256.1
3/1/1981,15.31,23.52,8.41,7.5,0,97.25,1.29,2.03,237.1,13.6,70.05,229.9
3/2/1981,14.41,20.08,10.38,7.69,0.24,97.29,0.96,1.56,287.5,13.23,73.95,282.3
3/3/1981,13.09,20.75,8.68,7.9,0.07,97.07,1.6,2.4,291.8,13.19,82.77,289.5
