Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,9.45,14.11,5.41,5.69,0.6,100.16,4.6,6.49,329.4,9.22,78.63,329.7
1/2/1981,8.97,13.46,6.29,5.33,1.09,99.93,5.14,7.28,326.4,8.58,75.87,326.6
1/3/1981,7.46,13.89,3.5,5.27,0.28,100.21,2.74,4.32,313.2,6.93,83.43,314.9
1/4/1981,7.69,15.41,2.48,4.84,0.01,99.66,2.59,4.06,288.7,6.95,76.41,290.3
1/5/1981,9.51,17.18,5.01,5.61,0.16,99.44,4.81,6.88,312.6,9.05,76.1,313.2
1/6/1981,6.95,12.97,3.38,4.35,0.21,100.01,3.94,5.7,310.6,6.64,72.36,311.3
1/7/1981,7.67,13.53,3.18,4.72,0.82,99.37,5.52,7.74,300.8,7.36,71.81,301.2
1/8/1981,3.71,6.21,1.58,3.36,2.75,99.56,7.11,9.85,337.8,3.51,67.45,337.9
1/9/1981,1.93,5.58,-1.02,2.84,0.32,100.06,6,8.41,331.4,1.63,66.37,331.7
1/10/1981,3.7,10.64,-2.13,3.65,0.18,99.69,2.01,3.24,296.4,2.9,76.25,296.6
1/11/1981,4.96,12.52,-0.71,3.53,0,99.45,3.3,4.95,219.6,4.54,68.41,217.1
1/12/1981,5.92,10.7,2.21,3.49,0.01,99.45,1.88,2.98,191.1,4.86,60.81,190.9
1/13/1981,6.56,12.52,1.69,3.74,0.55,98.47,2.14,3.38,285,5.82,61.44,283.6
1/14/1981,4.8,10.16,-0.53,3.63,0.43,98.88,3.81,5.62,295.5,4.36,66.54,296.5
1/15/1981,7.37,15.44,1.29,4.21,0.03,99.07,4.39,6.27,275.2,7.07,68.15,275.4
1/16/1981,9.88,15.76,4.75,5.39,0.61,98.88,4.78,6.85,310.6,9.44,72.05,311.3
1/17/1981,8.76,17.44,2.97,5.15,0.05,99.68,2.69,4.17,300.6,8.05,75.1,301.5
1/18/1981,9.14,15.95,5.16,4.87,0.29,99.66,3.7,5.5,308.6,8.67,68.88,309.5
1/19/1981,7.83,14.15,3.01,5,0.42,99.99,3.88,5.68,308.3,7.49,78.19,309.2
1/20/1981,10.72,17.84,4.86,5.09,0.16,99.08,4.75,6.78,281.1,10.28,65.62,281.3
1/21/1981,9.93,12.19,7.68,3.85,0.81,98.52,10.24,14.19,332.2,9.67,50.28,332.3
1/22/1981,8.05,11.56,5.75,3.49,0.12,99.07,7.75,10.78,339.2,7.86,52.3,339.2
1/23/1981,6.88,10.98,4.39,4.66,0.5,99.45,4.97,6.94,333.1,6.82,75.6,333.4
1/24/1981,7.34,12.45,3.85,5.12,0.65,99.88,3.94,5.71,329.5,7.16,81.16,329.8
