Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,5.59,10.24,2.02,4.86,0.3,93.52,5.71,7.88,339.2,5.59,81.63,339.3
1/2/1981,5.22,9.52,3.07,4.62,0.41,93.28,6.72,9.27,334,5.08,79.39,334.1
1/3/1981,4.9,10.69,1.05,4.47,0.14,93.55,3.42,5.06,324,4.48,79.17,326.1
1/4/1981,5.11,15.13,-0.59,3.65,0,93.05,2.83,4.52,294.3,4.26,67.74,294
1/5/1981,6.02,12.91,0.89,5.13,0.18,92.9,5.75,8.02,328.2,5.87,81.65,328.5
1/6/1981,2.97,9.27,-1.02,3.75,0.11,93.36,4.59,6.53,335.8,2.71,77.02,336.6
1/7/1981,3.91,10.42,-0.27,3.86,0.1,92.82,6.05,8.46,315.1,3.62,71.49,315.3
1/8/1981,-0.34,1.78,-3,2.9,1.28,92.85,7.11,9.76,348.8,-0.46,72.03,349
1/9/1981,-2.17,1.84,-4.26,2.28,0.23,93.27,5.82,8.12,347.4,-2.25,68.31,347.7
1/10/1981,0.59,7.58,-3.26,3.5,0.22,92.95,2.52,3.98,292.7,0.12,83.22,292.7
1/11/1981,1.07,6.73,-3.08,3.28,0,92.75,3.93,5.61,229.9,0.92,76.18,229.2
1/12/1981,3,7.12,0.36,2.89,0.02,92.72,1.75,2.74,181.2,1.86,57.98,179.9
1/13/1981,3.14,9.26,-1.85,2.9,0.59,91.89,3.04,4.42,265.3,2.36,58.09,263.7
1/14/1981,0.69,5.3,-3.28,3.17,0.17,92.28,3.83,5.65,314.7,0.1,73.63,316.7
1/15/1981,3.3,11.56,-2.06,3.68,0.01,92.56,4.86,6.82,294,3.11,73.63,294
1/16/1981,6.92,11.9,2.79,5.6,1.42,92.4,5.93,8.23,320.8,6.69,84.15,320.8
1/17/1981,6.32,15.05,0.65,4.48,0.11,93.1,3.47,5.07,297.6,6.1,74.93,297.9
1/18/1981,5.49,12.42,0.29,4.66,0.28,93.08,3.82,5.48,322.1,5.37,79.45,322.5
1/19/1981,4.23,11.2,-0.21,4.49,0.34,93.38,3.97,5.69,326.6,4.2,83.21,327.2
1/20/1981,7.45,15.28,0.89,4.25,0.25,92.66,5.36,7.6,293.7,6.91,64.79,293.6
1/21/1981,5.48,8.36,3.26,4.14,2.1,92.03,10.9,14.94,339,5.43,68.25,339
1/22/1981,3.38,7.39,0.61,3.15,0.26,92.47,7.94,10.93,350.1,3.28,61.35,350.1
1/23/1981,2.11,6.52,-0.7,3.8,0.3,92.81,4.98,6.92,349.9,2.16,81.65,350.1
1/24/1981,3.24,10.06,-0.71,4.14,0.14,93.22,3.54,5.13,337.6,3.25,82.01,336.9
1/25/1981,4.15,12.43,-0.6,3.94,0.09,93.58,2.76,4.09,324.8,3.95,75.08,324.8
1/26/1981,5.65,16.61,-1.5,3.24,0,93.6,2.18,3.77,296.3,4.51,61.42,292.9
1/27/1981,4.13,10.64,-0.8,4.51,0.3,93.84,3.28,4.89,10.4,3.97,82.02,11.8
1/28/1981,2.5,8.52,-2.61,3.62,0.03,93.85,2.98,4.54,345.2,2.38,77.76,343.7
1/29/1981,1.64,6.21,-3.89,3.23,0.59,93.68,3.81,5.43,358.1,1.83,73.14,358.9
1/30/1981,1.13,8.19,-3.94,3.1,0.34,93.74,3.47,4.98,333.6,1.3,75.62,333.4
1/31/1981,1.95,7.42,-1.5,3.6,1.04,94,3.62,5.11,2.2,2.23,80.17,2.9
2/1/1981,2.98,7.83,-2.08,3.97,1.32,94.13,3.4,4.84,12.4,3.14,80.57,12.7
2/2/1981,3.1,5.25,1.47,4.6,2.78,94.12,3.25,4.6,2.6,3.11,91.01,3
2/3/1981,4.05,10.38,0.2,3.7,0.76,93.81,2.09,3.2,313.3,4.22,72.19,313
2/4/1981,4.75,13.63,-1.42,2.94,0,92.87,4.39,6.43,259,4.38,56.9,258
2/5/1981,4.75,10.55,1.12,3.73,0.4,92.16,6.11,8.56,313.1,4.68,64.37,314
2/6/1981,5.29,10.2,2.05,4.36,1.6,93,7.1,9.78,336.1,5.49,74.89,336.1
2/7/1981,6.13,11.88,2.71,4.91,1.65,93.71,4.78,6.7,348.8,6.27,80.35,349
2/8/1981,7.77,17.55,2.53,4.57,0.18,93.88,2.98,4.31,307,8.31,72.18,310.7
2/9/1981,9.24,19.27,2.85,4.44,0,93.55,3.5,5.13,260.6,9.12,63.37,259.7
2/10/1981,9.37,18.73,2.78,4.1,0,93.19,2.04,3.23,272.7,9.76,56.89,273.4
2/11/1981,9.77,18.72,3.87,4.09,0,92.92,1.69,2.85,274.2,9.19,54,272.4
2/12/1981,9.47,16.15,4.8,3.74,0.01,92.52,2.29,3.58,209.4,8.82,49.31,207.1
2/13/1981,9.36,14.51,6,5.82,0.56,92.16,4.15,5.92,214.3,8.85,72.49,214.5
2/14/1981,9.09,17.19,2.89,5.01,0.04,92.53,2.37,3.66,324,9.38,66.12,325.9
2/15/1981,6.88,12.54,1.57,5.07,0.7,93,2.51,3.53,106.9,8.02,78.08,102.1
2/16/1981,7.26,13.04,1.11,6.01,3.35,92.43,2.25,3.04,126.6,8.13,86.86,126.2
2/17/1981,6.03,10.09,2,5.54,17.85,92.03,3.01,4.25,27.1,6.21,87.39,27.2
2/18/1981,6.19,11.43,1.72,4.9,0.85,92.43,2.16,3.14,325.2,6.89,79.26,323.6
2/19/1981,4.95,11.34,-1.44,3.65,0,92.42,2.86,4.17,256.7,5.38,66.13,254.3
2/20/1981,7.03,14.33,1.24,3.69,0.04,92.31,2.85,4.17,238.4,7.33,57.88,237.7
2/21/1981,4.12,7.42,1.43,4.47,9.38,92.23,2.91,4.26,345.8,4.03,80.85,348.7
2/22/1981,2.45,8.12,-1.23,3.77,1.36,92.55,4.12,6.04,328.6,2.33,78.78,329.7
2/23/1981,4.32,12.6,-1.92,3.89,0.01,92.86,2.67,4.19,319.4,4.41,74.55,320.4
2/24/1981,5.17,13.1,-1.35,3.96,0,93.18,2.19,3.48,254.7,5.37,71.07,244.3
2/25/1981,7.42,15.21,0.79,4.3,0.01,93.13,1.94,3.09,285.7,7.74,66.47,278
2/26/1981,6.72,13.45,1.9,4.83,0.01,93.14,1.99,2.97,235,6.71,75.44,231.4
2/27/1981,7.79,15.78,1.02,4.59,0,92.91,2,3.01,245.5,8.02,66.94,242.9
2/28/1981,12.51,22.39,4.84,4.91,0,92.72,3.29,4.92,250.2,12.33,54.32,248.8
3/1/1981,14.22,21.93,7.53,5.96,0,92.72,1.62,2.69,336.5,14.01,56.11,66.5
3/2/1981,14.97,22.24,8.21,6.07,0,92.67,1.1,1.74,40.9,14.3,55.94,42.4
3/3/1981,13.36,21.76,6.55,6.75,0.02,92.5,2.25,3.45,249.4,13.94,69.71,238.1
3/4/1981,13.98,22.19,8.26,6.47,0.01,92.27,1.29,2.16,210.7,14.52,64.28,207
3/5/1981,11.24,18.57,6.12,5.8,0.01,92.92,2.12,3.04,63.9,12.59,68.42,63.2
3/6/1981,9.45,16.69,4.59,4.27,0.04,93.15,1.91,2.78,69.8,10.35,58.5,72
3/7/1981,11.37,20.03,5.57,5.61,0,93.34,2.84,4.13,16,12.18,66.34,16.1
3/8/1981,10.63,18.39,5.27,5.14,0,93.7,2.3,3.33,38,12.2,65.52,36.4
3/9/1981,12.85,21.28,6.95,5.33,0,93.63,2.48,3.79,343.5,13.35,59,346.1
3/10/1981,13.19,22.69,5.85,5.18,0,93.63,2.1,3.36,1,13.66,56.66,359.1
3/11/1981,15.83,24.65,6.77,5.49,0,93.49,1.84,2.65,359.9,14.85,50.17,0
3/12/1981,19.35,29.98,11.04,6.69,0,92.97,2.09,3.45,282.4,19.03,48.77,276.5
3/13/1981,17.9,24.77,12.08,6.57,0.01,92.66,2.49,3.8,311.7,17.82,51.56,308.4
3/14/1981,10.88,14.03,7.26,7.22,0.04,92.7,2.5,3.47,90.1,11.45,82.75,94.1
3/15/1981,13.04,20.66,6.18,6.79,0.01,92.43,2.59,3.6,47.1,13.83,69.2,46.8
3/16/1981,13.07,19.23,8.78,6.99,0,92.66,2.48,3.49,65.5,14.21,71.98,63.3
3/17/1981,9.92,15.72,4.03,5.97,0.1,92.22,3.41,4.73,54,10.92,74.55,53.3
3/18/1981,6.43,10.48,2.53,4.46,13.18,92.01,6.41,8.77,330.9,7.22,70.17,331.1
3/19/1981,7.31,14.49,2.45,3.8,0.03,92.4,5.32,7.49,318.2,7.7,59.37,317.7
3/20/1981,11.45,21.02,4.26,3.77,0,92.68,2.47,3.75,245.6,11.64,46.14,244
3/21/1981,12.9,20.87,5.9,5.06,1.84,92.81,1.98,3.09,302.5,13.2,54.64,280.6
3/22/1981,12.92,20.71,5.42,5.45,0.58,92.79,2.39,3.48,310.5,13.35,60.72,306.5
3/23/1981,11.7,19.06,6.15,5.86,0.07,92.99,3.96,5.52,343.3,12.65,69.02,343.1
3/24/1981,14.01,23.5,5.03,6.06,0,93.3,2.14,3.19,350,15.11,62.67,345.3
3/25/1981,17.94,26.63,10.13,6.7,0,93.23,1.36,2.03,269.5,18.11,51.95,269.2
3/26/1981,18.78,26.72,11.47,7.03,0.01,93.03,2.39,3.73,282.2,18.82,51.79,279.7
3/27/1981,16.46,22.92,12.5,7.48,0.73,92.83,1.85,2.78,274.2,15.52,60.93,267.5
