Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,9.05,15.89,4.14,5.05,0.05,102.06,2.78,4.03,320.8,8.75,74.32,319.3
1/2/1981,8.12,15.03,2.8,4.77,0,101.91,2.13,3.24,305.1,7.49,74.6,304.2
1/3/1981,8.7,14.62,4.93,4.6,0,102.18,1.37,2.14,277.3,7.75,68.37,279.8
1/4/1981,6.82,14.95,1.71,4.31,0,101.73,3.62,5.1,246.2,6.53,74.22,245.9
1/5/1981,5.96,12.78,0.74,4.54,0,101.42,1.95,2.86,233.6,6.04,80.35,232
1/6/1981,6.93,14.1,1.81,3.82,0,101.98,2.25,3.46,330.3,6.31,65.97,331.9
1/7/1981,5.86,13.33,-0.49,3.71,0,101.51,3.66,5.09,272.8,5.54,67.76,271.3
1/8/1981,5.2,11.22,1.46,3.03,0.05,101.55,4.84,6.53,344.7,4.79,57.34,345.7
1/9/1981,3.1,9.43,-1.93,2.23,0,102.07,3.36,4.79,340.6,2.29,50.67,339.4
1/10/1981,3.71,11.39,-2.13,2.7,0,101.72,2.5,3.78,244.9,2.75,57.26,245.8
1/11/1981,4.1,11.72,-2,2.97,0,101.43,2.78,4.18,190,3.74,62.14,190.8
1/12/1981,5.26,10.86,0.39,2.55,0,101.15,2.06,3.1,135.9,4.75,48.12,135.3
1/13/1981,6.5,13.36,2.67,2.73,0.01,100.43,2.87,4.19,241.8,5.82,47.1,245.9
1/14/1981,3.75,10.67,-2.77,3.12,0,100.91,2.8,3.94,262.9,3.99,64.58,262.9
1/15/1981,4.95,12,-1.12,3.56,0,101.36,4.3,5.77,258.8,4.92,68.19,258.1
1/16/1981,7.89,16.54,1.88,4.89,0.01,101.03,3.74,5.23,270.9,7.45,74.68,268.1
1/17/1981,9.58,16.72,5.62,4.95,0,101.66,1.56,2.38,253.5,8.03,70.54,252.3
1/18/1981,9.57,17.7,3.06,4.97,0.01,101.54,1.88,2.86,270.6,8.82,70.93,270.8
1/19/1981,8.12,15.72,3.32,4.23,0.01,101.95,2.05,3.12,301.9,7.94,67.4,298.7
1/20/1981,9.03,17.36,1.83,4.01,0,101.31,5.14,6.99,252.5,8.62,60.33,252.2
1/21/1981,11.35,16.47,6.91,3.91,0.45,100.67,6.31,8.35,322.4,10.83,49.22,322.7
1/22/1981,9.02,15.27,4.5,3.31,0,101.02,4.28,5.87,348,8.58,49.53,348
1/23/1981,7.68,14.38,1.84,3.7,0.01,101.29,2.76,3.98,3.3,7.54,60.63,2.9
1/24/1981,7.8,15.37,2.31,3.84,0.01,101.74,1.85,2.99,321.2,7.65,62.77,320.9
1/25/1981,7.75,15.15,3.23,3.74,0,102.15,1.98,3.04,260.7,7.31,60.48,260.9
1/26/1981,7.62,16.6,1.16,3.69,0,102.26,3.33,4.76,248.6,7.34,62.49,248.8
1/27/1981,7.88,16.79,0.99,4.19,0,102.32,2.71,3.78,62.2,8.03,65.7,64
1/28/1981,8.28,14.6,3.74,3.79,0,102.42,2.74,3.84,17.2,8.8,60.79,25.9
1/29/1981,7.36,12.79,3.62,3.5,0.68,102.27,2.47,3.52,31.3,6.26,58.26,33.1
1/30/1981,5.59,12.09,0.71,2.78,0,102.41,1.14,1.74,257.8,4.64,52.39,259.1
1/31/1981,6.74,12.57,1.87,3.49,0.61,102.55,2.02,2.95,51.8,5.62,59.8,52.4
2/1/1981,7.33,13.08,2.33,4.56,1.11,102.65,2.74,3.84,42.2,7.34,74.96,41.8
2/2/1981,6.7,9.75,4.69,5.07,7.07,102.76,1.24,1.83,42.4,6.61,85.48,39.7
2/3/1981,7.55,12.8,4.2,4.69,0.49,102.49,1.28,1.94,271.8,6.94,75.91,276.3
2/4/1981,6.69,15.08,-0.12,3.51,0,101.6,4.25,5.84,235.7,6.61,62.86,234.8
2/5/1981,7.1,15.34,1.86,3.7,0.03,100.78,4.66,6.23,261.5,6.96,60.23,260.4
2/6/1981,8.6,16.9,2.17,4.07,0.04,101.67,3.85,5.35,306.1,8.38,64.05,305.8
2/7/1981,10.09,17.63,3.28,4.8,0.07,102.2,2.14,3.2,5.7,9.2,67.91,7.7
2/8/1981,9.77,16.92,3.25,5.03,0.06,102.44,1.28,1.98,108.2,9.47,70.98,110.8
2/9/1981,10.4,18.33,4,4.67,0,102.15,2.54,3.74,228.4,9.91,63.67,228.5
