Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,13.24,14.45,12.32,7.1,1.83,102.15,8.08,9.64,314.9,14.91,76.37,315.3
1/2/1981,13.49,14.21,13.11,7.11,2.66,101.87,9.77,11.83,319.1,14.76,74.98,319.1
1/3/1981,12.96,13.85,12.03,7.16,0.79,102.18,7.66,9.08,300.6,14.57,78.37,300.7
1/4/1981,14.12,14.51,13.62,7.42,0.16,101.57,9.12,11.01,283.6,14.67,74.91,283.6
1/5/1981,14.17,15.64,12.82,7.2,0.76,101.34,10.45,12.76,307.2,14.59,71.75,307.4
1/6/1981,12.71,13.99,11.74,6.06,1.67,101.89,9.35,11.3,306.6,14.31,66.98,306.9
1/7/1981,12.69,14.07,10.14,6.2,6.42,101.2,11.03,13.48,309.6,14.29,68.53,309.8
1/8/1981,8.22,9.77,6.96,4.81,7.6,101.5,12.86,15.77,350.9,13.8,71.8,350.9
1/9/1981,8.86,9.78,7.66,5.07,1.83,102,10,11.96,343.3,13.69,72.88,343.3
1/10/1981,10.06,10.75,9.48,5.02,0.08,101.74,5.67,6.51,312,13.68,66.54,311.9
1/11/1981,11.81,13.15,10.13,5.64,0.04,101.63,5.9,6.91,181.7,13.74,66.24,182.1
1/12/1981,12.94,13.4,12.02,5.87,0.04,101.68,7.21,8.56,176.3,13.8,64.04,176.3
1/13/1981,11.63,13.31,10.05,6.33,3.25,100.6,5.29,6.12,249.7,13.57,74.67,249.7
1/14/1981,10.78,11.65,10.24,6.19,7.69,100.78,8.21,9.76,279.7,13.46,77.14,279.4
1/15/1981,12.56,13.66,10.8,6.94,4.41,100.85,11.06,13.53,279.4,13.77,76.99,279.5
1/16/1981,13.13,14.08,12.64,6.3,1.21,100.74,12.71,15.75,311.9,13.78,67.07,312
1/17/1981,13.21,14.21,12.19,7.11,0.17,101.68,7.4,8.85,304.9,13.67,75.99,305
1/18/1981,12.95,13.88,11.97,7.06,3.56,101.56,9.57,11.64,295.2,13.59,76.63,295.1
1/19/1981,12.83,13.58,11.97,6.61,2.68,101.88,9.66,11.7,306.4,13.57,72.72,306.4
1/20/1981,13.75,14.42,12.97,7.99,5.86,100.85,10.84,13.34,279.8,13.68,82.03,279.8
1/21/1981,12.47,13.27,11.98,5.42,5.08,100.23,15.56,19.5,342.5,13.54,60.1,342.6
1/22/1981,12.19,12.97,11.7,5.6,1.37,100.99,10.4,12.65,349.5,13.48,63.86,349.6
1/23/1981,11.9,12.76,11.18,6.23,0.89,101.47,7.87,9.37,7.5,13.43,72.78,7.6
1/24/1981,12.12,12.6,11.56,6.49,0.37,101.95,5.68,6.6,344.5,13.43,74.91,344.6
1/25/1981,12.82,13.76,12.05,6.85,0.24,102.24,7.1,8.45,308,13.48,75.77,308.1
1/26/1981,13.1,13.59,12.44,7.04,0.51,102.31,7.74,9.26,301.3,13.53,76.53,301.3
1/27/1981,12.53,13.55,11.19,5.86,0.62,102.76,7.59,9.03,15.8,13.48,65.9,15.9
