Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,6.45,9.32,4.44,5.57,2.01,95.21,5.09,7.26,315.7,6.38,88.53,315.8
1/2/1981,5.92,7.91,4.98,5.36,5.28,95,6.3,8.95,314.8,5.92,88.11,314.9
1/3/1981,5,7.96,0.84,5.35,1.31,95.17,3.48,5.25,308,4.6,92.13,309.6
1/4/1981,4.39,11.4,0.53,4.89,0.04,94.66,2.84,4.52,274.9,4.06,88.02,275.4
1/5/1981,6.92,12.03,3.43,5.72,0.83,94.55,5.1,7.34,307.6,6.77,86.48,307.9
1/6/1981,3.91,8.92,1.28,4.35,1.02,95.01,3.91,5.74,310.3,3.76,83.42,311.1
1/7/1981,3.61,7.75,0.29,4.74,3.32,94.45,5.52,7.97,295,3.22,90.16,295.3
1/8/1981,0.21,2.38,-2.7,3.15,5.62,94.63,6.23,8.89,345.5,0.06,76.39,345.6
1/9/1981,-1.2,1.69,-4.01,2.61,0.92,95.03,4.73,6.86,340.7,-1.37,72.33,340.8
1/10/1981,1.49,6.4,-1.39,4.03,0.91,94.54,2.16,3.48,296.1,1.15,90.43,299.3
1/11/1981,2.6,10.68,-2.4,3.6,0,94.16,3.21,4.87,212.6,2.14,76.93,212.6
1/12/1981,3.88,8.92,0.45,3.68,0.02,94.21,2.17,3.53,199.8,3.14,69.39,200.5
1/13/1981,2.39,7.41,-0.77,3.85,2.91,93.4,1.98,3.25,269,1.91,80.03,268.5
1/14/1981,0.99,5.05,-2.41,3.79,1.63,93.86,3.97,5.9,290.5,0.58,86.54,292.2
1/15/1981,5.17,11.19,-0.3,4.69,0.18,94.09,5.25,7.53,280.4,5.11,81.73,280.4
1/16/1981,7.7,10.71,3.74,5.98,2.73,94.02,6.65,9.53,313.9,7.56,85.75,314
1/17/1981,6.25,13.5,3.24,5.22,0.27,94.68,3.14,4.7,283.9,6.05,84.86,284.2
1/18/1981,5.98,10.79,2.23,5.03,1.8,94.67,4.3,6.36,305.5,5.73,82.67,306.6
1/19/1981,5.08,9.42,1.33,5.12,2.49,94.99,3.95,5.74,305.4,5.07,89.47,305.9
1/20/1981,7.71,13.9,2.45,5.21,1.12,94.18,6,8.64,281,7.5,76.89,281.2
1/21/1981,5.72,8.57,3.27,4.26,4.97,93.82,8.97,12.79,331.9,5.57,70.29,331.9
1/22/1981,4.3,7.59,2.64,3.42,0.66,94.24,6.75,9.66,340.7,4.15,63.12,340.7
1/23/1981,2.95,5.63,0.95,4.32,2.33,94.52,4.03,5.81,337.3,2.95,87.29,337.4
1/24/1981,3.55,8.56,0.96,4.68,2,94.88,2.68,4.04,312.8,3.63,90.07,312.8
1/25/1981,4.36,11.68,0.35,4.73,0.34,95.19,2.56,3.98,299.8,4.18,86.19,300.3
1/26/1981,4.96,14.59,-1.64,4.19,0,95.19,2.14,3.57,287,3.87,75.6,288.3
1/27/1981,4.59,10.57,0.44,4.95,1.94,95.52,2.26,3.59,4.7,4.29,86.83,5.8
1/28/1981,3.55,7.85,-0.76,4.18,2.91,95.53,2.68,3.85,333.4,2.33,82.54,333.4
1/29/1981,1.97,6.71,-3.51,3.53,2.05,95.41,3.04,4.6,354.6,2.04,78.81,356.3
1/30/1981,1.08,5.93,-3.63,3.92,1.34,95.42,2.76,4.15,312.9,1.11,89.77,314.1
1/31/1981,3.12,7.57,-0.23,4.12,1.59,95.69,2.42,3.59,337,3.44,84.29,337.8
2/1/1981,3.8,9,-1.04,4.44,2.04,95.81,1.82,2.93,3.1,3.81,85.24,4.7
2/2/1981,3.69,6.38,1.24,4.9,3.7,95.81,2.04,3.18,357,3.46,94.21,357.7
2/3/1981,3.6,8.35,0.02,4.35,1.7,95.45,1.98,3.2,287.7,3.5,85.63,286.8
