Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,11.57,14.41,8.12,6.2,0.59,101.52,5.32,7,345.1,11.62,74.4,346.1
1/2/1981,10.3,14.1,6.41,5.53,0.05,101.44,4.53,6,318.2,10.45,72.96,318.4
1/3/1981,9.61,13.73,6.36,5.46,0,101.75,3.38,4.6,303.7,9.89,75.74,303.7
1/4/1981,9.01,14.63,5.04,4.96,0,101.26,6.11,7.96,255.6,9.52,72.06,255.7
1/5/1981,9.81,16.19,4.53,5.15,0,100.98,4.82,6.27,272.1,10.34,70.4,272
1/6/1981,8.77,13.03,5.43,4.66,0,101.53,3.81,5.14,314,9.08,68.17,315
1/7/1981,8.46,13.72,3.55,4.31,0,100.98,6.48,8.4,270.9,9.07,64.46,270.8
1/8/1981,6.85,9.74,4.71,3.78,0.25,100.94,7.82,10.16,326.7,7.62,61.31,327
1/9/1981,5.1,7.99,2.86,3.18,0.07,101.48,6.74,8.79,328.1,6.19,59.82,328.3
1/10/1981,5.47,11.11,1.34,3.39,0,101.31,4.26,5.67,273.4,6.21,62.2,273.5
1/11/1981,6.72,13.02,2.04,3.24,0,101.14,3.74,5.08,218.1,7.1,54.96,219.5
1/12/1981,6.8,12.03,3.34,3.45,0,100.87,2.83,3.97,158.2,7.01,57.21,157.8
1/13/1981,7.57,13.47,4.23,3.46,0,100.02,4.46,5.96,245.6,7.79,54.63,245.6
1/14/1981,6.61,12.32,1.98,3.67,0,100.45,4.82,6.32,265.1,7.36,62.7,265.5
1/15/1981,6.99,11.98,2.83,4.07,0,100.84,6.62,8.64,259.2,7.73,67.09,259.1
1/16/1981,9.51,15.84,4.93,5.33,0,100.51,6.38,8.46,269.9,9.71,72.52,269.1
1/17/1981,9.91,15.78,5.27,5.42,0,101.26,3.14,4.42,289.1,9.62,74.28,289.6
1/18/1981,11.08,16.51,6.85,5.63,0.03,101.16,3.69,4.92,279.3,10.7,70.83,278.4
1/19/1981,10.12,14.93,6.01,4.94,0.01,101.5,3.13,4.29,306.2,9.81,66.92,305.5
1/20/1981,10.77,16.37,5.97,4.57,0,100.78,7.43,9.74,255.8,10.8,58.75,255.8
1/21/1981,11.94,14.49,10.08,4.2,0.7,100,9.88,12.95,316.8,11.74,48.92,316.9
1/22/1981,10,12.54,7.94,4.05,0.13,100.43,7.7,10.09,335.9,9.93,53.49,336
1/23/1981,9.27,12.28,6.93,5.05,0.27,100.8,4.93,6.47,341.2,9.46,70.25,341.3
1/24/1981,9.4,13.13,6.2,5.67,0.15,101.29,3.66,4.92,337.5,9.58,78.94,337.5
1/25/1981,9.49,14.85,5.15,4.74,0,101.73,3.43,4.67,283,9.73,66.62,283.4
1/26/1981,9.38,16.04,4.39,4.4,0,101.81,5.35,7.02,258.5,9.67,63.38,258.7
1/27/1981,9.17,14.38,4.41,5.23,0.02,101.92,4.53,5.97,339,9.59,73.14,339
1/28/1981,9.29,12.62,6.39,4.25,0.03,101.99,3.53,4.87,356.2,9.3,60.99,356.3
1/29/1981,7.82,10.5,4.72,4.2,1.26,101.85,4.1,5.56,347.9,7.94,65.35,348.7
1/30/1981,6.9,11.88,2.03,3.77,0.04,101.98,3.1,4.35,316.3,7.09,64.22,315.4
1/31/1981,8.37,12.1,4.89,4.97,1.16,102.15,2.81,3.97,3,8.62,75.96,3.6
2/1/1981,8.51,10.87,6.49,5.73,7.06,102.21,2.47,3.44,29.6,8.28,84.81,29.6
2/2/1981,8.13,10.48,6.61,5.55,5.47,102.33,1.07,1.49,300.3,7.91,84.43,283
2/3/1981,8.53,14.01,4.41,4.88,0.2,102.06,2.36,3.2,263.4,8.65,74.27,262.6
2/4/1981,8.77,14.89,3.63,4.22,0,101.16,6.38,8.34,247.5,9.17,63.3,247.5
2/5/1981,8.53,13.1,5.38,4.23,0.1,100.28,6.68,8.75,257.7,8.74,61.27,257.7
2/6/1981,9.59,15.12,5.53,4.49,0.04,101.11,6,7.92,298.8,9.69,62.68,298.8
2/7/1981,10.07,14.39,6.29,5.68,0.13,101.76,3.89,5.33,343.9,9.94,76.74,342.9
2/8/1981,9.89,14.86,5.98,5.92,0.15,102.08,2.27,3.17,350.2,9.95,79.23,352
2/9/1981,11.07,18.7,5.14,5.04,0,101.78,3.4,4.76,239.4,11.04,64.96,239.4
2/10/1981,12.09,19.65,6.34,4.82,0,101.36,2.89,4.12,242.5,11.56,58.16,240.8
2/11/1981,12.72,20.52,7.48,4.48,0,101.02,1.9,2.81,256.9,11.66,51.27,256.1
2/12/1981,13.32,21.51,7.51,4.48,0.01,100.51,2.25,3.28,194.4,12.19,50.39,195.1
2/13/1981,14.45,21.32,9.34,6.81,0.11,100.12,3.26,4.66,227.6,13.78,66.93,227.7
2/14/1981,13.67,18.58,10.2,6.84,0,100.49,2.52,3.51,285,12.98,72.86,284.9
2/15/1981,11.3,15.08,8.19,6.45,0.36,101.08,3.19,4.27,69.2,11.78,78.3,68.6
2/16/1981,11.47,15.81,7.99,7.6,7.89,100.4,2.69,3.72,140.2,11.37,89.91,140.3
2/17/1981,12.11,16.98,9.11,7.52,4.38,99.81,4.24,5.71,326.8,12.1,85.74,326.9
2/18/1981,10.46,13.36,7.94,6.27,0.31,100.49,2.32,3.19,333.9,10.83,80.48,335.2
2/19/1981,10.98,16.5,6.9,5.23,0.09,100.59,3.07,4.29,251.5,11.2,67.08,251.5
2/20/1981,11.82,18.39,6.52,4.59,0,100.47,3.74,5.18,216.4,11.64,55.23,217.4
2/21/1981,10.85,17.53,6.61,5.05,1.16,100.14,3.55,4.79,311.4,11.3,63.48,316
2/22/1981,9.74,13.29,6.78,5.13,2.64,100.61,4.4,5.85,315.6,10.01,69.65,315.9
2/23/1981,9.68,16.22,3.81,4.11,0,100.98,3.2,4.44,276.4,9.83,57.32,277.3
2/24/1981,11.5,17.18,6.82,5.65,0,101.33,2.01,2.87,72.9,11.6,70.29,76.8
2/25/1981,11.75,19.08,6.08,5.24,0,101.23,1.8,2.68,136.6,12.21,65.71,133.5
2/26/1981,11.68,16.35,7.97,6.61,0,101.22,2.5,3.51,85.8,12.12,78.46,85.7
2/27/1981,12.49,18.77,7.85,6.32,0,101.02,1.69,2.4,140.1,12.83,73.59,141.2
2/28/1981,16.31,24.98,9.39,5.94,0,100.68,2.14,3.2,219.2,15.64,56.09,218.8
3/1/1981,16.83,21.99,12.81,6.21,0,100.56,1.47,2.3,262.9,15.91,52.97,266.4
3/2/1981,15.57,19.84,12.41,7.03,0,100.47,1.49,2.11,18.1,15.14,64.68,17.1
3/3/1981,14.75,19.37,11.73,8.11,0,100.37,2.12,2.97,33.9,15.19,79.35,31.9
3/4/1981,15.23,22.5,11.6,7.23,0,100.16,3.28,4.42,93.2,15.5,69.63,72.7
3/5/1981,13.3,17.93,9.86,7.24,0,100.92,3.41,4.56,63.6,13.95,77.79,63.6
3/6/1981,13.29,17.3,10.3,7.78,0,101.01,4.68,6.1,69.7,13.64,83.5,69.7
3/7/1981,13.9,17.93,10.25,8.18,0.01,101.25,4.53,5.98,48.3,14.41,84.3,48.2
3/8/1981,12.48,17.14,9.23,7.3,0.04,101.76,2.84,3.94,37.6,13.03,81.04,36.9
3/9/1981,13.33,20.13,7.17,6.31,0,101.72,1.47,2.14,172.9,13.8,70.26,173.7
3/10/1981,14.27,20.38,9.6,6.79,0,101.61,2,2.91,4.2,14.79,69.58,7.3
3/11/1981,15.47,22.62,9.75,6.39,0,101.45,1.45,2.18,170,15.98,62.6,207.9
3/12/1981,19.79,28.34,12.94,6.84,0,100.8,3.62,5.19,250.1,18.96,50.49,251.2
3/13/1981,19.48,25.53,14.91,7.23,0,100.42,2.33,3.27,219.8,18.75,52.33,222.2
3/14/1981,15.44,18.62,12.6,8.13,0.22,100.56,4.43,5.76,67.8,15.81,75.58,67.7
3/15/1981,15.67,21.47,11.65,9.02,0,100.17,2.47,3.36,49.8,16.66,82.6,48.7
3/16/1981,14.67,18.49,12.03,8.38,0.01,100.54,3.68,4.86,38.9,15.32,81.32,39.6
3/17/1981,15.14,21,11.67,8.69,0.06,99.96,4.24,5.49,68,16.06,82.8,68.2
3/18/1981,13.08,16.07,10.07,6.21,3.03,99.87,6.13,8.02,335.7,13.6,66.73,336.7
3/19/1981,12.87,18.44,7.19,4.74,0.02,100.52,4.18,5.68,292.5,13.15,53.95,293.3
3/20/1981,15.98,23.02,9.79,4.45,0,100.68,1.14,1.7,204.9,15.62,41.98,198.4
3/21/1981,15.95,23.74,9.16,5.65,0,100.7,1.89,2.71,108.7,16.4,54.31,80.9
3/22/1981,16.39,22.03,10.67,6.99,0.02,100.74,2.03,2.87,329.7,17.04,63.44,334.1
3/23/1981,16,21.09,12.12,6.95,0.26,100.86,3.01,4.09,4.8,16.73,64.4,4
3/24/1981,15.64,21.29,11.01,6.86,0.01,101.3,1.8,2.46,26,16.51,66.44,17.9
3/25/1981,18.53,26.67,12.01,6.79,0,101.17,2.81,3.84,210.7,18.96,54.11,214.1
3/26/1981,20.59,28.77,12.61,7.59,0,100.9,2.34,3.28,187.2,20.29,54.56,185.5
3/27/1981,18.7,24.67,15.24,8.63,0.07,100.57,2.48,3.44,329.5,19,65.58,332.5
3/28/1981,21.32,30.75,13.7,7.79,0.03,100.22,2.01,2.87,159.2,21.29,54.55,159.3
3/29/1981,22.98,32,16.16,7.11,0.36,99.93,2.94,4.31,161.2,22.32,44.52,162
3/30/1981,23.63,34.2,14.7,6.09,0,99.33,4.37,6.07,189.3,22.58,36.84,188.3
3/31/1981,17.44,21.29,13.32,5.49,0.19,99.83,7.69,10.04,255.4,17.72,44.9,255.4
4/1/1981,17.91,23.64,12.21,5.87,0,100.34,5.42,7.11,252.9,18.22,47.86,252.8
4/2/1981,17.75,25.12,11.53,5.5,0,100.48,3.44,4.56,250.9,18.61,46.45,253.9
4/3/1981,19.55,29.06,11.5,6.34,0,100.34,3.83,5.23,140.1,19.19,51.31,140
4/4/1981,17.94,23.66,13.35,7.86,0.01,100.4,4.09,5.49,338.3,18.33,64.03,338.4
4/5/1981,16.4,21.72,11.63,7.81,0,100.83,2.74,3.66,18.1,17.9,70.82,16.5
4/6/1981,16.94,23.17,11.63,7.73,0,101.12,2.82,3.72,112.1,18.36,68.58,112
4/7/1981,17.94,25.43,11.28,7.77,0,101.23,2.95,3.89,112,19.19,66.64,111.5
4/8/1981,19.36,27.7,13.34,8.39,0,101.42,2.69,3.63,107.2,20.42,66.16,107.1
4/9/1981,23.09,32.3,14.25,6.22,0,101.29,2.25,3.14,201.9,22.24,41.79,202
4/10/1981,19.69,23.61,15.89,7.81,0,101.04,2.25,3.1,30.4,20.13,55.51,37.4
4/11/1981,20.46,27.98,15.19,8.9,0,100.58,2.65,3.48,100.5,21.75,62.77,99.1
4/12/1981,19.96,26.75,14.86,10.05,0,100.32,4.03,5.23,72.8,21.15,72.25,72.2
4/13/1981,17.87,21.78,14.8,9.65,0,100.59,6.06,7.76,66.5,19.17,76.81,66.6
4/14/1981,16.76,20.54,13.83,8.24,0,100.99,5.32,6.81,72.1,18.25,71.04,72.1
4/15/1981,17.66,22.84,13.97,7.63,0,101.18,3.55,4.54,83.8,19.39,64.07,83.8
4/16/1981,17.49,22.76,13.03,7.13,0.31,100.38,3.02,3.93,111,18.07,60.75,112.2
4/17/1981,17.95,22.34,13.99,9.09,0,99.67,4.22,5.44,24.6,19.41,72.98,24.8
4/18/1981,19.63,27.37,14.1,7.91,0,99.88,2.75,3.6,178.5,20.71,61.28,183.3
4/19/1981,18.12,23.43,13.95,8.44,0,100.65,4.18,5.36,83.5,19.8,68.86,83.5
4/20/1981,18.33,24.32,12.95,8.6,0,100.62,2.8,3.63,78.4,20.45,69.75,76.3
4/21/1981,18.29,23.22,14.48,10.02,0.04,100.15,6.29,8.08,92.4,19.68,78.34,92.2
4/22/1981,22.22,31.47,16.8,9.55,0.02,99.4,4.87,6.27,104.7,23.12,63.92,105.7
4/23/1981,22.16,30.79,16.1,7.73,0.04,99.54,2.25,3.1,259.9,23.14,52.81,257.7
4/24/1981,20,25.96,15.12,7.25,0,100.39,3.09,3.98,11.4,21.99,50.76,20.6
4/25/1981,22.07,31.29,14.91,6.88,0.02,100.51,2.92,3.92,177,22.64,49.16,175.9
4/26/1981,23.42,28.43,19.31,6.75,0.12,100.06,4.49,6.02,236.2,22.95,38.61,235.4
4/27/1981,18.46,22.88,15.15,8.1,0,100.76,4.87,6.09,68.5,20.92,62.89,68.8
4/28/1981,18.01,21.57,14.78,8.87,0.03,100.74,5.5,7,86.3,18.98,69.96,86.3
4/29/1981,19.19,22.31,17.01,9.98,0.06,100.56,4.76,6,71.2,20.37,73.48,71
4/30/1981,22.44,31.35,16.31,10.4,0.28,99.98,2.34,2.98,77.7,24.26,66.58,73.4
5/1/1981,23.27,29,18.72,8.69,0.12,99.57,2.22,2.93,321,24.51,50.83,327.3
5/2/1981,20.04,23.7,16.4,8.03,0,100.25,4.2,5.31,21,22.26,56.74,21
5/3/1981,21.81,28.76,13.75,6.21,0,100.3,4.43,5.81,242.7,22.65,42.46,243.4
5/4/1981,19.79,23.09,16.78,6.91,1.42,100.31,3.5,4.46,359.9,21.92,48.92,3.4
5/5/1981,21.6,30.48,14.52,5.61,0,100.27,4.17,5.41,278.2,22.7,38.41,279.1
5/6/1981,19.89,25.31,14.94,7.8,0,100.99,4.18,5.3,101.4,21.75,57.11,101.3
5/7/1981,21.05,29.9,14.22,7.66,0,100.79,4.39,5.56,113.8,22.98,54.42,113.7
5/8/1981,20.98,28.22,15.25,10.06,0,100.19,3.43,4.33,75.1,22.68,68.87,74.2
5/9/1981,21.77,28.76,16.19,11.02,0,99.75,3.62,4.55,61,23.94,70.87,61.5
5/10/1981,24.24,33.58,18.82,9.34,0,99.64,2.71,3.61,287.5,24.17,55.39,288.4
5/11/1981,21.11,26.8,16.09,8.19,0,100.52,2.58,3.27,50.7,23.79,55.57,48.3
5/12/1981,21.92,28.7,15.9,7.46,0,100.47,2.61,3.39,85.9,24.02,47.9,77.7
5/13/1981,21.48,27.7,16.6,8.65,0,100.49,3.85,4.89,82.1,23.44,58.5,82.2
5/14/1981,22,29.94,15.8,9.3,0,100.21,4.24,5.36,90.5,23.97,61.8,90
5/15/1981,21.69,26.11,18.47,11.1,0.26,99.86,4.22,5.29,1.8,23.46,70.65,2.2
5/16/1981,19.16,22.21,16.05,9.35,0.47,100.81,6.51,8.27,12.5,21.14,68.99,12.5
5/17/1981,21.09,27.68,14.57,8.03,0,101.06,2.03,2.58,85,23.42,56.63,83.6
5/18/1981,23.23,30.58,15.67,7.14,0,101.16,2.91,3.79,126.8,25.37,44.72,125.2
5/19/1981,23.74,31.71,16.6,7.37,0.01,101.27,3.31,4.3,114.9,25.77,44.67,114
5/20/1981,24.53,33.33,17.37,8.83,0,101.11,3.11,4,111.8,26.56,52.87,111.3
5/21/1981,24,32.36,17.69,9.92,0,100.91,3.12,3.95,83.1,26.25,60.58,82.7
5/22/1981,22.51,28.64,17.33,10.12,0,101.03,3.63,4.66,65.4,24.14,64.51,65.1
5/23/1981,21.68,26.97,17.79,10.29,0.01,101.08,4.23,5.42,58.3,22.49,67.61,58.3
5/24/1981,22.08,28.06,16.67,10.13,0,100.89,3.92,4.97,69,24.06,65.84,68.6
5/25/1981,23.34,31.54,16.43,10.13,0,100.57,4.38,5.66,96.5,24.75,62.72,96.7
5/26/1981,26.45,36.82,17.98,8.83,0,99.9,4.74,6.1,115.7,27.46,47.41,115.6
5/27/1981,21.24,23.85,18.41,11.37,0,100.44,8.39,10.68,23.1,22.84,72.7,23.2
5/28/1981,20.35,24.88,16.73,8.73,0,101.14,4.68,5.89,38.3,22.62,60.92,38.1
5/29/1981,21.16,27.75,15.66,9.05,0,101.04,3.17,3.93,96.6,23.26,61.91,96.5
5/30/1981,22.15,27.56,18.01,10.52,0,100.84,4.83,6.09,99.1,23.49,66.03,98.7
5/31/1981,28.45,38.22,19.79,8.28,0,100.39,5.18,6.7,127.8,29.14,38.9,127.5
6/1/1981,31.3,40.48,25.92,7.45,0,100.26,3.53,4.62,129.4,32,28.08,129.2
6/2/1981,25.69,29.73,21.03,11.79,0,100.4,4.03,5.02,25.7,27.71,58.52,25.2
6/3/1981,23.98,29.28,20.45,13.28,0,100.48,4.56,5.63,24.9,26.59,73.76,25.1
6/4/1981,23.25,27.75,20.19,12.3,0,100.67,7.14,9.01,40.9,25.14,71.11,41
6/5/1981,22.42,26.84,18.53,9.36,0,101.03,4.99,6.3,49.1,24.37,57.86,48.7
6/6/1981,23.55,31.49,16.45,8.4,0,100.89,2.92,3.72,109.2,26.33,50.51,107.9
6/7/1981,24.25,31.15,18.33,10.4,0,100.86,3.92,4.9,96.1,26.51,59.4,95.7
6/8/1981,24.37,30.56,19.51,10.52,0,100.79,3.75,4.71,85.8,26.52,59.29,85.1
6/9/1981,24.01,30.71,18.52,10.3,0,100.73,3.73,4.73,92.3,25.98,60.59,92.1
6/10/1981,24.31,31.9,18.05,10.66,0,100.81,3.18,4.11,96.5,26.1,61.85,96.2
6/11/1981,24.97,32.13,18.77,10.73,0,100.99,2.98,3.84,89.6,26.96,59.98,89.4
6/12/1981,25.3,32.49,18.57,10.89,0,100.91,2.83,3.66,77.7,27.59,59.66,75.3
6/13/1981,25.89,31.46,20.84,10.55,0,100.83,2.52,3.25,67.5,27.98,53.68,65.1
6/14/1981,24.99,30.22,19.84,12.26,0,100.84,3.49,4.41,47.6,27.12,65.67,47.5
6/15/1981,25.94,32.2,20.27,12.26,0,100.9,2.89,3.78,75.5,28.01,63.42,75.7
6/16/1981,26.18,32.76,20.13,11.23,0,100.73,2.9,3.72,83.1,28.19,58.07,81.8
6/17/1981,28.2,37.08,20.21,10.98,0,100.34,2.43,3.17,95.4,30.43,52.9,94.9
6/18/1981,26.66,30.6,22.49,10.72,0,100.27,3.29,4.26,64.8,27.49,50.07,62.2
6/19/1981,24.08,27.8,21.39,10.89,0,100.62,4.96,6.13,48.8,26.56,59.65,48.8
6/20/1981,24.45,29.97,20.79,10.86,0,100.74,4.51,5.57,76.2,26.96,59.07,76.1
6/21/1981,25.18,31.3,20.11,11.16,0.02,100.66,3.82,4.78,83.2,27.66,59.1,82.9
6/22/1981,25.4,31.33,20.71,12.37,0.14,100.25,2.82,3.49,66.5,27.54,63.41,66.5
6/23/1981,24.47,29.22,21.35,13.84,0.01,100.15,4.89,6.11,76.5,25.98,73.39,76.6
6/24/1981,23.8,27.45,21.45,13.41,1.7,100.3,6.19,7.71,58.1,26.01,73.69,58.2
6/25/1981,25.67,31.57,21.5,14.48,0.63,100.06,5.81,7.29,77.9,27.3,71.81,78.1
6/26/1981,25.72,30.85,22.52,14.59,0.08,100.19,4.95,6.19,30.5,27.6,72.21,30.3
6/27/1981,25.21,30.86,20.83,13.09,0.02,100.52,3.85,4.77,76.6,27.15,67.09,76.4
6/28/1981,31.18,43.4,23.22,12.48,0.01,100.17,4.6,5.88,125.7,31.75,52.67,125.8
6/29/1981,27.79,33.58,23.06,13.87,1.78,100.57,4.28,5.26,50.3,29.57,61.48,49.9
6/30/1981,27.33,32.86,22.59,14.1,0,100.73,3.98,5.02,61.3,29.41,64.98,60.6
7/1/1981,28,34.67,22.83,14.38,0,100.56,3.2,3.99,60.9,30.43,63.86,60
7/2/1981,30.47,40.53,22.98,13.89,0,100.46,3.11,3.97,117,32.25,57.04,117.3
7/3/1981,34.16,45.15,26.43,8.86,0,100.39,3.45,4.52,159.8,34.22,31.72,160.4
7/4/1981,26.54,29.65,23.34,13.98,0,100.92,5.62,6.98,43.5,28.55,65.87,43.6
7/5/1981,25.6,30.01,22.05,11.72,0,101.02,4.38,5.42,57.1,27.95,59.52,57.1
7/6/1981,25.42,30.18,21.36,12.31,0,101.09,3.86,4.83,54.1,27.75,63.75,53.5
7/7/1981,25.71,30.96,20.38,11.16,0,101.08,3.03,3.86,60.1,28,58.27,58.8
7/8/1981,27.3,34.05,21.21,10,0,100.83,3.29,4.12,116.3,29.77,47.22,115.1
7/9/1981,29.53,39.72,22.77,11.12,0,100.39,4.03,5.05,127.9,31.17,47.46,128.1
7/10/1981,29.01,38.68,24.19,14.83,0.01,100.05,2.9,3.65,45.9,30.74,63.75,45.1
7/11/1981,26.78,30.66,24.29,15.41,0,100.41,5.62,7,46.4,28.75,71.23,46.4
7/12/1981,24.91,27.61,22.77,13.06,0.18,100.73,5.37,6.69,52.9,26.76,67.16,52.8
7/13/1981,25.56,29.78,22.12,12.25,0,100.92,3.38,4.24,49.4,28.12,62.61,48.7
7/14/1981,26.2,30.81,21.23,12.35,0,100.87,3.2,3.98,80.4,28.87,60.73,79.8
7/15/1981,25.77,29.84,21.64,12.63,0,100.91,3.43,4.23,67.9,28.63,62.87,66.8
7/16/1981,25.78,30.84,21.33,12.67,0.04,100.96,3.04,3.75,67.4,28.71,64.2,66.7
7/17/1981,26.63,33.02,20.42,13.3,0.02,100.77,3.33,4.16,109.2,29.43,65.35,108.4
7/18/1981,31.03,40.18,21.44,10.78,0,100.26,2.63,3.44,178.5,32.74,46.17,181.6
7/19/1981,25.97,28.58,23.7,11.91,0,100.62,5.68,7.11,51.7,28.07,57.36,51.2
7/20/1981,24.16,27.35,20.91,9.25,0,100.99,4.41,5.43,34.5,27.18,50.56,33.8
7/21/1981,24.47,28.7,20.44,10.23,0,100.94,2.79,3.39,42.2,27.64,55.53,38.7
7/22/1981,26.4,32.87,20.47,11.64,0,100.76,3.6,4.49,111.6,29.44,57.37,111.3
7/23/1981,28.51,36.71,21.79,12.06,0,100.55,4.49,5.62,118.5,30.44,55.09,118.6
7/24/1981,31.26,40.81,22.65,9.9,0,100.57,3.83,4.92,136.4,32.56,41.9,136.7
7/25/1981,27.52,31.45,23.57,12.59,0,100.93,4.69,5.85,52.7,29.51,55.46,50.8
7/26/1981,25.62,29.6,22.34,11.31,0,101.22,4.58,5.66,48.5,28.03,57.13,48.4
7/27/1981,25.12,28.95,21.93,10.87,0,101.08,4.09,5.06,46.3,27.72,56.46,45.6
7/28/1981,25.14,29.88,20.98,11.14,0,100.83,3.05,3.77,65.2,28.2,57.66,63.2
7/29/1981,25.45,30.52,20.85,11.19,0,101,3.49,4.33,82.4,28.27,57.49,81.4
7/30/1981,25.59,31.23,20.62,11.85,0,101.21,3.43,4.28,98.8,28.37,61.35,97.8
7/31/1981,26.2,32.5,20.41,10.96,0,101.04,3.46,4.36,97.9,28.76,56.6,96.9
