Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,8.67,11.39,6.38,5.98,1.89,98.44,5.27,7.61,306,8.38,84.49,306
1/2/1981,8.35,9.67,7.55,5.68,6.39,98.22,6.44,9.25,307,8.11,81.52,307
1/3/1981,7.79,9.55,6.11,5.89,1.5,98.43,4.04,5.94,298.3,7.4,88.12,298.6
1/4/1981,8.83,12.31,6.22,6.1,0.13,97.87,4.2,6.18,278.9,8.57,85.06,279.1
1/5/1981,9.98,14.77,6.69,6.22,0.62,97.73,6.11,8.82,301.4,9.8,78.9,301.5
1/6/1981,7.26,10.72,4.35,4.92,1.11,98.23,5.23,7.59,301.1,7.05,76.93,301.1
1/7/1981,6.99,8.72,5.3,5.45,5.55,97.61,6.07,8.77,296.5,6.58,84.86,296.5
1/8/1981,2.37,5.4,-0.16,3.24,4.36,97.94,6.36,9.15,344,2.19,70.7,344.1
1/9/1981,1.21,3.93,-0.41,2.9,0.59,98.35,4.99,7.29,334.3,0.97,69.71,334.5
1/10/1981,3.25,8.86,-1.88,3.89,0.66,97.87,2.02,3.43,301.7,2.79,80.06,303.4
1/11/1981,4.77,13.1,-0.98,3.99,0,97.5,2.45,3.91,205.1,4.33,74.82,205.1
1/12/1981,5.28,10.3,2.35,3.97,0.01,97.56,1.93,3.21,194.8,4.71,70.62,195.4
1/13/1981,3.63,8.03,0.79,4.32,4.49,96.73,2.07,3.51,277.2,3.17,84.73,277.5
1/14/1981,3.28,7.29,-0.56,4.31,2.93,97.08,4.52,6.71,282,2.84,85.73,282.8
1/15/1981,7.76,12.63,3.02,5.43,0.53,97.23,6.14,8.88,277.1,7.65,81.2,277.1
1/16/1981,9.46,12.4,4.71,5.9,4.25,97.18,7.28,10.56,309.5,9.19,77.6,309.5
1/17/1981,8.03,14.75,4.44,5.97,0.43,97.92,3.36,5.15,285.6,7.81,87.56,285.7
1/18/1981,8.78,12.6,5.63,5.63,2.74,97.88,5.54,8.13,299.8,8.48,78.47,300.3
1/19/1981,7.9,11.07,5.94,5.61,3.33,98.22,4.93,7.21,300.7,7.61,83.51,300.9
1/20/1981,9.51,14.22,5.28,6.12,3.13,97.28,6.85,9.94,278.8,9.32,81.24,279
1/21/1981,8.15,9.96,6.3,3.89,2.8,96.99,8.86,12.82,332.9,7.87,56.15,332.9
1/22/1981,6.64,9.6,5.11,3.66,0.35,97.48,6.42,9.35,337,6.44,59.27,336.9
1/23/1981,5.56,7.79,4.37,4.96,1.74,97.8,3.89,5.74,334.8,5.27,85.73,334.9
1/24/1981,6.46,9.13,4.44,5.51,1.42,98.17,3.03,4.58,312.4,6.2,90.12,312.9
1/25/1981,7.44,13.51,4.31,5.39,0.44,98.47,3.19,4.87,297.4,7.35,84.62,297.8
1/26/1981,7.12,14.4,2.63,5.01,0,98.5,2.92,4.51,286.5,7.12,80.5,285.4
1/27/1981,7.41,12.85,3.88,5.3,1.56,98.88,2.49,3.88,7.8,7.17,81.7,7.9
1/28/1981,4.78,8.86,-0.08,4.49,4.27,98.88,2.65,4.03,333.8,3.76,83.02,334.4
1/29/1981,4.06,8.88,0.33,3.55,0.96,98.76,3.17,4.84,349.1,4,71.23,350.7
1/30/1981,3.64,7.75,0.2,4.32,1.23,98.76,2.74,4.27,316.2,3.28,86.12,317.2
1/31/1981,4.82,10.7,1.33,4.21,0.43,99.05,2.21,3.52,328.7,4.39,79.9,329.4
2/1/1981,5.81,11.62,1.53,4.82,1.43,99.18,1.57,2.7,0.1,4.92,83.82,2.5
2/2/1981,5.67,9.25,2.5,5.25,1.6,99.21,1.45,2.52,359.1,5.02,91.05,0.5
2/3/1981,5.72,9.5,2.13,4.99,3,98.77,2.33,3.75,281.6,5.39,86.85,281.2
2/4/1981,7.8,15.91,1.66,4.23,0.02,97.56,3.14,4.81,255.7,7.65,68.36,255.3
2/5/1981,6.74,9.79,4.83,4.76,5.14,96.92,6.24,9.16,291.8,6.53,74.88,292.1
2/6/1981,7.83,11.5,5.13,5.12,5.94,97.91,6.36,9.33,318,7.63,76.27,318.1
2/7/1981,8.72,12.9,6.16,6,2.06,98.68,3.68,5.46,323.3,8.7,85.33,323.6
2/8/1981,8.54,14.06,4.28,5.87,0.46,98.84,2.04,3.12,300.7,8.08,85,302.5
2/9/1981,10.95,21.34,2.47,5.52,0,98.28,1.55,2.67,239.1,9.51,70.75,238.8
2/10/1981,11.02,19.9,4.35,5.3,0,97.99,1.48,2.58,239.7,10.55,66.8,245.8
2/11/1981,10.21,17.16,5.34,5.79,0,97.78,1.83,3.01,281.5,9.44,74.03,288.2
2/12/1981,10.57,17.46,6.63,6.29,0.18,97.29,1.04,1.6,245.6,10.11,79.5,239.6
2/13/1981,11.01,19.55,6.61,6.28,1.17,96.82,2.57,4.17,211.3,9.98,75.76,211.1
2/14/1981,8.23,12.95,4.58,6.21,2.72,97.43,2.24,3.59,309.1,8.05,88.62,312.1
2/15/1981,8.46,14.89,4.71,4.96,0.05,97.9,1.39,2.19,105.7,9.3,72.97,106.6
2/16/1981,9.85,17.92,3.3,5.97,1.51,97.26,2.81,4.22,168.4,10.04,78.4,167.9
2/17/1981,8.65,12.24,4.97,6.4,8.02,97,2.65,4.02,52.3,8.75,89.08,53.8
