Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,10.68,13.29,8.54,6.28,1.44,100.48,6.13,8.48,301.8,10.88,79.01,301.8
1/2/1981,10.43,11.67,9.58,5.94,5.23,100.26,7.12,9.84,304.1,10.71,75.55,304
1/3/1981,10.24,11.08,8.84,6.22,1.45,100.45,5.31,7.37,294.6,10.28,80.26,294.6
1/4/1981,11.98,13.17,10.87,6.78,0.37,99.85,6.17,8.55,280,11.87,77.53,280
1/5/1981,11.89,15.32,9.28,6.7,0.44,99.75,7.09,9.85,298.8,11.89,76,298.8
1/6/1981,9.87,11.8,7.26,5.36,1.28,100.25,6.76,9.39,299.4,10.11,70.82,299.3
1/7/1981,9.97,11.16,8.5,5.78,7.55,99.62,7.76,10.77,306.2,10.02,74.72,306.4
1/8/1981,4.67,7.85,2.68,3.46,3.64,100.09,7.74,10.69,351.4,5.69,65.57,351.5
1/9/1981,4.17,5.65,2.75,3.31,0.39,100.48,5.99,8.27,338.8,5.24,64.97,339
1/10/1981,5.93,10.35,1.29,4.1,0.29,99.93,2.64,3.93,307.6,6.56,71.01,308.8
1/11/1981,6.81,13.7,1.04,4.62,0.01,99.53,2.71,3.96,187.3,7.28,76.57,186.7
1/12/1981,7.27,11.32,5.07,4.78,0.05,99.61,1.97,3.01,188.7,7.56,75.47,188.3
1/13/1981,5.97,8.39,4.4,5.09,6.48,98.76,3.04,4.43,275.8,6.39,86.37,275.8
1/14/1981,6.71,9.03,4.14,5.16,5.36,99.07,5.76,8.11,286.3,6.92,83.21,286.9
1/15/1981,10.31,12.9,7.33,6.17,1.35,99.18,8.17,11.37,277.2,10.49,78.04,277.2
1/16/1981,11.09,12.92,8.45,5.85,5.44,99.21,8.54,11.93,308.8,11.1,70.05,308.8
1/17/1981,10.59,14.66,7.62,6.72,0.69,99.94,4.56,6.43,286.1,10.55,84.46,285.9
1/18/1981,10.97,13.29,9.41,6.1,3.43,99.89,7.16,10,298.6,10.99,74.55,298.7
1/19/1981,10.26,12.34,8.67,6.03,3.48,100.24,6.28,8.75,300.7,10.29,77.63,300.7
1/20/1981,11.96,14.33,10.11,7.27,5.29,99.23,8.81,12.31,278.1,11.91,82.82,278.1
1/21/1981,10.14,11.42,8.89,4.05,1.41,99.08,9.52,13.33,339.1,10.3,52.08,339.2
1/22/1981,8.89,10.75,7.75,4.09,0.19,99.57,7.04,9.82,341.6,9.26,57.62,341.7
1/23/1981,8.15,10.11,6.95,5.29,0.93,99.89,4.33,6.02,347.5,8.54,78.25,348
1/24/1981,8.98,11,7.11,6.01,1.12,100.23,3.24,4.57,318,9.27,84.49,318.7
1/25/1981,10.01,14,7.24,6.08,0.4,100.52,3.99,5.64,297.5,10.19,80.8,297.7
1/26/1981,10.03,13.79,6.86,5.97,0.01,100.55,4.38,6.16,286.2,10.26,79.17,286.1
1/27/1981,10,13.79,6.83,5.66,1.12,100.98,2.89,4.21,25.5,10,75.08,26.6
1/28/1981,7.3,10,4.43,4.63,3.67,100.99,3.05,4.34,346.8,6.86,73.18,347.4
1/29/1981,6.4,10,4.31,3.8,0.18,100.89,3.86,5.49,355.9,6.97,65.11,357.1
1/30/1981,5.95,8.83,4.36,4.59,1.09,100.85,2.72,3.97,336.2,5.9,79.79,337.9
1/31/1981,7.36,11.95,4.2,4.49,0.17,101.15,2.25,3.38,344,6.97,72.04,344.5
2/1/1981,8.45,12.76,5.79,5.24,0.69,101.28,1.57,2.27,11.1,7.25,78.08,12.3
2/2/1981,8.13,11.7,5.91,5.32,0.51,101.32,1.32,2.02,357.1,7.42,80.48,358.2
2/3/1981,7.81,10.64,4.15,5.52,4.62,100.82,3.28,4.77,276.5,7.66,84.08,276.3
2/4/1981,9.86,14.81,5.27,5.36,0.07,99.57,4.01,5.69,259.2,10.05,73.3,259
2/5/1981,9.22,10.55,7.24,5.57,7.41,98.9,7.79,10.94,292.5,9.47,75.17,292.6
2/6/1981,10.06,12.7,8.31,5.44,4.66,99.97,6.99,9.83,317.4,10.1,70.75,317.4
2/7/1981,10.4,13.87,8.25,6.32,0.51,100.76,3.66,5.15,320.6,10.75,81.84,320.6
2/8/1981,9.67,13.43,6.86,6.19,0.35,100.92,2.24,3.18,296.9,9.44,84.03,296.6
2/9/1981,11.23,20.27,3.78,6.05,0,100.32,1.52,2.32,208.2,10.11,75.7,206.1
2/10/1981,11.57,18.75,6.43,6.28,0,100.03,1.88,3.01,247.4,11.22,76.29,249.6
2/11/1981,10.72,16.34,7.04,6.28,0.02,99.83,1.86,2.76,287.2,10.33,78.76,292.5
2/12/1981,10.54,14.81,8.08,6.94,0.9,99.34,1.35,2.02,28.4,10.59,87.78,28.6
2/13/1981,11.48,18.56,7.61,7.17,1.51,98.81,2.5,3.81,202.3,10.84,84.56,200.1
2/14/1981,9.23,11.51,7.63,6.72,3.26,99.49,1.84,2.83,331.9,9.28,91.68,337.6
2/15/1981,9.15,14.02,5.95,4.86,0.01,99.98,1.75,2.56,91.1,9.89,69.05,92.9
