Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,9.47,14.78,5.28,5.58,0.26,100.19,4.36,6.09,337.5,9.32,77.56,338.3
1/2/1981,8.24,14.09,4.29,5.09,0.25,100,4.02,5.79,331,7.82,77.26,332.1
1/3/1981,7.53,14.51,3.06,5.07,0.08,100.27,2.41,3.84,313,6.92,79.78,314.7
1/4/1981,7.65,16.3,2.08,4.35,0,99.71,2.32,3.68,281,6.9,69.81,282.4
1/5/1981,9.26,17.59,3.76,5.37,0.04,99.53,4.22,6,313.2,8.86,74.13,314
1/6/1981,6.77,13.14,3.01,4.15,0.07,100.08,3.6,5.24,317.5,6.44,70.04,319
1/7/1981,7.66,14.88,1.89,4.35,0.16,99.47,4.9,6.82,299.1,7.38,66.86,299.5
1/8/1981,4.08,6.45,1.82,3.28,1.48,99.57,7.12,9.7,337.2,3.94,64.15,337.4
1/9/1981,2.07,5.84,-1.04,2.66,0.11,100.08,6.06,8.35,334.2,1.83,61.89,334.5
1/10/1981,3.76,10.99,-2,3.57,0.08,99.75,2.29,3.56,280.1,3.36,74.06,279.7
1/11/1981,4.76,11.72,-0.75,3.41,0,99.56,3.54,5.1,224.3,4.53,66.88,223.2
1/12/1981,6.09,10.85,2.19,3.44,0.01,99.49,1.72,2.74,171.7,5.04,59.02,169.7
1/13/1981,7.13,13.64,2.16,3.55,0.17,98.53,2.57,3.82,270.4,6.43,57.32,267.3
1/14/1981,4.64,11.17,-1.11,3.41,0.11,98.96,2.98,4.47,295.2,4.3,64.37,296.4
1/15/1981,6.58,15.45,-0.32,3.89,0.01,99.2,4.33,6.09,263.1,6.38,67.38,262.8
1/16/1981,9.27,16.64,4.36,5.13,0.34,99,4.7,6.59,292.4,8.93,71.82,292.2
1/17/1981,8.78,17.97,2.83,4.86,0.02,99.75,2.53,3.92,292.1,8.2,71.49,294.4
1/18/1981,9.19,16.48,4.51,4.77,0.11,99.72,3.4,4.96,314.8,8.91,67.8,315.8
1/19/1981,7.53,14.81,2.1,4.74,0.11,100.06,3.47,5.07,311,7.3,76.09,312.1
1/20/1981,10.46,18.65,3.64,4.64,0.03,99.2,4.18,5.95,277,9.99,62.28,277.1
1/21/1981,10.25,12.63,7.77,3.82,0.47,98.58,9.94,13.55,332.3,9.99,48.89,332.3
1/22/1981,8.09,11.92,5.78,3.32,0.03,99.08,7.7,10.53,341.8,7.88,49.76,341.9
1/23/1981,6.96,10.98,4.15,4.49,0.14,99.45,5.01,6.89,337.2,6.92,72.57,337.4
1/24/1981,7.39,12.85,4.07,4.87,0.25,99.9,3.94,5.64,337.3,7.26,77.1,337.3
1/25/1981,7.65,15.6,2.48,4.45,0,100.27,2.54,3.93,315,7.31,72.44,315.1
1/26/1981,8.52,18.62,1.23,3.82,0,100.29,1.55,2.59,294.5,7.62,61.91,289.9
1/27/1981,7.67,14.92,2.62,4.77,0.31,100.58,3.82,5.54,8.6,7.41,74.68,9.9
1/28/1981,6.26,11.48,0.92,4.09,0.24,100.62,3.15,4.57,345.1,6.03,71.78,344.8
1/29/1981,5.09,10.36,0.79,3.47,0.98,100.48,3.75,5.35,348.1,5.02,66.52,348.8
1/30/1981,4.61,11.01,-0.82,3.72,0.19,100.55,3.47,4.95,325.5,4.68,73.08,325.6
1/31/1981,5.93,12.2,0.94,4.03,0.22,100.78,3.42,4.86,354.6,6.03,73.64,355
2/1/1981,6.74,11.85,2.54,4.72,3.14,100.89,3.45,4.9,12.2,6.58,78.78,13.1
2/2/1981,6.91,9.77,4.64,5.53,7.58,100.92,1.83,2.61,354,6.83,90.12,356.9
2/3/1981,7.38,11.91,4.23,4.62,1.4,100.59,1.45,2.29,299.7,7.15,74.32,298.4
2/4/1981,8.06,17.27,1,3.48,0,99.52,4.25,6.14,249.7,7.76,57.42,248
2/5/1981,7.69,14.82,3.51,3.93,0.34,98.78,4.88,6.76,293.6,7.57,59.33,294.1
2/6/1981,8.89,14.62,5.08,4.55,0.43,99.64,5.56,7.75,326.2,8.7,66.09,326.4
2/7/1981,9.35,15.81,5.06,5.17,0.36,100.38,3.91,5.57,343.9,9.23,74.33,344.2
2/8/1981,9.31,17.8,3.96,4.99,0.08,100.62,2.16,3.33,333.5,9.51,72.16,339.3
2/9/1981,11.21,20.95,3.94,4.83,0,100.17,3.58,5.27,236.4,11.01,62.84,234.5
2/10/1981,11.61,20.84,4.65,4.39,0,99.81,2.42,3.62,244.3,11.7,54.8,244
2/11/1981,12.48,21.44,6.85,4.33,0,99.52,1.72,2.64,247.5,11.52,51.04,244.1
2/12/1981,11.68,19.41,5.43,5.39,0.08,99.12,1.89,3.07,233.5,11.78,65.5,232.5
2/13/1981,12.43,18.71,9.15,6.2,0.68,98.73,2.53,3.87,212.7,11.52,68.44,211.2
2/14/1981,12.59,20.06,6.22,5.86,0.09,99.11,2.64,3.9,343.3,12.93,66.75,347.2
2/15/1981,10.15,16.04,5.49,5.07,0.1,99.73,2.51,3.5,60.8,11.46,68.21,57.2
2/16/1981,10.3,16.47,4.85,6.49,3.09,99.1,2.52,3.53,124.3,10.29,83.54,122.8
2/17/1981,10.26,12.6,7.08,6.92,9.79,98.54,3.64,5.17,21.5,10.14,87.62,22
2/18/1981,9.38,14.16,5,5.36,0.64,99.08,1.97,2.87,325.4,10.13,74.52,324.7
2/19/1981,9.25,15.99,2.71,4.45,0,99.07,2.75,4.04,247.6,9.64,64.7,244.3
2/20/1981,10.77,18.09,5.61,4.36,0.01,98.97,2.61,3.81,223.3,11,55.04,223.6
2/21/1981,8.04,12.4,4.66,5,7.39,98.86,3.09,4.46,346,7.78,73.99,347.9
2/22/1981,6.55,12.01,2.03,4.33,1.66,99.2,3.73,5.46,326.2,6.29,72.63,327
2/23/1981,8.26,16.47,1.01,4.17,0.01,99.54,2.29,3.58,319.2,8.56,64.84,320.4
2/24/1981,8.9,16.38,1.6,4.52,0.01,99.9,2.01,3.11,230.3,9.73,68.41,223.3
2/25/1981,10.79,18.36,4.04,4.92,0.04,99.82,2.01,3.06,324.7,11.46,64.93,330.3
2/26/1981,9.9,15.12,5.48,5.38,0.03,99.85,1.62,2.44,78.6,10.33,73.06,129.3
2/27/1981,10.75,18.15,4.23,4.93,0.02,99.6,1.91,2.81,184.1,11.47,62.75,185.8
2/28/1981,15.29,25.52,6.83,5.69,0,99.24,2.66,4.01,225.5,15.25,57.42,225
3/1/1981,15.9,24.49,9.4,6.64,0,99.22,2.13,3.2,38.8,16.25,62.65,40.2
3/2/1981,15.69,23.82,9.71,7.44,0,99.18,1.82,2.73,40,16.23,70.26,38.7
3/3/1981,15.4,22.65,9.81,7.57,0.02,99.02,2.44,3.49,50.2,16.46,71.73,52.9
3/4/1981,14.79,22.13,9.92,6.87,0,98.82,2.21,3.21,53.1,15.61,68.26,53.6
3/5/1981,13,19.96,8.23,5.7,0,99.57,2.42,3.46,50.3,14.04,65.91,48.8
3/6/1981,10.24,15.53,7.02,6.19,0.03,99.82,1.54,2.26,76.2,10.58,80.88,77.5
3/7/1981,13.19,20.68,7.06,6.69,0.02,100,2.71,3.93,32.8,13.96,73.96,34.3
3/8/1981,12.14,19.39,6.85,6.28,0.08,100.39,2.33,3.37,31.1,13.42,74.83,29
3/9/1981,13.73,22.85,7.56,5.98,0,100.26,1.59,2.43,200,14.49,66.9,201.3
3/10/1981,14.7,23.93,7.61,5.88,0,100.22,1.92,2.92,14.2,15.41,63.24,14.4
3/11/1981,16.58,25.71,9.18,5.92,0,100.02,1.25,1.98,276.4,17.1,55.24,308.6
3/12/1981,21.19,32.51,12.49,6.48,0,99.34,1.44,2.3,273.6,20.99,44.87,267.5
3/13/1981,20.67,28.02,16.15,7.23,0,99.07,1.83,2.76,0.9,20.85,49.74,13.3
3/14/1981,13.59,16.33,8.89,7.09,0.19,99.31,2.23,3.16,50.8,13.97,73.16,52.3
3/15/1981,15.14,23.62,8.12,7.08,0,98.96,2.92,4,39.6,16.19,69.16,39.8
3/16/1981,14.93,21.37,10.25,6.89,0,99.24,3.18,4.38,38.9,15.71,68.43,37.9
3/17/1981,13.65,19.39,8.56,6.9,0.02,98.77,3.28,4.55,50,14.58,72.08,51.1
3/18/1981,10.65,15.03,7.67,4.99,7.67,98.55,5.94,8.16,332.3,11.1,63.22,332.9
3/19/1981,10.62,17.99,4.98,3.94,0.01,99.04,4.01,5.76,312.1,11.06,52.68,310.5
3/20/1981,13.15,22.64,5.73,4.42,0,99.27,1.88,2.75,204.4,13.53,50.09,200.2
3/21/1981,15.61,23.13,9.29,6.02,0.57,99.37,2.39,3.39,28.7,16.63,58.02,30.5
3/22/1981,15.98,23.92,9.02,6.32,0.38,99.33,2.12,3.04,318.9,16.82,61.46,308.9
3/23/1981,15.24,22.5,8.92,6,0.86,99.51,3.57,5.02,349.3,15.98,60.39,349.6
3/24/1981,15.84,24.95,7.38,6.03,0,99.86,1.46,2.27,329.5,16.99,59.56,327.9
3/25/1981,19.53,28.13,12.68,6.71,0,99.75,1.61,2.24,152.6,20.64,50.81,157.1
