Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,9.59,13.73,5.55,5.87,0.77,99.53,4.58,6.25,343,9.27,78.8,344.6
1/2/1981,7.64,13.67,2.19,4.76,0.04,99.48,3.76,5.16,301.2,7.54,74.12,299.9
1/3/1981,7.42,13.15,3.67,5.07,0,99.79,1.85,2.95,319.3,7.08,80.02,320.8
1/4/1981,7.34,13.9,3.22,4.5,0,99.38,5.03,6.9,251.5,6.85,71.93,251.4
1/5/1981,7.36,15.54,2.3,4.34,0,99.05,3.87,5.38,253,7.08,69.39,251.4
1/6/1981,7.1,12.3,3.4,4.39,0,99.55,2.5,3.6,327.7,7.03,71.02,330.3
1/7/1981,6.01,12.86,0.75,3.65,0,99.1,5.65,7.59,265.9,5.64,63.75,265.8
1/8/1981,4.09,9.38,1.13,3.33,0.18,98.94,5.58,7.49,325.7,3.78,65.03,326.2
1/9/1981,1.76,6.81,-1.75,2.39,0.02,99.49,4.88,6.72,319.6,1.47,57.08,319.7
1/10/1981,2.24,9.47,-2.76,2.63,0,99.37,2.49,3.93,266.4,1.68,60.8,265.6
1/11/1981,4.27,11.7,-0.89,2.7,0,99.18,3.17,4.65,203.8,3.6,53.84,205.1
1/12/1981,5.23,12.27,0.18,2.87,0,98.87,3.1,4.48,184.7,4.25,51.56,185.3
1/13/1981,6.23,12.14,2.07,3.02,0,98.15,4.86,6.7,228.7,5.51,50.92,228.1
1/14/1981,4.99,11.7,0.37,3.2,0,98.55,4.45,6.08,257.5,4.69,60.1,257.2
1/15/1981,4.59,10.76,0.31,3.64,0,98.99,6.19,8.25,255.6,4.42,70.99,255.5
1/16/1981,6.53,14.03,1.58,4.45,0,98.65,5.59,7.62,259.9,6.29,71.92,258.8
1/17/1981,8.44,15.59,4.28,4.57,0,99.33,1.58,2.52,307.5,6.94,69.21,312.6
1/18/1981,9.43,16.64,5.19,4.99,0,99.24,3.31,4.75,267.6,8.71,68.76,265.1
1/19/1981,8.16,14.95,4,4.62,0.02,99.53,1.92,3.02,330.2,7.87,70.58,328
1/20/1981,8.69,15.96,3.7,3.98,0,99,6.48,8.76,253.1,8.16,58.12,252.7
1/21/1981,9.35,14.01,5.83,3.68,1.76,98.13,7.81,10.4,309.3,8.8,50.64,309.4
1/22/1981,7.35,11.43,4.26,3.63,0.03,98.49,5.58,7.57,332.6,6.87,56.86,332.5
1/23/1981,5.95,11.11,1.54,4.23,0.19,98.83,3.03,4.41,339.9,5.59,73.36,339.6
1/24/1981,6.7,12.56,1.68,4.9,0.03,99.31,2.79,4.06,336.9,6.25,80.69,336.5
1/25/1981,6.61,13.86,1.42,3.77,0,99.79,2.78,4.2,286.2,6.14,64.95,286
1/26/1981,7.16,14.81,1.76,3.75,0,99.92,4.13,5.78,259.5,6.69,61.13,259.7
1/27/1981,7.5,14.33,1.26,4.64,0.25,99.91,3.7,5.08,328.4,7.56,71.48,329.7
1/28/1981,6.93,12.26,2.47,3.58,0.04,99.97,3.05,4.44,356.7,6.66,60.34,358.9
1/29/1981,5.24,9.55,1.17,3.7,2.96,99.85,3.07,4.37,346.7,4.57,67.35,347.9
1/30/1981,3.97,11.16,-1.47,2.73,0,99.99,2.21,3.46,297.1,2.96,56.81,294.5
1/31/1981,5.16,10.49,0.75,3.87,1.96,100.12,1.75,2.75,9.3,4.18,70.35,12.3
2/1/1981,6.31,9.41,3.13,5.28,8.92,100.17,0.92,1.42,14.2,4.99,88.41,14.2
