Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,7.5,12.98,3.52,5.23,0.42,97.61,4.4,6.19,334.7,7.31,80.97,335.3
1/2/1981,6.81,12.32,3.66,4.86,0.71,97.4,4.5,6.42,330.4,6.41,78.92,331.1
1/3/1981,6.07,13.06,1.53,4.75,0.24,97.65,2.44,3.87,317.1,5.29,79.49,318.8
1/4/1981,6.7,16.62,1.01,4.03,0,97.09,2.38,3.89,286.4,5.87,68.27,287.3
1/5/1981,7.83,15.7,2.46,5.3,0.22,96.94,4.59,6.51,319.1,7.46,78.37,319.8
1/6/1981,4.97,11.76,0.81,3.96,0.19,97.48,3.53,5.21,324.9,4.59,73.78,326.4
1/7/1981,6.07,13.22,0.83,4.13,0.18,96.89,5.06,7.1,306.3,5.72,69.05,306.8
1/8/1981,2.4,4.68,-0.18,3.05,1.51,97.01,6.61,9.07,342.5,2.17,65.03,342.8
1/9/1981,0.06,4.13,-3.15,2.36,0.26,97.46,5.43,7.62,341.7,-0.26,62.67,342.2
1/10/1981,2.42,10.29,-3.25,3.57,0.29,97.08,2.13,3.5,282.6,1.93,77.86,281.5
1/11/1981,3.43,10.09,-1.42,3.37,0,96.85,3.72,5.36,230.6,3.12,70.46,229.7
1/12/1981,5.01,9.68,2.07,3.05,0.02,96.8,1.54,2.45,184.7,3.94,55.41,181.7
1/13/1981,5.54,12.32,0.75,3.18,0.63,95.9,2.86,4.23,269.3,4.85,56.04,266.5
1/14/1981,2.98,8.73,-1.87,3.32,0.22,96.34,3.27,4.91,302.9,2.45,67.9,304.4
1/15/1981,5.37,14.33,-1.13,3.81,0.03,96.6,4.3,6.08,275.1,5.1,69.34,274.9
1/16/1981,8.27,15.03,3.27,5.47,1.28,96.44,4.01,5.84,309,7.72,79.25,309.6
1/17/1981,7.7,17.57,1.63,4.65,0.11,97.14,2.72,4.23,290.5,7.27,72.28,291.2
1/18/1981,7.79,14.87,2.31,4.74,0.35,97.13,3.5,5.08,315.9,7.58,71.97,316.3
1/19/1981,6.02,13.58,0.79,4.63,0.37,97.46,3.48,5.08,316.2,5.89,80.4,317.3
1/20/1981,9.36,17.8,2.8,4.46,0.24,96.63,4.53,6.48,284.3,8.78,62.62,284.4
1/21/1981,8.36,10.88,5.78,3.99,2.42,96.11,9.72,13.29,336.3,8.1,56.68,336.3
1/22/1981,6.02,10.25,3.13,3.2,0.29,96.56,7.18,9.88,346.3,5.8,54.21,346.4
1/23/1981,4.76,9.5,1.72,4.18,0.39,96.89,4.55,6.35,341,4.64,77.51,341.3
1/24/1981,5.44,12.05,1.56,4.44,0.25,97.3,3.59,5.22,334.9,5.32,79.12,334.9
1/25/1981,6.1,14.42,0.83,4.19,0.08,97.66,2.6,3.95,318,5.68,73.42,318.2
1/26/1981,7.71,18.51,0.18,3.49,0,97.65,1.83,3.09,291.2,6.46,59.29,287.2
1/27/1981,6.3,13.21,1.47,4.63,0.4,97.96,3.46,5.1,11.1,6.04,76.63,13
1/28/1981,4.52,10.55,-0.84,3.83,0.07,97.98,2.76,4.25,344.2,4.21,75.23,343.4
1/29/1981,3.2,8.76,-1.34,3.39,0.85,97.85,3.11,4.67,353.4,3.03,71.93,355.2
1/30/1981,3,10.19,-2.71,3.48,0.42,97.9,3.24,4.72,328.1,3.07,76.21,328.2
1/31/1981,4.17,10.23,-0.27,3.83,1.05,98.15,3.24,4.71,355.6,4.13,76.95,356.6
2/1/1981,4.86,10.09,0.42,4.36,1.62,98.26,3.16,4.64,11.2,4.56,81.38,12.1
2/2/1981,5.21,7.83,3.25,4.99,3.38,98.27,2.75,3.84,358.2,5.09,88.84,359
2/3/1981,6.31,11.64,2.79,4.11,0.85,97.94,1.72,2.64,313.1,6.05,70.45,312.4
2/4/1981,6.98,16.27,0.32,3.22,0,96.89,4.29,6.23,254.9,6.61,55.84,253.6
2/5/1981,6.96,13.42,3.07,3.82,0.45,96.19,5.3,7.4,304.3,6.83,59,305
2/6/1981,7.38,13.05,3.78,4.48,1.59,97.09,5.61,7.84,331.3,7.29,70.32,331.6
2/7/1981,7.68,14.17,3.37,5.16,1.58,97.81,3.81,5.48,346.2,7.6,79.77,346.7
2/8/1981,8.72,18.05,3.23,4.7,0.2,97.97,2.35,3.57,313.9,9.16,70.66,320.9
2/9/1981,11.06,21.25,4.11,4.69,0,97.54,3.57,5.23,250.3,10.88,61.16,248.8
2/10/1981,11.17,20.45,4.47,4.24,0,97.19,2.25,3.41,258.9,11.3,53.49,258.8
2/11/1981,11.87,20.98,5.85,4.34,0,96.9,1.5,2.44,268.1,10.9,51.67,265.2
2/12/1981,11.51,18.31,7.53,4.49,0.01,96.49,1.82,2.77,214.5,10.55,54.08,214
2/13/1981,11.5,17.65,8.39,5.81,0.51,96.12,3.05,4.54,218.3,10.62,65.96,217.4
2/14/1981,11.45,19.22,5.06,5.38,0.09,96.5,2.48,3.78,334.4,11.8,63.74,338.3
2/15/1981,8.86,14.83,3.71,5.16,0.63,97.08,2.5,3.49,87.8,10.1,73.08,84.1
2/16/1981,8.9,15.19,3.2,6.23,3.42,96.46,2.25,3.13,122.7,9.02,84.94,120.7
2/17/1981,8.67,11.42,5.77,6.39,17,96.01,3.39,4.86,21.3,8.67,87.81,22.1
2/18/1981,8.11,13.03,3.54,5.21,1.04,96.47,1.74,2.64,325,8.68,76.86,323.1
2/19/1981,7.6,14.24,1.28,4.11,0,96.45,2.83,4.16,253.3,7.91,65.36,250.7
2/20/1981,9.55,16.98,4.13,4.18,0.03,96.32,2.73,4,231.6,9.76,56.05,231.4
2/21/1981,6.18,8.74,3.55,4.8,8.9,96.25,2.85,4.21,343.8,5.96,78.3,346.4
2/22/1981,4.64,10.56,0.63,4.07,1.61,96.6,3.65,5.44,324.9,4.27,76.03,326.2
2/23/1981,6.59,15.11,-0.28,4.07,0.02,96.92,2.35,3.73,317.4,6.71,69.28,318.6
2/24/1981,7.5,15.33,0.69,4.32,0.01,97.25,1.98,3.18,245.9,7.92,69.24,236
2/25/1981,9.74,17.61,3.37,4.51,0.02,97.17,1.78,2.86,307.6,10.27,61.65,308.7
2/26/1981,8.7,14.7,3.78,5.03,0.01,97.2,1.63,2.36,211.7,8.51,72.56,215.1
2/27/1981,9.88,17.88,3.33,4.64,0,96.95,1.76,2.65,222.6,10.11,61.03,219.3
2/28/1981,14.71,24.65,6.22,5.16,0,96.66,2.97,4.53,244.7,14.49,51.3,243
3/1/1981,15.55,23.22,9.09,6.15,0,96.65,1.93,3.01,41,15.57,55.93,44.2
3/2/1981,15.36,23.24,8.81,6.61,0,96.62,1.57,2.43,46.6,15.52,62.01,45.2
3/3/1981,14.67,22.04,8.26,7.21,0.02,96.45,2.13,3.26,254.9,15.44,69.85,120.8
3/4/1981,14.99,22.73,10,6.66,0.01,96.22,1.76,2.67,92.6,15.82,63.2,91.6
3/5/1981,12.26,19.3,6.68,5.63,0.01,96.95,2.16,3.15,62.1,13.33,65.62,61.3
3/6/1981,9.99,16.67,6.17,5.35,0.03,97.19,1.6,2.29,75.7,10.83,71.64,77.5
3/7/1981,12.59,20.47,6.51,6.08,0,97.39,2.83,4.11,29.8,13.35,68.74,31.6
3/8/1981,11.3,18.66,5.65,5.8,0,97.78,2.06,3.12,45.5,12.52,71.14,43.8
3/9/1981,13.88,22.96,6.86,5.37,0,97.64,1.89,3.01,338.9,14.41,59.08,341.4
3/10/1981,14.69,23.89,7.25,5.37,0,97.63,1.85,2.89,9.2,15.07,55.78,9.1
3/11/1981,17.2,25.71,9.07,5.62,0,97.46,1.36,1.96,359.8,16.45,48.34,4.4
3/12/1981,20.92,32.04,11.92,6.62,0,96.82,1.76,2.93,277.9,20.59,45.34,269
3/13/1981,20.22,27.33,14.86,7.1,0.01,96.54,1.95,2.97,313.8,20.1,49.45,310.9
3/14/1981,12.39,14.86,8.11,7.24,0.19,96.7,2.17,3.07,68.1,12.84,78.35,71
3/15/1981,14.26,22.6,6.92,6.79,0.01,96.38,2.68,3.7,40.3,15.24,67.67,40.2
3/16/1981,14.23,20.37,9.97,6.91,0.01,96.65,2.76,3.82,53.9,15.26,69.21,52.2
3/17/1981,12.11,17.92,6.86,6.29,0.08,96.18,3.26,4.55,52,12.99,71.23,52
3/18/1981,8.93,13.23,5.88,4.78,12.24,96,5.72,7.87,330.3,9.45,66.15,330.8
3/19/1981,9.49,16.84,4.05,3.87,0.03,96.44,4.27,6.11,314.8,9.83,54.27,313.9
