Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,6.93,9.78,4.88,5.57,1.78,95.72,5.93,8.32,315.1,6.85,86.25,315.2
1/2/1981,6.48,8.46,5.5,5.39,5.21,95.5,7.25,10.15,314.3,6.48,85.7,314.4
1/3/1981,5.78,8.58,2.11,5.42,1.16,95.73,4.37,6.29,307.7,5.56,90.01,308.3
1/4/1981,5.89,11.53,2.13,5.16,0.04,95.23,3.97,5.77,283.2,5.76,85.74,283.5
1/5/1981,7.67,12.62,3.95,5.82,0.72,95.08,6.49,9.15,307,7.53,84.14,307.1
1/6/1981,4.87,9.29,2.46,4.45,0.86,95.55,5.28,7.47,306.9,4.82,80.4,307.1
1/7/1981,4.38,7.4,1.56,4.87,3.1,94.96,6.51,9.19,296.3,4.08,88.21,296.4
1/8/1981,0.5,3,-1.97,3.15,4.59,95.13,7.12,9.99,340.5,0.5,76.43,340.6
1/9/1981,-1.05,1.89,-2.83,2.68,0.66,95.54,5.8,8.23,333.9,-1.17,74.79,334.1
1/10/1981,1.52,6.59,-2.05,3.88,0.94,95.15,2.48,3.91,302.7,1.11,87.62,304.9
1/11/1981,3.01,11.22,-2.15,3.65,0,94.84,2.86,4.4,217.7,2.52,76.4,217
1/12/1981,3.77,8.52,0.78,3.53,0.02,94.89,2.28,3.64,198.7,3.04,68.23,199.2
1/13/1981,2.59,7.4,-0.61,3.79,3.11,94.04,2.23,3.66,275,2.08,77.95,275.7
1/14/1981,1.47,5.68,-2.14,3.81,1.59,94.42,4.73,6.86,288.9,1.08,84.07,290
1/15/1981,5.51,11.54,-0.3,4.69,0.18,94.62,6.04,8.53,282,5.47,80.51,282
1/16/1981,8.07,11.39,3.56,5.78,2.73,94.53,7.75,10.94,312.4,7.93,81.64,312.5
1/17/1981,6.67,13.75,3.37,5.29,0.28,95.26,3.82,5.66,292.4,6.61,84.38,292.9
1/18/1981,6.74,11.41,3.32,5.09,1.89,95.23,5.36,7.71,303.1,6.52,79.88,303.7
1/19/1981,5.88,9.66,3.26,5.19,2.39,95.54,5.14,7.3,303.8,5.85,86.7,304.1
1/20/1981,8.13,13.63,3.55,5.35,1.4,94.69,6.93,9.81,282.8,7.95,76.79,283
1/21/1981,6.15,8.83,3.83,3.95,4.62,94.25,10.05,14.16,331,6.01,63.57,331
1/22/1981,4.47,7.81,2.59,3.45,0.45,94.71,7.47,10.56,337,4.39,63.29,337
1/23/1981,3.56,6.06,2.12,4.63,1.84,95.03,4.8,6.79,332.3,3.53,89.55,332.4
1/24/1981,4.42,8.2,2.52,4.97,1.38,95.43,3.7,5.35,317,4.37,91.03,317.3
1/25/1981,5.29,12.11,1.04,4.88,0.26,95.76,3.4,5.02,302.5,5.37,85.17,302.8
1/26/1981,5.85,14.54,0.29,4.32,0,95.8,2.81,4.35,293.2,5.71,75.85,291.7
1/27/1981,5.7,11,1.63,4.94,1.65,96.12,3.3,4.82,354.5,5.69,83.85,353.4
1/28/1981,3.02,7.51,-2.12,4.24,2.47,96.1,3.27,4.85,333,2.55,86.24,333.2
1/29/1981,2.44,7.1,-1.84,3.42,1.93,95.96,3.88,5.61,346.3,2.58,75.01,347.3
1/30/1981,1.95,6.2,-1.95,4,1.22,96,3.85,5.53,313.2,2.04,88.55,313.7
1/31/1981,3.2,8.43,-0.44,4.04,1.32,96.27,2.96,4.33,332.6,3.48,83.28,333.1
2/1/1981,4,9.56,-0.64,4.42,2.27,96.39,2.09,3.37,0.8,3.93,84.28,3.2
2/2/1981,4.19,6.46,1.7,5.13,3.69,96.4,2.24,3.38,0.5,3.98,95.75,1
2/3/1981,4.42,8.42,1.82,4.53,1.85,96.03,2.37,3.58,293.6,4.47,84.8,293.7
2/4/1981,6.45,14.97,0,3.63,0.02,94.93,3.67,5.43,259.4,6.29,63.75,259.5
2/5/1981,5.1,9.01,2.81,4.26,3.07,94.29,6.72,9.58,295.8,5.02,73.11,296.1
2/6/1981,5.9,10.01,2.71,4.9,5.48,95.19,7.33,10.38,323,6,81.5,323.1
2/7/1981,7.1,11.41,5.16,5.66,3.06,95.93,4.7,6.68,329.4,7.2,87.28,329.5
2/8/1981,7.56,14.03,3.49,5.32,0.65,96.11,2.6,3.82,308.1,7.54,80.86,310.8
2/9/1981,10.34,20.91,2.31,5,0,95.62,1.81,3.04,255.8,9.42,66.9,254.5
2/10/1981,10.54,19.31,3.61,4.75,0,95.34,1.49,2.49,247.1,10.23,60.85,252.4
2/11/1981,9.92,17.22,4.76,5.3,0,95.11,1.77,2.72,299,8.9,68.02,300.8
2/12/1981,10.17,17.88,5.38,5.32,0.01,94.64,1.53,2.36,224.5,9.99,69.62,225.3
2/13/1981,10.26,17.66,6.15,5.99,0.69,94.23,3.37,5.24,212.7,9.52,72.72,212.1
2/14/1981,8.22,14.21,3.93,5.8,1.49,94.75,3.28,4.84,306.7,8.45,81.32,308.5
2/15/1981,7.96,15,3.94,5,0.3,95.19,1.69,2.48,116.2,9.31,74.7,112.6
2/16/1981,8.13,15.19,1.68,5.95,2.7,94.62,2.9,4.26,170.6,8.5,83.87,168.8
2/17/1981,7.79,10.81,4.7,6.21,10.03,94.26,3.19,4.59,40.7,8.14,89.07,41.6
2/18/1981,6.02,10.14,2.99,5.3,3.61,94.63,2.86,4.04,312.5,6.58,87.04,312.9
2/19/1981,6.31,13,0.47,4.13,0.02,94.54,2.29,3.4,260.5,6.49,70.16,262.5
2/20/1981,7.22,13.85,2.56,4.25,0.15,94.47,2.04,3.12,266.4,7.63,65.95,267.2
2/21/1981,4.43,6.92,2.08,4.95,10.06,94.45,3.14,4.49,319.2,4.63,89.61,319.4
2/22/1981,3.54,7.86,-0.27,4.43,4.36,94.73,4.27,6.28,314.1,3.4,86.38,315
2/23/1981,4.83,10.87,-0.26,4.59,0.5,95.07,3.18,4.71,296.9,5.08,82.74,298.1
2/24/1981,6.64,14.41,-1.21,3.98,0.08,95.34,1.68,2.67,263.9,6.61,67.68,262.1
2/25/1981,6.62,12.82,2.44,4.82,0.07,95.36,2.51,3.94,298.3,6.7,76.11,299.2
2/26/1981,5.78,12.11,0.97,4.67,0.01,95.37,2.69,4.06,292.4,5.98,79.33,290.3
2/27/1981,8.55,16.2,1.17,4.85,0.01,95.07,1.31,1.99,230.8,8.2,68.94,229.7
2/28/1981,13.66,23.22,5.14,6.44,0,94.79,2.1,3.32,270.7,12.77,66.58,270.9
3/1/1981,14.98,23.14,9.05,6.9,0,94.85,1.19,1.88,201.4,13.83,65.89,196.4
3/2/1981,14.25,21.21,9.65,6.96,0.2,94.85,1.08,1.7,326.3,13.68,67.57,330.2
3/3/1981,13.58,21.53,8.58,7.64,0.07,94.63,1.83,2.7,288.3,14.31,78.03,286.4
3/4/1981,11.45,18.1,7.26,6.76,0,94.48,1.83,2.83,314.1,12.15,78.27,315.1
3/5/1981,10.4,17.24,6.49,5.3,0.04,95.15,2.18,3.17,348.6,11.57,68.99,344.9
3/6/1981,9.85,17.33,5.33,5.19,0.05,95.33,1.11,1.94,166.3,10.21,69.28,169.2
3/7/1981,10.35,17.41,5.39,6.26,0.01,95.6,2.49,3.78,331.6,10.91,77.83,334.1
3/8/1981,10.67,17.85,5.88,5.8,0.01,95.91,1.79,2.63,51.9,12.16,73.52,42
3/9/1981,12.2,20.08,7.07,5.44,0,95.81,2.07,3.3,327.8,12.45,63.9,332.7
3/10/1981,11.61,20.97,4.4,5.73,0,95.82,2.15,3.41,320.8,11.82,70.18,322.9
3/11/1981,14.15,23.09,5.97,6.3,0,95.63,1.82,2.97,301.3,13.97,64.45,308.1
3/12/1981,17.38,27.11,10.14,7.45,0,95.07,2.31,3.86,286.7,16.99,62.06,288.3
3/13/1981,16.41,23.86,11.8,7.61,0.03,94.82,3.14,4.65,301.4,16.39,65.61,301.6
3/14/1981,10.06,14.12,7.35,6.77,2.24,94.87,2.27,3.22,195.4,10.34,84.17,192.1
3/15/1981,12.28,18.45,7.33,7.55,0.84,94.61,2.27,3.32,217.6,12.68,81.16,233.4
3/16/1981,12.3,18.82,7.26,6.35,0.03,94.87,2.17,3.11,1,13.39,71.61,357.9
3/17/1981,9.88,17.03,4.03,6.07,0.88,94.45,2.63,3.73,41.3,10.89,77.94,40.8
3/18/1981,6.76,10.05,3.39,5.02,9.49,94.17,6.63,9.39,317.5,7.36,78.25,317.6
3/19/1981,6.58,12.53,1.91,4.19,0.17,94.55,6.36,9.19,306,7.02,68.54,306.3
3/20/1981,10.7,21.73,0.71,4.67,0,94.76,1.36,2.42,246.4,10.88,61.44,246.4
3/21/1981,11.83,18.85,6.34,5.51,1.14,95.03,1.6,2.47,332.3,12.38,63.4,332.6
3/22/1981,11.89,19.17,5.41,6.15,0.44,94.96,2.8,4.24,295.5,12.29,71.63,296.8
3/23/1981,11.53,18.15,7.26,6.33,0.27,95.15,4.02,5.76,315.6,12.34,75.03,316.3
3/24/1981,13.15,21.23,7.23,6.7,0.05,95.47,2.61,3.85,310.4,14.02,72.28,310.8
3/25/1981,16.81,25.82,9.15,7.48,0,95.36,1.74,2.84,238.2,17.59,64.22,243.7
3/26/1981,17.76,27.09,10.43,7.94,0.25,95.11,2.28,3.65,282.4,17.99,64.28,286.2
3/27/1981,17.26,25.65,9.91,7.28,0.46,94.89,1.49,2.36,284.3,17.09,61.06,283.8
3/28/1981,18.43,27.49,12.05,7.86,0.24,94.54,1.92,2.84,262.3,18.59,61.53,258.3
3/29/1981,17.95,27.72,10.38,7.76,0.04,94.35,3.16,4.67,155.5,18.02,63.46,157.2
3/30/1981,15.69,25.39,9.08,8.01,0.71,93.96,3.42,4.79,4.1,17.01,72.08,5.5
3/31/1981,9.65,12.04,8.36,6.35,6.84,93.85,3.57,5.01,287.8,10.35,80.33,288.2
4/1/1981,10.93,17.26,5.77,5.67,0.89,94.4,3.52,5.21,261.2,11.13,69.09,261.3
4/2/1981,12.85,21.2,4.28,4.77,0,94.68,2.42,3.71,277.4,13.56,54.91,278.7
4/3/1981,14.38,22.91,8.36,5.52,0,94.72,3.72,5.57,151.3,14.44,56.65,152.4
4/4/1981,12.14,19,7.64,6.53,0.07,94.98,3.96,5.6,338.2,13.25,74.13,338.5
4/5/1981,11.4,17.69,6.87,6.61,0.48,95.13,2.85,4.11,322.2,12.5,77.47,322.4
4/6/1981,14.3,23.84,6.5,6.17,0,95.24,2.3,3.29,185,15.04,63.79,183.9
4/7/1981,17.88,26.74,9.57,6.69,0,95.4,2.13,3.29,181,18.52,54.42,177.6
4/8/1981,19.87,29.72,11.32,7.31,0,95.58,2.08,3.23,214.4,19.85,53.7,214.2
4/9/1981,19.54,28.75,13.59,7.11,0,95.6,2.66,4.15,283,19.53,52.93,284.9
4/10/1981,19.11,27.37,12.74,8.13,0.01,95.39,1.43,2.37,322.1,19.25,60.16,324
4/11/1981,20.29,29.35,12.24,8.3,0,94.91,1.18,1.98,132.3,21.18,58.35,127.2
4/12/1981,18.55,26.76,12.75,7.86,0,94.81,2.57,3.66,111,19.68,59.99,112.9
4/13/1981,14.42,21,8.59,7.33,0,95.11,3.44,4.82,103.1,15.69,70.74,103.1
4/14/1981,14.09,22.16,7.62,6.76,0,95.34,2.13,3.02,123.1,15.82,69.39,123.1
4/15/1981,15.89,22.88,9.15,7.43,0.16,95.36,1.74,2.57,1.1,17.78,66.35,4.6
4/16/1981,15.12,20.49,10.52,7.47,4.19,94.58,3.44,5,199.6,15.49,67.89,199.8
4/17/1981,13.85,20.42,8.41,6.88,0.4,94.1,3.3,4.65,303.2,15.33,69.34,303.3
