Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,10.6,15.67,6.68,5.85,0.17,101.19,4.77,6.36,343.9,10.68,75.85,344.7
1/2/1981,9.26,14.93,5.32,5.24,0.05,101.03,3.98,5.48,329.6,9.18,74.72,330.6
1/3/1981,8.86,15.1,4.55,5.19,0.02,101.29,2.66,3.85,303.4,8.76,76.3,304.8
1/4/1981,8.44,16.18,3.59,4.64,0,100.75,4.21,5.69,259.9,8.6,70.43,259.4
1/5/1981,9.77,17.92,3.87,5.52,0.01,100.54,4.2,5.62,305.2,10,74.77,304.6
1/6/1981,8.05,13.67,4.23,4.35,0.02,101.1,3.77,5.19,321.6,8.12,67.59,323.2
1/7/1981,8.48,15.88,2.49,4.41,0.02,100.52,4.91,6.48,288.4,8.82,66,288.1
1/8/1981,5.56,7.79,3.16,3.5,0.74,100.6,7.47,9.75,334.8,6.33,62.16,334.9
1/9/1981,3.48,6.94,0.84,2.88,0.03,101.11,6.4,8.42,335.5,4.41,60.95,335.7
1/10/1981,5.13,11.48,0.05,3.66,0.02,100.81,3.78,5.11,267.5,5.73,69.9,267.2
1/11/1981,5.84,11.7,1,3.56,0,100.64,3.87,5.24,228.7,6.24,64.22,228.4
1/12/1981,7.5,11.36,4.39,3.62,0,100.48,1.91,2.68,152.2,6.91,56.58,150.4
1/13/1981,8.2,13.74,3.99,3.85,0.03,99.56,3.16,4.28,260.9,7.86,58.69,258.8
1/14/1981,5.95,12.5,-0.03,3.54,0.02,100,3.29,4.53,287.3,6.53,62.56,287.2
1/15/1981,7.23,15.1,1.71,4.03,0,100.3,5.46,7.2,257,7.74,66.14,256.8
1/16/1981,9.3,17.26,4.24,5.25,0.14,100.05,5.73,7.6,279,9.48,73.84,278.1
1/17/1981,9.98,17.86,4.46,5.06,0,100.79,3.44,4.81,279,9.94,70.26,279.4
1/18/1981,10.27,16.96,5.28,5.19,0.09,100.73,3.41,4.68,313.7,10.4,69.6,313.3
1/19/1981,8.68,15.83,3.48,4.88,0.06,101.08,3.31,4.64,314.6,8.81,73.52,314.6
1/20/1981,10.66,18.61,4.59,4.69,0,100.25,5.18,6.96,263.9,10.52,62.69,263.4
1/21/1981,11.25,13.63,9.02,4.07,0.56,99.6,9.88,13.02,330.2,11.07,49.32,330.2
1/22/1981,9.16,12.86,6.88,3.55,0.03,100.08,7.88,10.36,343.3,9.28,49.92,343.3
1/23/1981,8.2,12.07,5.23,4.64,0.06,100.45,5.45,7.14,341.7,8.57,69.7,341.9
1/24/1981,8.6,13.77,5.29,5.02,0.11,100.9,4.13,5.56,344.3,8.91,73.9,343.8
1/25/1981,9.07,15.75,4.2,4.63,0,101.29,2.57,3.61,306.1,9.18,68.48,306.2
1/26/1981,9.25,17.68,2.94,4.05,0,101.32,3.33,4.66,264.7,9.04,59.87,262.8
1/27/1981,8.91,15.4,4.39,4.89,0.08,101.56,4.11,5.61,10.1,8.96,71.13,11
1/28/1981,7.79,12.68,3.1,4.24,0.03,101.62,3.58,4.82,354.2,8.04,68.11,354
1/29/1981,6.52,10.86,2.81,3.79,0.96,101.49,4.13,5.57,350.5,6.91,65.46,351.1
1/30/1981,6.11,12.32,0.62,3.8,0.07,101.57,3.55,4.79,330.8,6.76,68.03,330.4
