Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,12.3,14.45,9.86,6.82,1.84,101.92,6.92,8.65,325.4,13.54,78.24,325.6
1/2/1981,12.35,14.44,10.68,6.46,1.88,101.67,8.42,10.63,320.8,13.5,73.65,320.8
1/3/1981,11.09,13.63,8.8,6.48,0.33,101.98,5.43,6.75,310.8,12.42,80.74,310.9
1/4/1981,11.32,15.02,8.45,6.48,0,101.43,4.81,6.04,281.1,12.27,79.36,280.9
1/5/1981,12.47,17.41,10.23,6.82,0.29,101.16,7.3,9.25,308.8,13.11,77.01,308.7
1/6/1981,10.8,13.39,8.76,5.72,0.31,101.74,6.63,8.27,306.6,12.36,72.67,306.6
1/7/1981,10.27,12.55,8.39,6.17,2.57,101.09,7.3,9.13,300.7,11.97,79.7,300.7
1/8/1981,6.99,9.51,4.87,4.33,5.26,101.28,10.35,13.14,339.2,10.43,70.25,339.2
1/9/1981,6.21,7.57,5.16,4.31,1.26,101.79,8.96,11.25,330.7,9.79,74.34,330.7
1/10/1981,7.92,11.33,4.51,4.33,0.03,101.49,4.15,5.06,302.4,10.16,67.3,302.2
1/11/1981,9.04,13.39,5.52,4.77,0,101.29,5.04,6.26,202,10.72,68.69,201.6
1/12/1981,9.87,12.59,7.39,4.86,0.03,101.31,4.6,5.72,182.2,10.85,65.13,182
1/13/1981,9.83,11.54,7.26,5.31,0.72,100.28,2.85,3.54,294.4,10.83,70.27,293.1
1/14/1981,8.31,11.2,5.67,4.99,1.18,100.63,5.91,7.41,286.6,10.37,73.2,286.4
1/15/1981,10.5,15.19,6.35,5.74,0.19,100.78,6.83,8.56,278.3,11.75,74.37,278.3
1/16/1981,12.58,15.08,9.43,6.19,0.54,100.6,9.04,11.54,314.6,12.9,68.69,314.4
1/17/1981,11.55,16.18,8,6.54,0,101.46,4.42,5.64,308.3,12.03,78.97,308.5
1/18/1981,11.72,15.35,9.56,6.21,0.54,101.41,6.21,7.88,300.1,12.17,74.13,299.8
1/19/1981,11.25,14.34,8.65,6.14,1.21,101.72,6.81,8.57,305.6,11.98,75.74,305.5
1/20/1981,12.54,16.23,9.36,6.53,0.4,100.78,6.73,8.53,276.9,12.75,73.18,276.5
1/21/1981,11.84,13.35,10.9,4.73,2.32,100.13,13.62,17.71,332.4,12.63,54.7,332.3
1/22/1981,10.63,11.85,9.63,4.95,1.14,100.76,10.3,13.19,336.5,11.9,62.53,336.5
1/23/1981,10.19,12.55,8.93,5.82,0.83,101.19,7.13,8.91,337.9,11.63,76.31,338.2
1/24/1981,10.92,13.37,8.88,6.36,0.66,101.65,5.33,6.64,333.2,11.81,79.77,333.7
1/25/1981,10.93,15.5,8.15,6.11,0.06,102.01,5.15,6.46,310.7,11.66,78.01,310.7
1/26/1981,10.8,15.86,7.4,5.83,0,102.08,3.82,4.8,309.6,11.68,75.96,308.6
1/27/1981,11.11,14.14,8.68,5.92,0.49,102.4,5.77,7.25,3.2,11.77,74.25,3.3
1/28/1981,9.72,11.49,7.65,4.75,1.28,102.4,5.82,7.31,345,10.83,64.94,345.2
1/29/1981,8.53,10.69,6.88,4.44,1.37,102.26,6.71,8.35,346,10.51,66.05,346.2
1/30/1981,7.86,10.42,5.81,5.15,1.53,102.32,5.14,6.33,323.4,9.92,79.48,323.9
1/31/1981,9.72,13.06,7.01,5.19,0.18,102.59,4.69,5.82,346.2,10.84,71.67,346.9
2/1/1981,10.85,13.33,8.78,5.7,0.52,102.73,4.14,5.19,21.5,11.48,72.87,22.6
2/2/1981,10.77,11.76,9.46,6.62,3.66,102.76,2.66,3.27,60.2,11.71,84.15,62.5
2/3/1981,10.16,12.35,8.65,5.66,2.79,102.36,3.29,4.06,297,11.42,75.55,296.6
2/4/1981,11.01,16.77,6.53,5.29,0.14,101.16,3.87,4.94,256.7,11.79,68.46,256.4
2/5/1981,10.13,13.16,8.63,5.23,0.67,100.4,7.28,9.18,289.3,11.46,67.95,288.9
2/6/1981,11.53,14.73,9.43,5.52,0.89,101.25,9.23,11.8,323.4,12.25,66.78,323.5
2/7/1981,11.74,15.11,9.72,5.94,0.04,102.14,6.2,7.77,341.8,12.37,72.33,342
2/8/1981,11.83,15.77,9.45,6.65,0.02,102.42,3.95,4.92,335.9,12.46,79.92,335.7
2/9/1981,12.89,18.99,8.85,6.12,0,101.89,3.09,3.94,195.1,12.53,68.16,195.1
2/10/1981,12.95,17.52,8.77,6.22,0,101.56,2.34,2.96,237.6,13.46,68.91,234.8
2/11/1981,13.2,18.38,9.56,6.6,0,101.31,1.6,2.05,74.2,13.22,72.25,100.7
2/12/1981,13.44,17.32,10.33,7.14,0.05,100.86,2.8,3.7,270.8,13.44,76.06,280.6
2/13/1981,13.8,17.45,11.26,7.03,0.84,100.43,3.74,4.92,206.8,13.13,71.28,205.8
2/14/1981,12.25,15.3,10.28,7.21,0.64,100.93,4.56,5.73,341.6,12.72,81.97,342.4
2/15/1981,10.72,13.65,8.08,5.14,0,101.55,3.5,4.31,17.6,12.22,66.26,17.5
2/16/1981,11.45,15.53,7.57,6.83,6.26,100.97,4.42,5.52,144.2,12.33,81.82,143.7
2/17/1981,11.68,12.76,9.7,7.39,6.74,100.43,5.81,7.3,49.5,12.31,86.23,49.9
2/18/1981,10.63,12.68,8.74,5.88,0.33,100.85,3.57,4.4,330.5,11.84,74.83,330.6
2/19/1981,11.13,15.48,7.03,5.49,0.15,100.8,2.87,3.59,251.1,11.98,69.05,250.2
2/20/1981,11.69,15.71,8.22,5.54,0.04,100.74,3.04,3.8,214.9,12.44,65.89,215.1
2/21/1981,10.27,13.04,8.02,6.45,5.31,100.65,4.34,5.36,319.7,11.25,83.13,319.2
2/22/1981,9.67,12.38,7.82,5.66,0.85,100.9,7.03,8.85,322,11.01,76.85,322.1
2/23/1981,10.49,14.28,7.01,5.59,0.07,101.31,4.74,5.9,306.9,11.62,72.54,306.9
2/24/1981,11.37,15.41,7.62,5.37,0.01,101.66,3.33,4.18,245.9,12.35,67.26,245.7
2/25/1981,11.73,16,7.88,5.87,0.11,101.62,3.61,4.51,294.5,12.6,70.75,293.5
2/26/1981,10.38,13.19,8.25,5.81,0.09,101.67,3.92,4.86,307.8,11.42,75.58,306.9
2/27/1981,11.31,15.23,6.97,5.53,0.03,101.41,3.22,4.02,171.1,12.53,68.4,169.5
2/28/1981,14.96,21.08,10.51,7.67,0.01,100.97,3.12,4.03,174.4,14.6,75.1,176.1
3/1/1981,14.5,18.44,11.41,8.45,0,101.03,2.38,3.06,92.7,14.72,83.76,94.7
3/2/1981,14.53,18.33,12.39,8.88,0.05,101,1.9,2.39,93.4,14.69,87.43,94.5
