Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,11.3,13.31,9.76,6.64,1.47,100.66,6.95,8.98,301.3,12.26,80.12,301.3
1/2/1981,10.91,11.28,10.44,6.27,5.92,100.44,8.3,10.79,303.7,12.06,77.26,303.7
1/3/1981,11.04,11.5,10.5,6.64,1.46,100.61,6.12,7.83,295.1,11.9,81.2,295.2
1/4/1981,12.5,13.37,11.62,7.25,0.36,100.01,6.79,8.76,277.5,12.78,80.05,277.6
1/5/1981,12.4,14.77,10.33,7.08,0.5,99.95,7.66,9.98,299.6,12.86,77.73,299.6
1/6/1981,10.59,11.94,8.82,5.84,1.29,100.45,7.37,9.52,299.7,11.65,73.62,299.8
1/7/1981,10.62,11.22,9.53,6.26,7.41,99.84,8.88,11.59,304.4,11.52,77.88,304.7
1/8/1981,6.25,9.27,4.49,3.71,3.39,100.3,9.06,11.76,355.1,9.19,62.51,355.3
1/9/1981,5.6,6.72,4.33,3.67,0.37,100.68,6.87,8.77,346.6,8.78,64.98,346.7
1/10/1981,7.83,10.43,5.75,4.85,0.52,100.03,3.35,4.27,310.7,9.76,73.36,311.7
1/11/1981,8.59,13.65,4.78,5.03,0.01,99.56,3.59,4.6,186.8,9.76,72.94,186.3
1/12/1981,9.48,12.04,7.52,5.25,0.04,99.67,2.25,2.9,204.6,10.2,71.13,205
1/13/1981,7.35,8.85,5.8,5.44,6.91,98.88,4.21,5.35,274.4,9.31,83.92,273.7
1/14/1981,8.12,9.25,6.46,5.45,5.68,99.24,7.16,9.28,290.1,9.53,80.09,290.4
1/15/1981,10.83,12.92,8.48,6.54,1.44,99.36,9.23,12.08,276.6,11.62,80.17,276.7
1/16/1981,11.7,12.94,9.44,6.53,5.36,99.42,8.83,11.6,309.5,12.08,75.28,309.7
1/17/1981,11.25,14.64,8.78,7.29,0.74,100.07,5.07,6.57,280.5,11.49,87.66,280.6
1/18/1981,11.56,12.83,10.25,6.44,3.74,100.08,7.91,10.31,299.7,11.95,75.59,299.7
1/19/1981,10.77,12.04,9.49,6.39,3.54,100.42,6.92,8.95,301.3,11.3,79.42,301.3
1/20/1981,12.34,14.28,10.76,7.51,5.37,99.46,9.6,12.64,276.9,12.48,83.49,276.8
1/21/1981,10.81,11.54,9.48,4.49,1.97,99.34,10.21,13.47,339.5,11.5,55.19,339.8
1/22/1981,9.71,10.93,8.67,4.46,0.27,99.78,7.84,10.19,344.2,10.83,59.27,344.5
1/23/1981,8.51,10.01,7.62,5.3,1.15,100.06,4.91,6.25,351.7,9.89,76.48,352.4
1/24/1981,9.37,10.99,7.82,5.97,0.91,100.37,3.54,4.48,312.4,10.39,81.72,312.8
1/25/1981,10.63,13.38,8.95,6.26,0.39,100.65,4.32,5.57,297,11.16,79.31,297.2
1/26/1981,10.27,13.21,7.45,6.28,0.01,100.68,4.67,6,282.2,10.88,81.73,282.2
1/27/1981,10.75,13.68,7.96,6.02,1.2,101.07,3.29,4.27,35.8,11.12,75.78,37
1/28/1981,8.58,10.61,6.88,5.23,3.67,101.11,3.26,4.12,344.4,9.43,75.75,345.5
1/29/1981,7.61,9.78,6.02,4.3,0.44,101.03,4.46,5.71,3,9.29,67.04,4
1/30/1981,7.87,9.96,6.06,4.99,1.09,100.99,3.65,4.67,338.3,9.11,76.06,340.4
1/31/1981,9.06,11.53,6.89,4.81,0.27,101.26,2.76,3.51,344.9,9.65,68.03,346.2
2/1/1981,9.88,12.23,8.18,5.57,0.93,101.36,1.78,2.25,1.4,10.15,74.66,2.8
2/2/1981,9.38,11.02,8.34,5.35,0.58,101.41,1.39,1.77,355.1,10.07,73.92,356.1
2/3/1981,9.28,10.74,7.05,5.89,4.96,100.93,4,5.11,275.2,10.14,81.1,275
2/4/1981,10.57,14.86,7.06,5.69,0.04,99.68,4.99,6.42,255.4,11.13,73.17,255.1
2/5/1981,9.86,11.28,8.12,5.9,8.08,99.11,8.99,11.76,295.9,10.85,76.44,296
2/6/1981,10.78,12.26,9.5,5.81,5.02,100.18,8.2,10.72,319.1,11.38,71.81,319.1
2/7/1981,10.91,11.86,10.26,6.72,1.06,100.91,4.52,5.77,316.1,11.51,83.31,316
2/8/1981,10.47,12.89,8.66,6.4,0.39,101.01,2.38,2.99,294.8,10.94,81.99,294.6
2/9/1981,12.23,18.13,7.64,6.49,0,100.4,1.73,2.33,199.9,11.53,74.31,193.8
2/10/1981,12.24,17.02,8.32,6.6,0,100.11,2.48,3.39,217.5,12.08,75.33,219.2
2/11/1981,11.29,14.03,8.98,7.06,0.01,99.93,2.05,2.7,326.7,11.49,84.25,333.1
2/12/1981,10.99,13.84,9.44,7.17,0.89,99.43,2.17,2.78,46.4,11.8,87.42,44.5
2/13/1981,12.19,17.62,9.11,7.19,1.5,98.87,3.42,4.65,187.5,11.76,80.92,181.6
2/14/1981,10.1,12.67,8.24,6.87,3.18,99.6,2.93,3.89,308.7,10.62,88.03,311.6
2/15/1981,10.21,14.06,7.53,5.46,0.01,100.02,2.63,3.33,106.3,11.13,70.8,106.2
2/16/1981,12.05,16.94,7.83,6.87,0.46,99.3,3.48,4.55,155.4,12.4,78.34,156.2
2/17/1981,10.95,13.19,8.39,6.98,4.86,99.17,4.14,5.27,69.1,11.52,84.9,69.6
2/18/1981,8.5,9.96,7.24,5.9,1.82,99.5,2.84,3.65,303.4,9.53,84.71,303.6
2/19/1981,8.89,11.78,6.56,5.74,1.45,99.34,3.38,4.36,242.1,10.04,80.75,244
2/20/1981,9.69,11.95,7.63,5.8,1.43,99.29,3.24,4.11,256.1,10.7,77.05,256.4
2/21/1981,8.15,8.72,7.39,5.85,9.23,99.35,4.25,5.43,288.7,9.66,85.9,288.6
2/22/1981,8.66,10.13,7.71,5.58,4.12,99.66,5.56,7.19,313.9,9.94,79.74,314.4
2/23/1981,9.6,11.79,8.02,6,2.19,99.9,4.32,5.59,288.9,10.31,80.48,289.4
2/24/1981,10.48,12.97,7.93,5.02,0.07,100.18,2.38,3.07,262.2,10.54,64.32,261.3
2/25/1981,10.02,13.46,7.86,6.01,0.22,100.21,4.26,5.53,287,10.33,78.89,287.1
2/26/1981,9.55,12.6,7.68,5.34,0.01,100.26,4.1,5.32,300.1,10.04,72.81,300.4
2/27/1981,11.2,15.35,6.64,5.35,0.06,99.86,1.9,2.44,136.7,11.16,65.2,134.5
2/28/1981,13.92,19.56,10.02,7.33,0.01,99.49,2.22,3.05,185.5,13.13,74.07,182.2
3/1/1981,15.63,21.02,11.49,7.89,0,99.56,1.12,1.7,149.9,13.79,71.97,154.2
3/2/1981,14.67,18.46,11.55,8.32,0.26,99.58,1.42,2.1,242.9,13.67,79.84,242.1
3/3/1981,13.46,17.21,11.21,8.21,0.35,99.4,2.17,2.82,273.2,13.31,85.14,271.7
3/4/1981,12.47,15.83,10.15,7.4,0.06,99.28,3.29,4.26,290.8,12.42,81.94,290.6
3/5/1981,11.88,15.11,9.41,6.02,0,99.97,2.45,3.19,4.7,12.45,70.47,4.3
3/6/1981,11.59,15.69,9.24,6.94,0.17,100.14,2.59,3.43,165.9,11.82,81.36,166.7
3/7/1981,12.38,15.31,10.44,7.93,0,100.47,2.92,3.79,305.8,12.7,88.56,307
3/8/1981,12.8,16.71,9.38,7.02,0,100.74,2.1,2.7,102.6,12.68,77.82,101.9
3/9/1981,13.14,17.14,10.48,7.02,0,100.67,1.61,2.18,322.9,13.22,75.81,334.2
3/10/1981,12.69,16.57,9.3,7.2,0,100.68,2.09,2.71,290.4,12.72,80.06,290.8
3/11/1981,14.25,18.42,10.3,7.67,0,100.4,2.08,2.9,262.1,13.88,76.63,261.8
3/12/1981,16.23,20.09,13.2,8.88,0,99.74,2.87,4.21,259.8,14.87,77.41,259.9
3/13/1981,15.21,18.88,12.95,9.22,0.01,99.57,3.04,4.21,285.5,15.05,85.66,285.4
3/14/1981,12.79,15.76,10.92,7.75,7.16,99.56,3.35,4.43,176.9,12.67,84,176.2
3/15/1981,14.09,18.27,11.72,8.71,1.35,99.32,2.67,3.62,235.1,13.9,86.23,232.4
3/16/1981,12.66,15.69,10.53,7.3,0.19,99.72,2.76,3.47,312.4,13.45,80.07,312.3
3/17/1981,10.85,13.39,9.43,6.65,6.12,99.36,3.31,4.15,8.8,12.29,81.53,8.1
3/18/1981,10.28,11.75,8.42,5.97,12.67,99.09,8.17,10.62,313.9,11.79,75.75,314.2
3/19/1981,10.63,12.5,8.82,5.51,1.45,99.4,8.31,10.89,299.8,11.97,68.59,299.8
3/20/1981,11.98,17.91,7.72,5.91,0,99.55,2.28,2.95,105.3,12.25,69.06,104.4
3/21/1981,12.49,14.42,10.73,7.15,0.39,99.86,2.06,2.62,277.9,12.53,79,276.1
3/22/1981,13.84,16.96,11.1,8.06,2.45,99.72,4.31,5.64,273.7,13.83,81.99,273.4
3/23/1981,13.7,16.35,11.79,8.02,0.98,99.97,3.69,4.77,298.5,14.14,82.67,298.3
3/24/1981,14.08,17.34,10.55,8.47,0.04,100.27,2.87,3.81,274.2,14.25,84.82,274.1
3/25/1981,16.58,21.6,12.42,8.63,0,100.05,1.77,2.7,185.5,15.75,74.72,190
3/26/1981,16.79,21.78,14.12,9.26,0.01,99.78,2.3,3.43,256.4,15.92,78.45,259.7
3/27/1981,15.49,19.1,12.86,8.87,0.13,99.62,2.54,3.45,273.4,15.27,81.38,274.1
3/28/1981,15.94,22.09,12.1,8.83,0.22,99.24,1.85,2.47,94.9,15.82,79.2,95.2
3/29/1981,17.05,25.52,13.11,9.32,0.04,98.97,3.97,5.34,194.4,16.46,79.08,196.3
