Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,7.1,14.42,2.4,4.62,0.1,96.79,3.86,5.47,356.3,6.67,74.27,356
1/2/1981,6.62,13.74,2.41,4.49,0.13,96.59,3.68,5.2,350.9,6.11,74.62,351.6
1/3/1981,6.17,13.65,1.52,4.43,0.06,96.87,2.26,3.47,320.9,5.58,75.82,321.7
1/4/1981,5.39,13.27,1.27,4.01,0,96.4,2.45,3.79,279.6,4.4,72.53,276.2
1/5/1981,7.22,16.05,1.42,4.83,0.1,96.15,3.78,5.41,354.5,6.39,75.78,353.9
1/6/1981,4.86,12.54,-0.09,3.6,0.03,96.66,3.43,4.96,358.7,4.21,67.91,0.3
1/7/1981,5.59,13.47,-0.03,3.52,0.04,96.19,3.84,5.54,319.9,4.75,61.23,319.7
1/8/1981,2.32,6.76,-1.49,2.84,0.45,96.23,5.53,7.54,355.4,1.99,61.76,356.1
1/9/1981,0.22,5.79,-3.15,2.4,0.09,96.66,3.62,5.2,355.6,-0.28,63.56,355.9
1/10/1981,1.48,8.04,-2.53,3.43,0.1,96.33,2.32,3.64,269.9,0.77,81.39,266.9
1/11/1981,2.37,8.16,-1.33,3.21,0.01,96.12,1.78,2.68,208.2,1.53,70.77,207.2
1/12/1981,4.26,8.86,1.84,2.55,0.03,95.96,1.82,2.88,89,2.92,48.34,90.8
1/13/1981,4.66,10.95,-0.65,2.88,0.45,95.19,2.96,4.43,263.5,4.05,53.49,261.4
1/14/1981,2.88,8.44,-1.22,3.03,0.13,95.6,2.56,3.72,325.9,1.96,62.31,325.9
1/15/1981,3.8,12.25,-1.76,3.7,0.01,95.95,3.74,5.27,288.4,3.66,74.19,286.8
1/16/1981,6.31,15.08,0.76,5.28,0.46,95.75,3.24,4.72,312.4,5.91,85.21,310.4
1/17/1981,6.99,15.08,1.47,4.61,0.03,96.42,2.87,4.24,299.6,6.54,76.31,294.9
1/18/1981,7.69,15.39,3.15,4.58,0.13,96.33,2.91,4.27,347.7,6.99,71.21,348.7
1/19/1981,6.08,14.51,0.65,4.33,0.14,96.66,2.62,3.97,346.5,5.79,75.71,345.8
1/20/1981,8.28,15.88,2.21,4.05,0.06,96.01,4.23,6.02,284.2,7.43,60.78,281.7
1/21/1981,7.87,11.69,4.81,3.99,0.76,95.4,7.97,10.73,343.1,7.56,58.71,343.4
1/22/1981,5.57,11.22,1.57,3.4,0.23,95.78,5.33,7.38,358.1,5.29,60.52,358.4
1/23/1981,4.08,9.97,-0.53,3.57,0.15,96.07,3.83,5.43,6.6,3.89,70.76,7.2
1/24/1981,5.61,12.73,0.8,3.69,0.04,96.46,2.86,4.11,347.6,5.6,65.92,348
1/25/1981,5.99,14.17,0.78,3.81,0.03,96.84,2.27,3.51,327.8,5.75,68.02,326.4
1/26/1981,6.24,14.32,1.6,3.44,0,96.93,2.44,3.79,281,5.13,59.64,276.6
1/27/1981,7.03,14.74,1.52,4.14,0.04,97.05,3.28,4.74,34.1,6.63,65.99,35
1/28/1981,6.42,12.36,2.56,3.83,0.07,97.11,2.66,3.85,350.2,6.64,64.78,348.3
1/29/1981,3.73,9.37,-1.17,3.21,0.18,96.97,3.07,4.63,18.9,3.34,65.79,20.2
1/30/1981,3.23,11.03,-2.06,2.46,0.1,97.04,2.5,3.7,351.8,3.15,55.37,348.6
1/31/1981,4.38,10.29,0.76,3.35,0.92,97.26,3.73,5.21,31.4,4.39,66.4,32.1
2/1/1981,4.95,10.08,0.99,3.86,0.65,97.38,3.25,4.64,31.6,4.63,72.13,32.2
2/2/1981,5.71,9.81,3.06,4.45,1.57,97.4,2.53,3.56,26.1,5.61,76.94,26
2/3/1981,5.5,11.28,1.91,3.89,0.38,97.14,1.9,2.93,291.1,5.77,70.26,286.4
2/4/1981,4.79,11.99,-0.31,3.23,0,96.26,3.12,4.6,258,4.25,61.08,256.8
2/5/1981,6.34,13.91,1.65,3.55,0.28,95.5,4.08,5.65,319.4,5.76,57.76,320.1
2/6/1981,6.65,13.85,2.04,4.1,0.68,96.38,4,5.67,334.2,6.54,68.8,335
2/7/1981,8.16,16.27,2.5,4.64,0.56,96.94,3.14,4.5,9.8,7.64,71.72,10.4
2/8/1981,8.05,15.84,2.82,4.74,0.06,97.16,2.57,3.74,312.1,8.28,72.77,307.4
2/9/1981,8.99,15.91,4.24,4.65,0,96.9,2.35,3.51,262,8.35,66.38,258.7
2/10/1981,9.15,17.35,3.87,3.94,0,96.49,1.77,2.8,269.9,8.73,55.76,262.5
