Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,10.06,13.77,5.83,5.79,0.62,99.98,5.02,6.8,341.8,9.88,75.51,343.1
1/2/1981,8.43,13.88,3.35,4.9,0.04,99.92,4.05,5.56,312.3,8.35,72.83,312
1/3/1981,7.84,13.54,3.74,5.05,0,100.23,2.48,3.73,311.9,7.71,77.86,312.2
1/4/1981,7.74,14.23,3.69,4.48,0,99.79,5.56,7.52,255.7,7.46,70.07,255.7
1/5/1981,8.33,16.57,2.79,4.48,0,99.48,4.17,5.67,265.1,8.3,67.84,264.7
1/6/1981,7.11,12.6,2.91,4.29,0,100,3.1,4.44,319.1,7.02,69.74,320.7
1/7/1981,6.79,13.6,1.62,3.64,0,99.49,6.09,8.16,269.5,6.62,60.67,269.3
1/8/1981,4.67,9.12,2.05,3.3,0.11,99.4,6.48,8.67,326.8,4.42,61.79,327.2
1/9/1981,2.63,7.1,-0.68,2.52,0.02,99.93,5.42,7.38,322.5,2.49,56.63,322.6
1/10/1981,3.01,10.22,-1.91,2.76,0,99.79,3.13,4.6,271.6,2.74,60.47,271.4
1/11/1981,4.67,12.07,-0.59,2.69,0,99.63,3.22,4.7,212.3,4.21,52.57,213.8
1/12/1981,5.17,12.38,0.61,2.83,0,99.34,2.38,3.66,177.3,4.48,52.39,179.1
1/13/1981,6.27,12.99,2.29,2.93,0,98.56,4.72,6.52,239.1,5.71,50.03,238.7
1/14/1981,5.19,12.09,0.32,3.14,0,98.96,4.58,6.25,262,5.05,58.54,262
1/15/1981,5.09,11.07,0.44,3.65,0,99.37,6.14,8.25,258.9,5,69.14,258.7
1/16/1981,7.67,15.06,2.72,4.73,0,99.04,5.8,7.89,267.8,7.51,71.8,266.9
1/17/1981,8.52,16.11,3.67,4.69,0,99.75,2.22,3.5,303.7,7.67,70.8,306.2
1/18/1981,9.9,16.87,5.71,5.31,0.01,99.66,3.47,4.88,275.8,9.26,72.26,274.1
1/19/1981,8.8,15.13,4.67,4.32,0.01,99.98,2.52,3.67,312.6,8.35,64.35,310.8
1/20/1981,9.68,16.4,4.58,3.98,0,99.36,7.01,9.43,256.6,9.34,54.49,256.4
1/21/1981,10.43,14.16,8.23,3.69,0.68,98.53,8.78,11.72,313.7,10.1,47.35,313.7
1/22/1981,8.18,11.69,5.16,3.59,0.03,98.92,6.5,8.77,334.5,7.77,53.23,334.5
1/23/1981,7.11,11.42,3.43,4.51,0.09,99.27,3.75,5.2,339.3,6.93,72.26,339.3
1/24/1981,7.5,12.75,3.23,5.13,0.06,99.76,3.14,4.48,335,7.33,80.84,334.9
1/25/1981,7.64,14.58,2.45,3.84,0,100.22,3.17,4.57,284.6,7.54,61.48,284.7
1/26/1981,8.12,15.47,2.99,3.86,0,100.33,4.91,6.7,260.5,7.91,59.86,260.7
1/27/1981,8.05,14.58,2.43,4.73,0.05,100.36,4.25,5.78,333.7,8.2,70.21,334.4
1/28/1981,7.57,12.39,3.48,3.61,0.01,100.44,3.22,4.68,352.7,7.37,58.58,353.3
1/29/1981,5.8,9.87,1.35,3.82,1.36,100.3,3.24,4.69,346.6,5.41,67.67,348.1
1/30/1981,4.5,11.6,-1.23,2.92,0,100.44,2.41,3.8,304.3,4.11,59.55,302.2
1/31/1981,6.11,11.4,1.72,4.31,1.16,100.58,2.09,3.3,2.2,5.92,75.64,3.7
2/1/1981,7.14,9.87,4.5,5.46,7.14,100.63,1.59,2.47,27.2,6.45,87.15,27.3
2/2/1981,7.05,11.42,4.29,4.93,2.6,100.76,1.12,1.64,274.7,6.51,80.78,257.2
2/3/1981,7.12,13.74,2.76,4.35,0.18,100.52,1.44,2.16,266.2,6.49,72.68,260.2
2/4/1981,7.36,14.12,2.07,3.79,0,99.71,5.74,7.77,249.2,7.23,61.96,249.1
2/5/1981,7,12.57,3.42,3.93,0.02,98.82,6.74,9.08,253.2,6.67,61.86,253
2/6/1981,8.05,14.36,3.28,3.78,0.01,99.61,5.64,7.68,298.6,7.87,58.37,298.7
2/7/1981,8.54,14.62,4.73,4.99,0.13,100.22,3.62,5.14,345.7,8.4,74.57,345
2/8/1981,8.88,15.88,3.42,5.47,0.34,100.53,1.92,2.9,7.3,8.71,77.86,9.6
2/9/1981,9.9,18.59,3.24,4.72,0,100.29,2.82,4.25,240.7,9.81,66.51,240.9
2/10/1981,11.42,19.96,4.24,4.3,0,99.87,2.46,3.66,236.3,10.34,54.48,234.6
2/11/1981,12.26,21.56,5.55,4.01,0,99.52,1.52,2.34,254.5,10.66,47.38,251.6
2/12/1981,12.87,22.06,5.56,3.9,0.01,99.03,2.45,3.69,196.8,11.57,45.19,199.9
2/13/1981,14.48,22.14,8.26,6.27,0.16,98.67,3.72,5.33,230.7,14.18,59.66,231.5
2/14/1981,13.64,20.32,9.01,6.1,0,99,2.56,3.63,277.9,12.75,66.06,277.4
2/15/1981,10.59,16.02,6.84,6.41,0.72,99.52,2.91,4.04,73.4,11.1,80.48,74.4
2/16/1981,10.33,15.11,6.31,7.31,8.37,98.9,2.32,3.26,147.9,10.35,91.23,147.2
2/17/1981,11.62,17.7,7.51,7.26,3.73,98.32,4.13,5.65,308.6,11.75,84.72,308.4
2/18/1981,9.89,13.43,6.86,6.09,0.76,98.96,1.79,2.57,346.4,10.34,79.8,348.7
2/19/1981,9.86,16.13,5.19,4.79,0.05,99.11,2.84,4.19,250.6,10.05,66.02,250.8
2/20/1981,10.71,18.48,4.9,3.96,0,99.01,3.69,5.32,214.1,10.39,51.5,215.7
2/21/1981,10.46,18.85,5.17,4.47,0.46,98.62,3.48,4.94,279.6,10.68,57.94,285.6
2/22/1981,8.33,12.86,4.94,4.73,3.95,99.1,3.88,5.41,310.1,8.45,70.22,310.2
2/23/1981,8.6,16.69,2.36,3.4,0,99.47,3.53,5.11,276,8.46,51.22,275.7
2/24/1981,10.33,17.38,3.54,5.04,0,99.8,1.67,2.52,65.9,10.14,65.84,94
2/25/1981,11.54,20.43,4.96,4.54,0,99.69,1.2,1.98,141.8,11.56,58.42,175.2
2/26/1981,10.92,17.34,5.4,6.19,0,99.67,2.13,3.14,81.3,11.68,77.13,82.4
2/27/1981,11.39,18.5,5.32,5.75,0,99.5,1.42,2.14,126.2,11.36,71.56,128.2
2/28/1981,15.92,25.38,8.11,5.18,0,99.22,2.09,3.32,227,15.58,48.78,228.1
3/1/1981,16.82,22.11,12.7,5.47,0,99.1,2.11,3.24,249.9,15.9,45.69,249.9
3/2/1981,17.02,24.18,12.69,6.3,0.04,98.95,1.8,2.57,21.4,16.74,52.99,21.6
3/3/1981,15.28,21.44,11.31,7.29,0.06,98.87,1.8,2.62,31.7,15.83,69.19,29.3
3/4/1981,16.18,25.92,10.93,6.46,0.01,98.66,3.49,4.9,240.1,16.33,60.46,253
3/5/1981,13.37,19.57,9.34,6.93,0.05,99.36,3.96,5.31,62.9,14.29,75.07,63.2
3/6/1981,12.73,18.34,8.96,7.21,0.03,99.42,4.86,6.44,66.2,13.27,80.29,66.3
3/7/1981,13.73,19.48,9.16,7.84,0.02,99.65,5.1,6.83,46.9,14.43,81.53,46.9
3/8/1981,11.95,18.15,7.51,6.8,0.07,100.2,3.03,4.31,38.6,12.75,78.48,37.5
3/9/1981,12.87,20.05,6.19,5.67,0,100.21,1.05,1.6,170.4,13.64,65.55,171.1
3/10/1981,14.78,23.35,8.55,6.2,0,100.08,2.06,3.02,350.2,15.32,62.13,354.3
3/11/1981,15.8,24.28,8.93,6.08,0,99.94,1.28,1.98,323.8,16.52,58.53,330
3/12/1981,19.7,29.41,11.88,6.42,0,99.38,3.47,5.02,253.3,19.56,47.63,254.8
3/13/1981,20.07,26.63,15.05,6.81,0,98.95,2.45,3.41,251.9,19.71,46.74,251.4
3/14/1981,16.28,21.25,11.96,7.7,0.04,99,4.74,6.31,62.7,16.77,68.39,63.3
3/15/1981,16.84,27.3,10.23,8.04,0,98.64,1.36,1.99,56.6,18.23,72.02,51.6
3/16/1981,14.89,20.38,11.37,8.17,0.02,99.01,3.46,4.63,39.5,15.88,78.31,39.9
3/17/1981,16.46,27.43,10.7,7.89,0.17,98.39,2.95,3.99,83.1,17.34,71.71,85.1
3/18/1981,12.36,16.23,8.89,6.07,3,98.38,5.55,7.46,332.5,12.95,67.42,334
3/19/1981,11.58,18.44,4.87,4.15,0,99.04,3.79,5.37,287.1,11.99,52.23,288.1
3/20/1981,15.3,22.57,8.17,3.72,0,99.2,1.3,1.97,196.6,14.89,36.77,189.7
3/21/1981,16.24,25.6,7.99,4.53,0,99.19,1.42,2.15,28.8,16.63,43.45,352.2
3/22/1981,16.01,23.37,9.48,6.07,0,99.25,2.02,2.91,317.1,16.86,57.6,320.3
