Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,9.02,16.72,3.87,4.76,0.02,101.5,2.35,3.65,327.1,8.5,71.32,321.5
1/2/1981,8.33,16.71,2.8,4.61,0.02,101.33,1.98,3.15,317.5,7.8,72.1,315.3
1/3/1981,8.67,15.47,3.63,4.54,0,101.61,1.81,2.74,290.7,7.89,68.33,288.3
1/4/1981,6.63,14.38,2.21,4.36,0,101.12,2.5,3.65,259.6,6.15,75.24,258.8
1/5/1981,8.59,17.92,2.25,4.71,0.01,100.82,1.53,2.44,356.9,7.87,71.18,357.4
1/6/1981,7.3,15.39,1.49,3.72,0,101.41,2.02,3.12,338.9,6.65,62.71,340.2
1/7/1981,6.96,15.29,0.55,3.61,0.01,100.93,2.78,4.04,296.5,6.33,61.4,294.6
1/8/1981,5.26,11.07,0.57,2.91,0.1,101.02,4.32,5.99,347,4.87,55.09,348.1
1/9/1981,3.11,9.93,-1.73,2.45,0.01,101.51,2.52,3.84,345.9,2.35,55.45,344.7
1/10/1981,3.85,11.08,-1.54,3.25,0.02,101.12,2.42,3.62,255.5,2.98,68.52,254.9
1/11/1981,4.46,11.73,-1.4,3.19,0,100.82,1.91,2.85,175.7,3.78,64.32,176.6
1/12/1981,5.4,10.27,1.54,2.58,0.01,100.58,2.36,3.57,93.2,4.82,47.79,93.9
1/13/1981,6.52,13.25,2.05,2.98,0.11,99.82,2.72,4.06,260.1,6.22,51.24,263.4
1/14/1981,4.88,11.8,-0.88,3.07,0.04,100.32,2.05,2.89,293.6,4.83,58.12,292.3
1/15/1981,5.38,12.76,-0.87,3.63,0,100.75,3.82,5.22,271.8,5.52,67.45,270.1
1/16/1981,7.94,17.57,1.81,5.04,0.04,100.46,3.27,4.61,291.9,7.91,77.59,288.3
1/17/1981,9.21,17.08,3.67,4.75,0,101.09,2.01,3.11,282,8.49,70.53,274.9
1/18/1981,10.37,18.85,4.66,4.64,0.02,100.97,1.92,2.85,341.8,9.71,64,344.7
1/19/1981,8.47,16.86,2.4,4.21,0.02,101.38,1.96,3.02,320.7,8.54,66.59,315.4
1/20/1981,9.81,17.17,3.41,4.14,0,100.71,4.25,5.8,267.6,9.16,58.53,266.6
1/21/1981,10.77,16.34,6.14,3.96,0.11,100.15,5.48,7.43,327.6,10.36,51.77,327.9
1/22/1981,8.67,15.47,3.83,3.4,0.03,100.51,3.7,5.27,349,8.38,52.48,349.2
1/23/1981,7.53,14.34,2.06,3.57,0.04,100.76,3.14,4.52,2.4,7.49,59.4,2.7
1/24/1981,7.79,15.44,2.16,3.54,0.01,101.17,2.09,3.21,319,7.96,57.73,316.8
1/25/1981,8.38,16.09,3.46,3.83,0,101.56,1.96,3,294.1,8.28,60.31,291.5
1/26/1981,8.24,16.64,3.41,3.53,0,101.65,2.41,3.51,262.3,7.48,55.94,261.6
1/27/1981,9.3,18.03,2.71,4.04,0,101.73,2.69,3.77,61.7,9.02,58.05,64
1/28/1981,8.87,14.5,5.69,3.96,0.05,101.86,2.39,3.41,355.1,9.36,58.72,357.5
1/29/1981,7.33,13.52,2.7,3.32,0.23,101.7,2.57,3.82,31.7,6.65,56.17,32.7
1/30/1981,5.44,12.95,-1.04,2.57,0.02,101.82,1.65,2.59,354.7,5.61,50.56,348.6
1/31/1981,6.92,13.35,1.83,3.39,0.57,101.98,2.79,4.07,49.4,6.86,59.24,50.6
2/1/1981,7.55,12.67,3.23,4.09,0.63,102.1,2.68,3.89,42.5,7.13,66.15,42.8
2/2/1981,8.17,12.78,4.48,4.7,4.22,102.14,1.34,2.11,52.7,8.24,72.2,51.7
2/3/1981,8.1,13.14,4.37,4.55,0.36,101.9,1.54,2.37,274.2,8.39,70.66,273.7
2/4/1981,6.58,14.75,0.73,3.44,0,100.98,3,4.3,249.1,6.53,61.11,248.1
2/5/1981,7.56,16.56,1.27,3.63,0.08,100.19,3.34,4.56,290.2,7.39,58.06,289.1
2/6/1981,8.89,17.31,2.67,4.11,0.12,101.13,3.42,4.9,315.7,8.79,63.49,315.6
2/7/1981,10.78,18.95,4.03,4.66,0.11,101.63,1.7,2.57,0.4,9.97,64.05,4.6
2/8/1981,10,17.28,3.65,5.04,0,101.86,1.54,2.38,121.6,10.15,70.22,146
2/9/1981,11.27,18.74,6.32,4.73,0,101.56,1.9,2.74,241.5,10.46,60.41,239.3
2/10/1981,11.08,18.52,6.26,3.98,0,101.13,1.52,2.22,246,10.3,51.43,240.2
2/11/1981,12.29,19.12,7.19,3.63,0,100.82,1.58,2.22,256.4,10.67,42.72,257.3
2/12/1981,13.03,20.1,6.86,3.57,0,100.22,1.99,2.94,125.1,12.13,39.93,126.3
2/13/1981,13.25,20.14,9.85,5.83,1.24,99.86,2.69,3.96,191.6,12.75,60.48,188.8
2/14/1981,12.78,21.06,6.48,4.95,0,100.25,1.65,2.52,270.5,12.63,56.3,267.2
2/15/1981,11.81,17.81,7.47,5.74,0.03,100.77,4.23,5.66,90.9,12.4,69.18,91.4
2/16/1981,12.96,19.97,6.91,6.81,0.81,100.08,3.3,4.35,98.9,13.81,74.01,99.7
2/17/1981,13.26,18.19,10.25,6.69,4.71,99.7,3.3,4.42,51.6,13.55,71.1,50.9
2/18/1981,11.02,14.52,8.01,5.92,0.71,100.3,1.28,1.92,290.7,11.42,73.36,276.8
2/19/1981,9.8,15.99,4.13,4.35,0,100.35,2.12,2.99,257.4,9.89,61.07,258.1
2/20/1981,11.03,17.66,4.31,4.1,0.01,100.18,1.91,2.69,236.8,10.94,51.88,237.6
2/21/1981,9.95,14.13,7.25,4.89,3.23,100.03,2.27,3.26,3.9,9.94,64.17,4.7
2/22/1981,9.03,16.28,3.06,3.73,0.87,100.5,2.64,3.75,315.6,9.19,55.65,318.3
2/23/1981,9.95,18.11,3.57,3.66,0,100.75,1.65,2.48,287.9,10.01,51.33,289.1
2/24/1981,10.83,17.54,3.96,4.57,0,101.07,2.21,3.08,99.6,10.63,59.31,111.2
2/25/1981,12.46,19.64,5.17,4.12,0,100.96,1.49,2.03,187.2,11.47,48.72,190
2/26/1981,11.79,17.33,6.21,5.41,0,100.97,2.51,3.43,102.1,11.81,66.06,105.1
2/27/1981,12.6,19.64,6.14,4.96,0,100.74,2.17,3,66.7,12.1,57.7,70.1
2/28/1981,16.46,24.68,9.13,4.79,0,100.46,1.39,2.08,166.9,15.59,43.76,176.3
3/1/1981,17.3,23.81,12.33,5.13,0,100.3,1.91,2.84,90.9,15.93,42.63,95.5
3/2/1981,18.07,25.49,11.9,5.8,0,100.22,2.25,3.26,76.7,17.9,47.04,79.4
3/3/1981,18.47,25.57,11.57,6.91,0,100.09,2.42,3.37,95,18.3,54.84,97.3
3/4/1981,17.41,26.2,10.4,6.19,0,99.86,1.71,2.5,118.1,18.28,53.9,117.8
3/5/1981,15.91,22.77,10.52,6.13,0,100.55,5.65,7.38,83.7,16.83,57.55,83.9
3/6/1981,14.38,21.08,10.66,5.38,0,100.76,5.56,7.28,69.7,15.17,55.87,69.7
3/7/1981,16.54,25.34,9.47,5.76,0,101,3.36,4.51,66.7,17.66,52,66.6
3/8/1981,15.32,22.09,8.95,5.53,0,101.52,2.12,2.92,79.1,16.74,56.18,76.8
3/9/1981,15.07,23.23,8.22,5.88,0,101.47,1.91,2.67,239.4,16.68,59.03,242.6
3/10/1981,17.91,26.04,10.67,5.56,0,101.31,1.76,2.61,278.6,18.87,46.65,146.7
3/11/1981,19.35,28.03,11.16,5.7,0,101.15,1.43,2.05,230.3,20.19,44.36,229.8
3/12/1981,22.63,31.87,15.8,5.9,0,100.58,2.2,3.16,252.9,22.37,36.88,251.5
3/13/1981,22.78,30.33,17.3,6.14,0.01,100.15,2.2,3.14,291.6,23.29,37.11,288.2
3/14/1981,17.96,21.8,12.98,7.5,1.97,100.23,5.95,7.82,77.6,18.4,58.99,78.1
3/15/1981,18.3,26.48,11.36,6.67,0,99.92,4.56,6,71.9,19.19,53.1,71.7
3/16/1981,17.61,23.04,13.55,7.25,0,100.25,4.63,6.05,80.1,18.43,59.66,80.4
3/17/1981,16.67,22.65,11.63,6.87,0.03,99.68,5.74,7.51,65.9,17.3,59.74,66.2
3/18/1981,13.66,19.04,8.73,4.79,5.25,99.83,4.1,5.45,340.5,14.61,50.84,340.7
3/19/1981,12.52,20.38,4.98,3.92,0,100.35,2.68,3.83,280.7,13.3,48.13,282.7
3/20/1981,16.46,23.52,8.81,3.48,0,100.42,1.72,2.35,176.6,15.88,31.87,175.7
3/21/1981,17.61,25.38,10.39,3.71,0,100.47,2.35,3.4,274.8,18.07,31.74,261.9
3/22/1981,17.05,24.28,9.52,5.53,0.01,100.52,2.67,3.77,283.9,18.51,50.26,281.4
3/23/1981,17.98,25.56,10.03,5.03,0,100.63,2.65,3.66,7.5,19.34,44.34,6.9
3/24/1981,17.88,25.59,10.24,6.15,0,101.04,2.39,3.33,143.8,20,52.15,141.2
3/25/1981,20.83,28.47,13.01,5.76,0,100.9,1.69,2.4,227.6,21.6,39.99,227
3/26/1981,22.4,30.19,14.84,5.89,0,100.63,1.89,2.77,244.2,22.75,36.77,246.2
3/27/1981,22.99,30.84,16.61,6.35,0.01,100.28,1.85,2.67,95.5,23.75,38.45,95.4
3/28/1981,22.15,31.01,14.07,6.59,0.31,99.94,2.58,3.63,116.4,23.12,44.41,132
3/29/1981,24.09,33.96,15.87,5.81,0,99.55,4.44,6.05,117.8,24.68,35.31,118.7
3/30/1981,22.19,31.47,15.6,5.75,0,99.07,6.36,8.3,169.4,23.14,36.76,174.3
3/31/1981,15.49,19.68,10.44,5.29,2.05,99.61,6.73,8.78,264.4,16.2,49.29,264.4
4/1/1981,16.24,22.99,8.74,5.27,0,100.13,4.46,6.01,264.7,17.29,49.45,263.7
4/2/1981,19.46,26.75,12.74,3.61,0,100.17,1.63,2.35,242.7,20.12,28.13,238.3
4/3/1981,20.17,30.94,11.17,3.66,0,99.97,4.66,6.28,134.3,20.75,29.71,135.1
4/4/1981,19.65,27.89,11.4,4.73,0,100.26,2.73,3.8,337,21.3,36.56,336.6
4/5/1981,18.7,25.51,11.35,5.53,0,100.55,2.41,3.28,95.3,20.45,44.67,102.6
4/6/1981,19.2,26.93,12.14,6.18,0,100.76,3.77,5.06,98.7,20.92,49.28,98.8
4/7/1981,21.04,30.05,12.69,5.71,0,100.87,3.44,4.63,89.9,22.34,41.95,90.5
