Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,9.9,13.11,7.09,6.12,1.29,100.43,5.21,7.48,310.8,9.67,81.52,310.8
1/2/1981,10.03,12.64,8.53,5.79,3.52,100.2,6.45,9.21,311.1,9.91,76.09,311.2
1/3/1981,8.86,11.32,5.84,5.98,0.81,100.45,3.9,5.7,300.7,8.53,85.18,300.9
1/4/1981,9.96,13.55,8.04,6.21,0.07,99.87,3.95,5.8,281.6,9.67,82.2,281.8
1/5/1981,11,16.67,7.83,6.25,0.34,99.69,6.03,8.7,303.8,10.73,76.25,304.1
1/6/1981,8.56,12.11,5.05,5.01,0.65,100.22,5.37,7.75,302.4,8.39,73.4,302.4
1/7/1981,8.66,10.31,7.25,5.7,4.35,99.57,5.88,8.45,302.1,8.31,80.53,302.2
1/8/1981,3.69,6.6,1.61,3.51,4.4,99.92,6.69,9.57,340.8,3.58,70.85,340.9
1/9/1981,3.03,5.37,1.01,3.31,0.6,100.36,5.68,8.17,328.8,2.97,70.83,329
1/10/1981,4.33,10.31,-1.18,3.62,0.11,99.94,2.35,3.73,302.1,3.99,71.79,303.7
1/11/1981,5.89,14.03,-0.23,4.04,0,99.62,2.68,4.18,191,5.58,72.72,188.4
1/12/1981,6.28,10.98,3.4,3.99,0,99.68,2.38,3.78,181.7,5.83,68.18,181.7
1/13/1981,4.92,9.22,1.41,4.49,2.58,98.77,2.15,3.6,281.9,4.5,82.28,283.2
1/14/1981,4.73,9.33,0.39,4.41,2.39,99.09,4.69,6.9,282,4.52,80.73,282.7
1/15/1981,8.73,13.95,3.57,5.48,0.36,99.21,5.86,8.46,278.1,8.58,78.44,278
1/16/1981,10.68,13.9,6.18,5.67,2.57,99.12,7.7,11.07,311.7,10.41,70.29,311.8
1/17/1981,9.03,15.91,4.74,6.02,0.14,99.93,3.37,5.12,294,8.85,84.65,294.4
1/18/1981,9.88,14.43,6.84,5.73,1.42,99.88,5.34,7.8,299.9,9.59,76.19,300.4
1/19/1981,9.3,13.24,7,5.66,1.72,100.21,5.14,7.44,302.9,9.1,78.84,303.1
1/20/1981,10.63,15.4,6.2,6.24,1.84,99.22,6.42,9.27,279.7,10.41,78.52,279.9
1/21/1981,9.85,11.76,8.3,3.92,1.4,98.85,10.12,14.52,334,9.66,51.48,334
1/22/1981,8.31,10.83,6.55,4.02,0.46,99.41,7.16,10.3,335.9,8.16,59.04,335.9
1/23/1981,7.64,11.02,6.01,5.15,0.79,99.78,4.49,6.48,334.8,7.58,79.31,335.1
1/24/1981,8.36,11.65,5.15,5.87,1.18,100.18,3.32,4.91,321.7,8.23,86.32,322.5
1/25/1981,8.8,15.23,4.87,5.57,0.23,100.5,3.55,5.29,302,8.75,81.76,302.4
1/26/1981,8.43,15.4,3.4,5.23,0,100.53,3,4.57,294.6,8.48,79.22,294.3
1/27/1981,8.79,13.93,5.13,5.34,0.83,100.93,3.08,4.73,4.8,8.56,77.03,5.7
1/28/1981,6.08,10.14,1.34,4.22,2.62,100.93,3.29,5.04,339.1,5.49,73.63,339.5
1/29/1981,5.46,9.96,2.51,3.58,0.3,100.8,3.85,5.68,345.9,5.42,66.34,346.6
1/30/1981,4.82,8.97,1.74,4.52,1.19,100.81,2.93,4.5,320,4.53,84.72,321.2
1/31/1981,6.13,12.23,1.25,4.38,0.07,101.1,2.45,3.98,336.4,5.93,77.73,337.6
2/1/1981,6.99,12.84,3.16,5.05,0.68,101.25,1.8,3.07,2.3,6.62,83.44,5.4
2/2/1981,7.51,10.88,4.17,5.7,1.17,101.27,1.49,2.65,11.3,6.96,88.97,13.6
2/3/1981,7.18,10.87,4.27,5.15,1.41,100.82,2.42,3.77,285.9,7,83.29,285.4
2/4/1981,8.69,16.99,3.15,4.41,0.01,99.6,2.73,4.24,261.8,8.49,68.33,261.6
2/5/1981,7.9,11.55,6.03,4.71,1.96,98.88,5.93,8.64,291,7.76,69.9,291.4
2/6/1981,9.47,13.68,6.87,5.02,1.99,99.84,6.8,9.85,318.7,9.33,68.88,318.8
2/7/1981,9.42,15.14,6.26,5.67,0.38,100.69,3.75,5.54,330,9.47,80.3,330.5
2/8/1981,9.39,15.97,5.62,5.95,0.16,100.9,2.35,3.54,316.4,9,82.97,317
2/9/1981,11.77,22.1,3.91,5.59,0,100.33,1.36,2.19,202.8,10.22,69.5,202
2/10/1981,12.24,21.31,5.89,5.59,0,100.02,1.39,2.42,249.5,12,66.9,254
2/11/1981,11.93,20.06,6.99,6.06,0.03,99.81,1.4,2.19,312.7,10.99,73.48,308.6
2/12/1981,11.65,18.51,6.89,6.55,0.03,99.33,1.1,1.73,339.2,11.21,77.21,330.7
2/13/1981,12.13,19.3,8.08,6.48,1.12,98.85,2.23,3.56,209.1,10.95,73.82,206.5
2/14/1981,8.87,12.15,6.49,6.41,2.6,99.46,2.23,3.5,330.4,8.67,89.87,332.9
2/15/1981,8.42,14.89,3.12,4.53,0.01,100,1.68,2.7,34.5,8.99,69.7,29.4
2/16/1981,9.92,17.63,3.33,6.01,5.18,99.37,3.06,4.58,159.4,10.17,80.26,158.7
2/17/1981,9.73,13.03,6.14,6.61,7.15,99.03,3.03,4.53,48.8,9.74,87.54,50.3
2/18/1981,7.62,12.39,4.34,5.44,1.17,99.36,2.13,3.36,310.4,7.87,84.33,309.2
2/19/1981,7.79,14.4,2.48,5.03,0.19,99.27,2.1,3.32,272.6,8.02,79.12,271.9
2/20/1981,9.22,15.37,4.39,4.91,0.25,99.2,2.01,3.14,283.1,9.44,69.55,283
2/21/1981,7.32,9.88,4.26,5.8,5.52,99.18,2.77,4.21,320.1,7.07,89.66,318.3
2/22/1981,6.79,10.81,3.21,4.97,2.05,99.45,4.35,6.47,314.6,6.67,81.35,315.3
2/23/1981,7.79,13.18,2.92,5.17,0.58,99.78,3.07,4.63,295.6,7.93,79.76,296.5
2/24/1981,8.5,15.45,2.58,4.59,0.02,100.1,1.61,2.73,268.1,8.26,71.38,267.3
2/25/1981,8.52,15.7,3.39,4.99,0.03,100.08,2.62,4.19,292.5,8.53,74.2,294.5
2/26/1981,7.33,13.91,2.65,4.85,0.02,100.12,2.82,4.49,296.5,7.28,76.86,296.3
2/27/1981,9.23,17.29,1.53,4.71,0.01,99.83,1.67,2.74,188,9.53,69.72,179
2/28/1981,14.49,24.41,7.17,6.96,0,99.43,1.98,3.05,192,13.87,71.47,197
3/1/1981,14.85,23.69,8.77,7.29,0,99.51,1.73,2.65,137.2,14.56,73.75,138
3/2/1981,14.94,21.02,10.45,7.9,0.12,99.49,0.94,1.6,209.9,14.62,76.76,210
3/3/1981,14.56,21.95,8.58,8.14,0.04,99.28,1.63,2.45,297.3,14.97,80.11,293.5
3/4/1981,12.36,18.97,7.59,6.52,0,99.13,2.09,3.32,311.5,12.39,74.93,312.6
3/5/1981,11,18.3,5.71,5.69,0,99.88,1.96,3.19,343.8,11.49,72.37,342.4
3/6/1981,10.62,17.98,5.96,5.99,0.01,100.1,1.17,2.13,173.2,10.64,78.26,178.7
3/7/1981,11.49,18.03,6.88,6.66,0.11,100.33,2.14,3.48,326.4,11.61,80.65,329.9
3/8/1981,11.4,18.86,5.73,6.57,0.05,100.69,1.45,2.43,37.6,12.13,79.26,40.2
3/9/1981,13.43,21.77,7.75,6.26,0,100.54,1.34,2.2,19.4,13.71,70.97,14.3
3/10/1981,12.72,21.55,6.1,6.31,0,100.54,2.16,3.46,318.6,12.97,72.26,320.9
3/11/1981,15.13,24.06,7.23,6.63,0,100.28,1.84,3,300.9,15.13,65.59,305.2
3/12/1981,18.14,26.75,11.31,7.94,0,99.6,2.41,3.98,282.8,17.58,64.48,284.5
3/13/1981,17.84,25.68,13.44,8.19,0,99.39,3.28,4.82,301.5,18.1,66.82,301.7
3/14/1981,12.36,18.08,9.1,6.86,1.99,99.56,2.25,3.31,218.2,12.63,78.57,215.2
3/15/1981,13.48,20.28,8.8,7.93,0.66,99.28,2.61,3.84,198,13.65,82.27,198.4
3/16/1981,13.79,20.3,9.62,6.75,0.01,99.57,2.26,3.32,342.4,14.49,72.41,341.8
3/17/1981,11.89,19.02,7.53,6.23,0.55,99.18,2.32,3.38,9.1,12.46,74.79,11.7
3/18/1981,9.57,13.45,6.25,5.43,5.92,98.8,6.45,9.32,314.8,9.91,73.69,314.9
3/19/1981,9.9,14.68,6.04,4.55,0.74,99.16,6.61,9.63,302.4,10.24,61.15,302.6
3/20/1981,10.41,20.67,2.96,5.23,0,99.49,1.53,2.53,181.9,10.71,70.85,173.7
3/21/1981,12.87,19.97,7.59,6.57,0.15,99.73,1.63,2.44,332.3,13.06,74.64,333.5
3/22/1981,13.75,20.79,8.34,6.82,1,99.6,2.68,4.12,292.4,14.17,72.99,293.5
3/23/1981,13.29,20.26,8,6.71,0.49,99.79,3.55,5.27,314.8,13.79,74.36,315.9
3/24/1981,14.19,22.89,6.78,6.89,0,100.14,2.46,3.85,301.6,14.76,72.13,303.1
