Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,13.86,14.3,12.52,7.12,0.46,102.21,7.13,8.64,349.3,14.78,73.47,349.4
1/2/1981,13,14.36,10.97,6.5,0.18,102.15,6.85,8.26,320.5,14.09,71.33,320.6
1/3/1981,12.32,13.45,10.74,6.41,0.07,102.48,5.1,6.1,312.8,13.86,73.61,312.9
1/4/1981,11.41,15.11,8.53,6.12,0,102.04,7.09,8.52,261,13.4,75.31,261.1
1/5/1981,11.88,15.81,8.07,6.38,0,101.73,6.16,7.36,281,13.66,75.58,280.8
1/6/1981,11.72,13.34,10.16,5.65,0.02,102.26,5.49,6.57,312.4,13.33,67.44,312.5
1/7/1981,10.95,14.34,7.23,5.55,0.02,101.71,7.71,9.27,276.9,13.17,70.09,276.6
1/8/1981,9.4,11.56,7.03,4.66,0.47,101.61,10.74,13.14,322.7,12.61,63.94,322.8
1/9/1981,8.21,8.96,6.9,4.38,0.33,102.14,10.02,12.19,329.3,12.04,66.04,329.3
1/10/1981,9.07,11.61,6.94,4.51,0,102.06,5.98,7.11,286.8,11.98,64.2,287
1/11/1981,9.79,13.09,6.25,4.19,0,101.97,4.92,5.87,214.9,12.09,57.59,215.3
1/12/1981,9.85,12.36,6.71,4.66,0,101.72,4.63,5.52,153.4,11.9,62.47,153.5
1/13/1981,9.98,14.07,6.91,4.91,0,100.82,5.49,6.55,242.3,12.09,65.78,241.9
1/14/1981,9.43,12.96,5.94,4.87,0,101.22,5.89,7.01,268.3,12.04,67.97,268.2
1/15/1981,9.95,12.87,7.59,5.09,0,101.59,8.1,9.78,266.5,12.31,68.27,266.6
1/16/1981,11.95,15.81,8.31,6.34,0.01,101.23,8.03,9.8,280,13.09,73.49,279.8
1/17/1981,12.4,14.59,10.37,6.4,0,102.01,4.61,5.6,301.9,12.93,72.99,302.3
