Date,T2M,T2M_MAX,T2M_MIN,QV2M,PRECTOTCORR,PS,WS2M,WS10M,WD10M,TS,RH2M,WD2M
1/1/1981,7.71,15.07,2.85,4.77,0.07,97.5,3.57,5.12,356,7.38,74.44,355.8
1/2/1981,6.35,13.95,1.36,4.51,0.06,97.31,2.75,4.17,351.4,5.81,76.38,352.3
1/3/1981,6.39,14.12,1.73,4.46,0.02,97.59,2.07,3.28,310.8,5.69,75.69,311.7
1/4/1981,5.91,14.59,0.72,3.94,0,97.09,2.89,4.46,270.1,5.26,69.99,267.6
1/5/1981,7.41,16.8,1.26,4.86,0.03,96.87,3.02,4.52,340.5,6.74,75.07,341.3
1/6/1981,4.93,12.75,-0.68,3.64,0.02,97.38,2.81,4.21,351.8,4.19,69.29,353.7
1/7/1981,5.68,14.39,-0.44,3.58,0.02,96.88,3.51,5.17,310,5.13,62.99,310.3
1/8/1981,2.22,6.22,-0.01,2.84,0.45,96.96,5.45,7.44,353.6,1.94,61.97,354.6
1/9/1981,0.44,5.57,-2.74,2.15,0.04,97.38,4.46,6.26,350.5,0.04,56.28,351
1/10/1981,1.82,8.7,-2.99,3.39,0.03,97.05,2.69,4.15,268.9,1.29,78.7,266.3
1/11/1981,2.54,8.86,-2.21,3.21,0,96.85,2.49,3.84,228.5,2.13,71.43,226.2
1/12/1981,5,9.96,1.7,2.6,0.01,96.69,1.46,2.35,97,3.67,47.59,100.9
1/13/1981,5.21,12.14,0.08,2.99,0.07,95.88,2.87,4.23,263.2,4.66,54.63,259.8
1/14/1981,3.26,9.7,-1.76,2.98,0.03,96.3,2.49,3.72,312.7,2.63,60.4,313.6
1/15/1981,4.29,13.75,-2.19,3.68,0,96.63,3.79,5.33,274.8,4.2,72.26,273
1/16/1981,6.88,15.82,1.66,5.16,0.2,96.44,3.42,4.96,296,6.5,82.01,293.1
1/17/1981,7.22,16.08,0.86,4.57,0.01,97.12,2.8,4.21,286.3,6.76,73.31,280.4
1/18/1981,7.92,15.99,2.76,4.61,0.07,97.05,2.47,3.8,334.9,7.56,71.53,336
1/19/1981,6.27,15.21,0.35,4.36,0.09,97.38,2.4,3.68,339.7,6.13,75.46,338.8
1/20/1981,8.46,17.27,1.84,3.98,0.01,96.66,4.16,5.98,276,7.87,60.62,274
1/21/1981,8.74,12.12,6.31,3.96,0.39,96.08,8.27,11.1,342.8,8.49,55.08,343
1/22/1981,6.24,11.47,2.65,3.08,0.05,96.47,5.92,8.08,358.3,6,51.89,358.5
1/23/1981,4.78,10.9,0.16,3.68,0.08,96.78,3.8,5.34,1.8,4.75,69.99,2.2
1/24/1981,6.7,13.51,1.32,3.87,0.05,97.18,2.7,3.76,344.2,6.31,64.71,343.9
1/25/1981,6.78,14.93,0.55,3.85,0,97.56,2.05,3.17,318.1,6.33,65.8,316.2
1/26/1981,6.89,15.57,0.91,3.43,0,97.62,2.83,4.32,274.2,6.03,58.03,270.1
1/27/1981,6.96,14.43,1.29,4.32,0.05,97.8,3.39,4.88,29.1,6.62,69.55,30
1/28/1981,5.81,13.14,0.63,3.48,0.01,97.85,2.62,3.94,355.6,5.83,64.19,354.4
1/29/1981,3.51,8.98,-1.3,3.24,0.39,97.72,2.98,4.57,11.6,3.19,66.78,13.6
1/30/1981,3.32,11.73,-3.14,2.66,0.12,97.78,2.06,3.26,345,3.14,61.31,340.4
1/31/1981,4.67,10.63,0.88,3.53,0.8,98.02,3.47,4.88,22.4,4.83,69.04,23.1
2/1/1981,4.95,9.97,0.62,4.13,1.17,98.12,3.38,4.79,25.3,4.67,77.04,25.5
2/2/1981,5.86,9.05,3.27,4.76,2.47,98.14,2.72,3.74,19.4,5.64,81.46,20
2/3/1981,5.93,12.04,2.37,3.92,0.6,97.87,1.93,2.98,289.9,6.2,69.56,287
2/4/1981,5.45,12.84,-0.61,3.23,0,96.95,4.01,5.81,255,5.2,59.51,253.5
2/5/1981,6.5,14.74,0.76,3.54,0.21,96.18,4.05,5.76,310.5,6.38,57.67,312.4
2/6/1981,7.25,14.33,2.15,4.11,0.42,97.07,3.93,5.57,333,7.15,66.65,333.7
2/7/1981,8.04,15.76,2.26,4.74,0.44,97.68,3.49,5.06,8.2,7.88,73.33,8.7
2/8/1981,8.24,16.75,2.48,4.67,0.03,97.89,2.62,3.84,294.4,8.69,71.95,292.6
2/9/1981,9.3,16.9,3.51,4.67,0,97.59,3.09,4.55,257,8.97,66.53,254.4
2/10/1981,9.38,18.24,3.41,3.94,0,97.19,2.41,3.71,257.5,9.29,55.67,253
2/11/1981,10.48,19,5.53,3.56,0,96.89,2.49,3.75,260.7,9.68,46.84,257.5
2/12/1981,12.12,17.84,8.13,3.5,0.01,96.42,1.78,2.62,175.3,10.45,39.34,176.9
2/13/1981,11.3,17,8.39,5.65,0.33,96.07,2.93,4.34,215.5,10.62,64.35,215.3
2/14/1981,12.11,20.21,5.96,4.64,0.01,96.39,1.95,2.98,298.1,11.55,53.18,295.2
2/15/1981,9.24,15.15,4.18,5.27,0.13,96.94,3.32,4.51,85.3,10.34,72.77,84.4
2/16/1981,9.76,16.41,3.26,6.25,1.63,96.32,2.73,3.79,84.7,10.44,81.01,86
2/17/1981,8.85,12.37,6.07,5.99,10.87,95.9,3.53,4.88,26.5,8.82,81.17,25.7
2/18/1981,8.37,12.53,5.25,5.23,0.45,96.39,1.52,2.42,304.5,8.97,75.04,297.8
2/19/1981,8.15,14.06,3.31,4.05,0,96.42,2.51,3.58,257,8.57,60.26,254
2/20/1981,9.16,15.56,3.36,3.99,0.01,96.28,2.52,3.68,236.1,9.41,54.34,236.3
2/21/1981,6.87,9.9,3.65,4.45,5.52,96.15,2.53,3.64,6.5,6.43,69.06,8.7
2/22/1981,5.96,12.78,0.31,3.72,0.9,96.53,3.04,4.46,341.4,5.91,64.92,342.6
2/23/1981,7.86,16.12,0.53,3.65,0,96.82,1.97,3.01,327.8,7.79,57.85,325.3
2/24/1981,8.01,14.79,1.83,4.31,0,97.17,2.07,3.14,239.8,8.31,65.13,207.1
2/25/1981,10.12,17.61,3.81,4.09,0,97.09,1.77,2.65,262.5,9.51,55.01,253.6
2/26/1981,9.04,14.64,3.49,5.28,0,97.1,2.09,3.12,128.8,9.66,72.92,141.3
2/27/1981,9.85,17.22,3.07,4.67,0,96.88,2.27,3.36,269.1,10.5,62.4,253.9
2/28/1981,14.7,22.91,8.42,4.64,0,96.64,2.27,3.33,251.5,14.02,45.26,248.3
3/1/1981,16.4,24.26,9.99,5.4,0,96.54,1.91,2.99,46.3,15.66,45.45,58.2
3/2/1981,16.85,24.18,10.74,5.78,0,96.47,1.98,2.91,60.3,16.7,48.97,61.4
3/3/1981,15.55,22.59,9.19,6.9,0.01,96.35,2.33,3.36,77.2,16.02,63.61,80.8
3/4/1981,16.05,23.97,9.89,6.37,0,96.11,1.61,2.2,131.7,16.07,57.77,133.4
3/5/1981,13.25,20.48,7.39,6.02,0,96.78,3.64,4.9,72.3,14.36,65.15,72.9
3/6/1981,11.21,18.15,7.71,4.94,0.01,97,4.23,5.62,58.7,12.02,60.4,58.9
3/7/1981,14.03,22.43,8.15,5.63,0,97.19,4.02,5.46,45.5,14.83,57.54,45.7
3/8/1981,12.35,19.84,6.68,5.4,0,97.64,2.35,3.33,57.5,13.79,64.12,54.1
3/9/1981,14.88,23.68,7.36,5.51,0,97.54,1.17,1.76,267.8,15.46,55.52,265.9
3/10/1981,16.5,24.86,8.6,5.07,0,97.47,1.66,2.45,33.2,17.02,46.36,34
3/11/1981,17.69,27.11,8.67,5.35,0,97.32,1.21,1.94,41.2,18.1,46.5,39.3
3/12/1981,21.04,29.81,13.74,6.05,0,96.79,2.7,3.88,260.3,20.56,40.08,257
3/13/1981,20.79,27,16.2,6.75,0.01,96.44,2.53,3.68,345.7,20.82,44.41,6
3/14/1981,14.09,18.01,9.4,7.4,0.86,96.54,4.02,5.39,69.5,14.62,71.61,70.3
3/15/1981,15.75,24.51,8.26,6.46,0,96.21,4.28,5.69,55,16.76,58.7,54.9
3/16/1981,15.02,20.91,10.85,7.21,0,96.5,3.56,4.76,67,15.98,67.6,67
3/17/1981,13.3,18.78,8.69,6.38,0.05,95.99,4.94,6.57,59.1,14.1,66.76,59.3
3/18/1981,9.88,14.66,5.89,4.59,12.98,95.93,5.25,7.07,343.5,10.59,59.6,343.9
3/19/1981,10.5,18.69,2.77,3.8,0.01,96.38,3.06,4.29,303.8,10.7,51.64,303.9
3/20/1981,13.76,21.07,8.55,3.6,0,96.6,1.89,2.71,237.6,13.69,37.58,229.1
3/21/1981,15.32,23.37,8.41,4.29,0.24,96.65,2.14,3.33,290.3,15.74,40.94,260.3
3/22/1981,14.89,22.43,7.52,5.59,0.18,96.68,2.45,3.53,279,15.94,57.21,275
3/23/1981,14.99,22.61,7.51,5.39,0.17,96.82,3.43,4.73,5.5,15.99,54.9,4.4
3/24/1981,16.31,25.63,7.19,5.97,0,97.17,1.44,2.11,313.3,17.39,56.37,298.4
3/25/1981,18.93,26.78,10.94,6.22,0,97.09,2.19,3.13,245.8,19.56,46.85,242.4
3/26/1981,20.75,28.31,14.84,6.33,0,96.86,2.15,3.06,265.8,20.36,41.86,262.9
3/27/1981,19.13,23.67,14.97,7.42,0.31,96.62,1.86,2.74,20.8,18.56,53.25,12.8
3/28/1981,20.65,28.51,14.9,6.44,0.6,96.26,2.22,3.16,227.1,20.15,43.61,217.5
3/29/1981,20.72,30.55,13.35,6.6,0.02,95.96,3.88,5.47,114.5,21.21,46.63,116.3
3/30/1981,19.61,29.78,11.88,6.42,0,95.45,5.01,6.74,52.8,20.41,47.61,65.4
3/31/1981,12.73,16.62,8.02,5.69,2.22,95.69,5.07,6.81,254,13.52,59.99,253.4
4/1/1981,14.09,20.64,6.72,5.33,0.06,96.22,3.83,5.36,254.9,14.75,55.16,252.9
4/2/1981,16.66,23.73,9.01,3.74,0,96.41,2.02,2.94,258.9,16.89,33.43,252.3
4/3/1981,17.93,28.05,8.85,4.3,0,96.3,3.67,5.2,128.4,17.61,38.42,131.2
4/4/1981,16.44,24.55,9.25,5.35,0,96.5,3.96,5.39,9.1,17.71,48.35,8
4/5/1981,15.75,22.53,8.42,6.02,0,96.76,2.42,3.32,36.1,17.72,56.47,36.5
4/6/1981,15.72,23.43,8.65,6.35,0,97.02,2.34,3.32,112.1,17.62,59.4,113.8
4/7/1981,18.18,26.27,10.19,6.15,0,97.17,2.11,3.05,101.2,19.31,50.14,105.1
4/8/1981,19.88,28.71,11.82,5.85,0,97.38,1.8,2.62,123.3,20.96,44.05,130.8
4/9/1981,21.94,30.24,14.72,5.14,0,97.35,2.35,3.36,248.4,21.8,33.59,244.1
4/10/1981,20.56,25.13,15.09,6.95,0,97.06,1.83,2.67,64.5,20.13,46.06,66.6
4/11/1981,22.61,30.69,15.44,6.64,0,96.56,2.32,3.2,104.9,23.32,39.9,107.2
4/12/1981,20.6,27.73,14.98,6.45,0,96.37,4.93,6.55,73,21.61,43.85,73.6
4/13/1981,17.38,24.38,11.88,6.9,0,96.63,7.02,9.25,65.1,18.74,56.16,65.4
4/14/1981,15.67,23.01,9.68,6.44,0,96.99,4.77,6.26,64.3,17.42,60.97,64.3
4/15/1981,17.36,24.49,10.09,6.7,0,97.07,2.38,3.2,103.9,19.74,56.39,107.1
4/16/1981,15.69,19.72,12,6.24,0.79,96.39,1.59,2.17,111.9,16.27,54.76,120.7
4/17/1981,16.85,24.17,9.43,6.27,0,95.72,2.29,3.26,27.3,18.93,54.69,42.9
4/18/1981,17.86,25.27,10.14,5.91,0.05,95.86,2.53,3.42,248.9,19.27,50.33,248.1
4/19/1981,16.68,23.18,10.19,6.79,0.05,96.58,3.37,4.48,104.1,18.72,59.08,106.7
4/20/1981,18.57,25.59,11.64,6.1,0.05,96.57,2.29,3.14,273.5,20.6,49.04,268.7
4/21/1981,17.3,23.99,11.94,7.5,0.08,96.16,5.86,7.77,80,18.97,61.59,80.8
4/22/1981,19.99,28.33,14.19,8.6,0.69,95.5,5.91,7.76,89.2,21.52,62.82,89.9
4/23/1981,19.56,27.9,12.88,6.62,0,95.59,4.69,6.34,95,20.74,49.75,93.3
4/24/1981,19.01,26.9,11.26,5.1,0,96.35,3.45,4.77,266.2,20.49,40.61,261.6
4/25/1981,20.48,29.22,12.24,4.44,0,96.46,3.6,5.06,141.8,21.42,31.62,141.8
4/26/1981,20.43,28.2,13.41,4.47,0.02,96.04,3.22,4.5,265,22.12,30.15,264.7
4/27/1981,16.73,23.25,11.5,5.56,0,96.68,2.76,3.57,132.4,19.57,48.55,137.3
4/28/1981,16.49,24.24,10.41,6.89,0.01,96.73,4.59,5.92,85.7,18.46,61.25,86.1
4/29/1981,17.16,21.85,13.3,7.67,0,96.6,4.61,6.04,70.7,17.96,61.24,70.8
4/30/1981,20.67,29.71,12.85,6.94,0,96.03,3.99,5.35,79.9,22.42,46.96,85.3
5/1/1981,22.01,28.56,16.08,5.18,0,95.68,3.44,4.57,258.8,22.6,31.52,253.9
5/2/1981,18.58,25.13,11.49,5.3,0.02,96.21,2.81,3.89,326.1,21.32,42.44,329.2
5/3/1981,19.73,26.66,12.15,4.73,1.79,96.24,4.43,6.16,261.1,20.62,33.71,260.1
5/4/1981,17.55,24.25,10.31,5.2,3.65,96.28,3.92,5.29,309.2,19.84,43.12,309.6
5/5/1981,21.23,30.72,11.05,4.89,0,96.23,2.75,3.86,285.8,22.51,31.86,285
5/6/1981,19.44,26.92,11.82,6.69,0,96.88,2.64,3.55,113.9,21.71,50.79,115.9
5/7/1981,21.34,31.62,11.72,6.54,0,96.73,2.81,3.82,119.7,23.4,45.97,122.4
5/8/1981,20.86,28.86,14.07,7.28,0,96.27,5.28,6.92,68.5,22.23,49.73,69
5/9/1981,21.71,30.91,14.04,7.51,0,95.86,5.21,6.9,67.2,23.21,48.27,67.4
5/10/1981,21.97,31.25,16.44,7.03,0.01,95.75,4.49,5.98,354.3,23.67,44.39,355.6
5/11/1981,19.91,27.44,11.51,5.77,0,96.49,3.23,4.29,268.9,22.48,44.13,266.8
5/12/1981,20.74,28.18,14.82,4.73,0,96.48,2.9,3.92,285.4,22.45,33.7,281.9
5/13/1981,19.9,26.47,12.78,6.77,0.41,96.5,3.61,4.82,60.1,21.64,49.41,66.5
5/14/1981,21.12,29.43,14.06,6.98,0,96.25,5.04,6.54,79.1,22.99,47.93,79.9
5/15/1981,18.22,23.25,14.66,8.34,6.19,96.1,5.79,7.51,28.8,19.58,62.29,28.9
5/16/1981,18.98,25.77,12.47,6.88,0.12,96.83,3.92,5.18,32.7,21.51,53.05,31.2
5/17/1981,20.96,28.76,13.01,6.89,0,97,2.06,2.76,254.6,23.11,48.36,252.5
5/18/1981,23.36,30.23,16.19,6.09,0.25,97.13,1.97,2.66,274.9,24.66,35.85,261.3
5/19/1981,24.38,32.17,16.04,6.2,0.04,97.24,2.28,3.16,221.5,25.88,35.65,223.3
5/20/1981,25.84,35.21,16.25,6.46,0,97.09,1.98,2.75,176.6,27.64,34.37,185.2
5/21/1981,25.38,34.36,16.98,6.58,0,96.98,3.21,4.22,79.6,27.61,35.32,80
5/22/1981,23.81,31.25,16.69,5.39,0,97.07,4.07,5.33,69.4,25.41,31.22,70.2
5/23/1981,22.81,27.86,18.64,8.46,0.05,97.12,4.81,6.29,59.1,24.08,48.11,59.3
5/24/1981,23.84,32.62,15.82,7.71,0,96.9,3.93,5.07,80.2,26.25,46.43,80.7
5/25/1981,24.53,33.34,16.55,5.59,0,96.62,3.87,5.15,91.5,26.34,31.1,93.7
5/26/1981,26.81,37.66,17.75,6.71,0,96.06,4.45,5.93,84.5,28.06,33.84,87.7
